呪術士ギルドのヤヤケは冒険者に頼みごとがあるようだ。			呪術士ギルドのヤヤケは冒険者に頼みごとがあるようだ。			声を聞きし者							
……それだけではありません。もし、「ザルの書」の存在を呪術士ギルドが知れば、彼らは草の根分けても書物を探し出し、封印してしまう……。			……それだけではありません。もし、「ザルの書」の存在を呪術士ギルドが知れば、彼らは草の根分けても書物を探し出し、封印してしまう……。			破壊の力を求めて							
そうなれば、私たちの研究も難しくなり、ククルカ様が復活させた知が、忘れ去られてしまいます。大いなる破壊の力を、忘却の彼方に捨て去るなど……！			そうなれば、私たちの研究も難しくなり、ククルカ様が復活させた知が、忘れ去られてしまいます。大いなる破壊の力を、忘却の彼方に捨て去るなど……！			破壊の力を求めて							
……ともかく、ここにいても仕方ありません。「ミルバネス礼拝堂」に戻りましょう。一度、冷静になって考えなくては……。			……ともかく、ここにいても仕方ありません。「ミルバネス礼拝堂」に戻りましょう。一度、冷静になって考えなくては……。			破壊の力を求めて							
(-ローブ姿の男-)……ここには、もう用はない。			(-ローブ姿の男-)……ここには、もう用はない。			破壊の力を求めて							
黒魔道士Forename Surname……。先ほどは、取り乱してすみません……。ここに戻る間に、だいぶ冷静に考えることができました。			黒魔道士Forename Surname……。先ほどは、取り乱してすみません……。ここに戻る間に、だいぶ冷静に考えることができました。			破壊の力を求めて							
「ザルの書」が入っていた箱は、100年の間に積もったホコリにまみれていました。しかし、その一部に、何者かが触れた形跡があったのです。			「ザルの書」が入っていた箱は、100年の間に積もったホコリにまみれていました。しかし、その一部に、何者かが触れた形跡があったのです。			破壊の力を求めて							
その正体が誰であれ、「ザルの書」が持ち去られたのは、最近の出来事と考えていいでしょう。			その正体が誰であれ、「ザルの書」が持ち去られたのは、最近の出来事と考えていいでしょう。			破壊の力を求めて							
とはいえ、この書物は暗号化魔法により、簡単には内容を読むことができなくなっています。「ザルの書」も、おそらくは同様のはず。			とはいえ、この書物は暗号化魔法により、簡単には内容を読むことができなくなっています。「ザルの書」も、おそらくは同様のはず。			破壊の力を求めて							
……つまり、持ち去った者に悪意があったとて、まずは暗号化魔法を解く時間が必要ということです。			……つまり、持ち去った者に悪意があったとて、まずは暗号化魔法を解く時間が必要ということです。			破壊の力を求めて							
私は、「ナルの書」を読み解きつつ、さまざまなツテを使い、「ザルの書」の行方を探ってみます。あなたは、禁術の修得に向け、修行を積んでおいてください。			私は、「ナルの書」を読み解きつつ、さまざまなツテを使い、「ザルの書」の行方を探ってみます。あなたは、禁術の修得に向け、修行を積んでおいてください。			破壊の力を求めて							
「黒魔道士」の新たなジョブクエストが開始されました。次のクエストは「レベル52」以上で、ミルバネス礼拝堂のラライから受注可能です。			「黒魔道士」の新たなジョブクエストが開始されました。次のクエストは「レベル52」以上で、ミルバネス礼拝堂のラライから受注可能です。			破壊の力を求めて							
今後の「黒魔道士」のジョブクエスト受注条件は、コンプリート後のジャーナルで確認できます。			今後の「黒魔道士」のジョブクエスト受注条件は、コンプリート後のジャーナルで確認できます。			破壊の力を求めて							
ミルバネス礼拝堂のラライは、冒険者と試したいことがあるようだ。			ミルバネス礼拝堂のラライは、冒険者と試したいことがあるようだ。			隠された呪文							
前回までの冒険録：ククルカ・タタルカが記した、2冊の書物。このうちの「ザルの書」が魔道士ウォルディーヴに盗まれるという事件が起きる。冒険者は、ザイ・ア・ネルハー、ラライ、黒魔法に関わる獣人たちと協力して、ウォルディーヴが結成した黒魔道士集団「まつろわぬ魔道士」を壊滅させることに成功。書物は、ラライの管理下に置かれることになったのだった。　　　　　　　　　　　　*　*　*ククルカの記した「ナルの書」と「ザルの書」から、新たな呪文が見つかったらしい。呪文を試すため、南ザナラーンのナルの祠で「ラライ」と合流しよう。			前回までの冒険録：ククルカ・タタルカが記した、2冊の書物。このうちの「ザルの書」が魔道士ウォルディーヴに盗まれるという事件が起きる。冒険者は、ザイ・ア・ネルハー、ラライ、黒魔法に関わる獣人たちと協力して、ウォルディーヴが結成した黒魔道士集団「まつろわぬ魔道士」を壊滅させることに成功。書物は、ラライの管理下に置かれることになったのだった。　　　　　　　　　　　　*　*　*ククルカの記した「ナルの書」と「ザルの書」から、新たな呪文が見つかったらしい。呪文を試すため、南ザナラーンのナルの祠で「ラライ」と合流しよう。			隠された呪文							
