オールド・シャーレアンの小柄なグリーナーは、冒険者のことを探しているようだ。			オールド・シャーレアンの小柄なグリーナーは、冒険者のことを探しているようだ。			ギルドシップのモブハント（初級）							
おかえりForename！その様子だと、装置の設置は終わったんだな？よっし、じゃあさっそく解析を始めてみるよ。			おかえりForename！その様子だと、装置の設置は終わったんだな？よっし、じゃあさっそく解析を始めてみるよ。			無窮の翼、現世に飛翔せん							
さて、解析結果が出るまでの間に、観察艇本体から得られた情報を共有させてほしい。			さて、解析結果が出るまでの間に、観察艇本体から得られた情報を共有させてほしい。			無窮の翼、現世に飛翔せん							
記録によれば、ダラガブ内に拘束されていたバハムートは、夢現の狭間にいながらにして、しばしばエーテル……つまり魔力を放出していたらしい。			記録によれば、ダラガブ内に拘束されていたバハムートは、夢現の狭間にいながらにして、しばしばエーテル……つまり魔力を放出していたらしい。			無窮の翼、現世に飛翔せん							
なぜ、なんのために……？そう考えたとき、思い出されるのが「竜詩」の存在だ。竜は己の感情と魔力を咆哮に乗せ、同胞と意思疎通を行う。			なぜ、なんのために……？そう考えたとき、思い出されるのが「竜詩」の存在だ。竜は己の感情と魔力を咆哮に乗せ、同胞と意思疎通を行う。			無窮の翼、現世に飛翔せん							
もし今回のケースも同様だとしたら……。観察艇が記録し、何らかの理由で再発信しているエーテル波には、蛮神バハムートの意思が込められている可能性があるだろうね。			もし今回のケースも同様だとしたら……。観察艇が記録し、何らかの理由で再発信しているエーテル波には、蛮神バハムートの意思が込められている可能性があるだろうね。			無窮の翼、現世に飛翔せん							
よっし、ふたりともお待たせ、解析完了だ！音声データに変換されたみたいだから、さっそく再生してみようぜ！			よっし、ふたりともお待たせ、解析完了だ！音声データに変換されたみたいだから、さっそく再生してみようぜ！			無窮の翼、現世に飛翔せん							
『ヒトには、敗北を……ヒト……は、絶望を……　滅……の炎……あまねく地上に降……注ぎ……　最も若……仔までも……潰し……焦がし……焼尽せん……』			『ヒトには、敗北を……ヒト……は、絶望を……　滅……の炎……あまねく地上に降……注ぎ……　最も若……仔までも……潰し……焦がし……焼尽せん……』			無窮の翼、現世に飛翔せん							
これが……竜詩？オレでもわかるくらい、強い怒りと恨みが渦巻く言葉だった。いったいなぜ、こいつはこんな……。			これが……竜詩？オレでもわかるくらい、強い怒りと恨みが渦巻く言葉だった。いったいなぜ、こいつはこんな……。			無窮の翼、現世に飛翔せん							
蛮神バハムートは、南方大陸の竜たちが、侵略者たるアラグの軍勢に対抗するため召喚した存在だ。強い負の感情を抱いていたとて、不思議はないだろうね……。			蛮神バハムートは、南方大陸の竜たちが、侵略者たるアラグの軍勢に対抗するため召喚した存在だ。強い負の感情を抱いていたとて、不思議はないだろうね……。			無窮の翼、現世に飛翔せん							
そっか、ヒトを憎む竜たちの想いを糧に生まれて……衛星に囚われたまま、強い恨みを抱き続けてきたのか。オレたちのすぐ近くで、何千年も。			そっか、ヒトを憎む竜たちの想いを糧に生まれて……衛星に囚われたまま、強い恨みを抱き続けてきたのか。オレたちのすぐ近くで、何千年も。			無窮の翼、現世に飛翔せん							
