幻術士ギルドのエ・スミ・ヤンは冒険者に頼みがあるようだ。			幻術士ギルドのエ・スミ・ヤンは冒険者に頼みがあるようだ。			偉人の後継者							
角尊ともあろうお方が、森の危機を、一介の冒険者に託すとおっしゃるのですか！？			角尊ともあろうお方が、森の危機を、一介の冒険者に託すとおっしゃるのですか！？			不浄なるもの							
このForenameは、ただの冒険者じゃないわ。ソウルクリスタルとともに、ア・トワ様の意志を受け継いだ……あたしたちとおなじ、正統な白魔道士なの。			このForenameは、ただの冒険者じゃないわ。ソウルクリスタルとともに、ア・トワ様の意志を受け継いだ……あたしたちとおなじ、正統な白魔道士なの。			不浄なるもの							
Forenameなら、浄化を行うこともできるはずよ。あたしからも、お願いできないかしら……？			Forenameなら、浄化を行うこともできるはずよ。あたしからも、お願いできないかしら……？			不浄なるもの							
ア・トワ様の正統な後継者……。そんな人がいたなんて……。			ア・トワ様の正統な後継者……。そんな人がいたなんて……。			不浄なるもの							
……お願いがあります。私の祖父は、ア・トワ様に従い、浄化の手助けをするという、その使命を誇りに思い、命を賭して、旅に同行していました。			……お願いがあります。私の祖父は、ア・トワ様に従い、浄化の手助けをするという、その使命を誇りに思い、命を賭して、旅に同行していました。			不浄なるもの							
私も、多少の武の心得はあります。どうか、旅の同行者として加えてはもらえませんか？祖父の孫として、私もそれに倣いたいのです……。			私も、多少の武の心得はあります。どうか、旅の同行者として加えてはもらえませんか？祖父の孫として、私もそれに倣いたいのです……。			不浄なるもの							
……ずいぶんと唐突な申し出じゃない。「祖父に倣いたい」っていう気持ちだけで、危険な旅に挑むつもり？			……ずいぶんと唐突な申し出じゃない。「祖父に倣いたい」っていう気持ちだけで、危険な旅に挑むつもり？			不浄なるもの							
…………危険や苦難は覚悟のうえ。森に迫る危機を知ったいま、ただ救いを待つのではなく、自分にできる全力を尽くしたいのです。			…………危険や苦難は覚悟のうえ。森に迫る危機を知ったいま、ただ救いを待つのではなく、自分にできる全力を尽くしたいのです。			不浄なるもの							
自分にできる全力、ね……。			自分にできる全力、ね……。			不浄なるもの							
……そうね、実際、協力の申し出はとてもありがたいわ。では、エシヴァ……どうか、Forenameの力になってあげて。			……そうね、実際、協力の申し出はとてもありがたいわ。では、エシヴァ……どうか、Forenameの力になってあげて。			不浄なるもの							
黒衣森の命運を、あなたたちに託すわ……！必ずや、成し遂げて戻ってきてちょうだい。			黒衣森の命運を、あなたたちに託すわ……！必ずや、成し遂げて戻ってきてちょうだい。			不浄なるもの							
僕たちは、みだりに黒衣森を離れることはできない。冒険者だけが頼りなんだ……。			僕たちは、みだりに黒衣森を離れることはできない。冒険者だけが頼りなんだ……。			不浄なるもの							
黒衣森の命運を、あなたたちに託すわ……！必ずや、成し遂げて戻ってきてちょうだい。			黒衣森の命運を、あなたたちに託すわ……！必ずや、成し遂げて戻ってきてちょうだい。			不浄なるもの							
……旅の計画について話し合いたいので、「フォールゴウド」まで来てくださいますか。私も準備をしてまいります。			……旅の計画について話し合いたいので、「フォールゴウド」まで来てくださいますか。私も準備をしてまいります。			不浄なるもの							
