ラザハンの小さな少年は、頼みたいことがあるようだ。			ラザハンの小さな少年は、頼みたいことがあるようだ。			紳士の長い眠り							
コヨコヨさんにとって、アーテリスの病気は未知のもの。だからこそ、病気に感染しやすく、また悪化もしやすいのです。			コヨコヨさんにとって、アーテリスの病気は未知のもの。だからこそ、病気に感染しやすく、また悪化もしやすいのです。			謎の犯人							
やはり、私の予想どおりでしたな！捜査は一時中断し、コヨコヨ殿を治療せねばなりません！			やはり、私の予想どおりでしたな！捜査は一時中断し、コヨコヨ殿を治療せねばなりません！			謎の犯人							
で、でも、風邪であったとしても、身体の構造が違うのなら、人の薬なんかは効かないのでは……？			で、でも、風邪であったとしても、身体の構造が違うのなら、人の薬なんかは効かないのでは……？			謎の犯人							
そのとおりです。しかし、私が分析したところ、素材さえ揃えば、有効な薬を調合できそうです。			そのとおりです。しかし、私が分析したところ、素材さえ揃えば、有効な薬を調合できそうです。			謎の犯人							
さすがは私の複製、皆で素材を集めるとしましょう！で、何が必要なのですかな……？			さすがは私の複製、皆で素材を集めるとしましょう！で、何が必要なのですかな……？			謎の犯人							
大半はコヨコヨさんが、サンプルとして収集した品で賄えます。不足している素材は、あとふたつ。			大半はコヨコヨさんが、サンプルとして収集した品で賄えます。不足している素材は、あとふたつ。			謎の犯人							
ひとつ目は、大陸亀の肝……これは微風の浜にいるカチャパから、調達することができるでしょう。			ひとつ目は、大陸亀の肝……これは微風の浜にいるカチャパから、調達することができるでしょう。			謎の犯人							
ふむ、討伐が必要なようですな。ならば、Forename殿にお任せしたい！			ふむ、討伐が必要なようですな。ならば、Forename殿にお任せしたい！			謎の犯人							
ふたつ目は、ナマガワキタケ……希少なキノコですが、豊富な生薬を揃えている、デミールの遺烈郷なら手に入るかもしれません。			ふたつ目は、ナマガワキタケ……希少なキノコですが、豊富な生薬を揃えている、デミールの遺烈郷なら手に入るかもしれません。			謎の犯人							
そちらは私とナシュ、デリオン殿で遺烈郷を隈なく探しましょう！ブラディヒルンド殿には、ここに残ってもらい、コヨコヨ殿の看病を頼みますぞ！			そちらは私とナシュ、デリオン殿で遺烈郷を隈なく探しましょう！ブラディヒルンド殿には、ここに残ってもらい、コヨコヨ殿の看病を頼みますぞ！			謎の犯人							
ブラディヒルンド様、サベネア島にも詳しいんですね～。すごいです～。			ブラディヒルンド様、サベネア島にも詳しいんですね～。すごいです～。			謎の犯人							
た、大したことありません。この街で、い、いろいろインプットしただけですよ……。			た、大したことありません。この街で、い、いろいろインプットしただけですよ……。			謎の犯人							
と、ところで、ナマガワキタケは本当に希少なので、そう簡単には調達できないかもしれません。			と、ところで、ナマガワキタケは本当に希少なので、そう簡単には調達できないかもしれません。			謎の犯人							
