ヴォロク連王宮のエレンヴィルは、冒険者たちを待っていたようだ。			ヴォロク連王宮のエレンヴィルは、冒険者たちを待っていたようだ。			継承の儀							
継承の儀に参加する継承候補者は全部で4人。そのうちのひとりが、あんたらと一緒にいるウクラマト王女だ。			継承の儀に参加する継承候補者は全部で4人。そのうちのひとりが、あんたらと一緒にいるウクラマト王女だ。			未知なる冒険へ							
だが、こないだ乗せてやったマムージャ族の話じゃ、ほかの後継候補者たちも曲者揃いらしくてな。若いウクラマト王女に賭ける奴は少ないよ。			だが、こないだ乗せてやったマムージャ族の話じゃ、ほかの後継候補者たちも曲者揃いらしくてな。若いウクラマト王女に賭ける奴は少ないよ。			未知なる冒険へ							
よく見たら、あのエオルゼアの英雄さんじゃないか！あんたみたいな人を連れてるなら話は別だ。ここはいっちょ、ウクラマト王女に賭けておくか！			よく見たら、あのエオルゼアの英雄さんじゃないか！あんたみたいな人を連れてるなら話は別だ。ここはいっちょ、ウクラマト王女に賭けておくか！			未知なる冒険へ							
約80年前……あのメルウィブ提督が安全航路を発見する以前に、トラル大陸にたどり着いた初めてのエオルゼア人、ケテンラム。俺の憧れの偉大な先達よ。			約80年前……あのメルウィブ提督が安全航路を発見する以前に、トラル大陸にたどり着いた初めてのエオルゼア人、ケテンラム。俺の憧れの偉大な先達よ。			未知なる冒険へ							
当時、彼はトラル大陸に初めて訪れた異邦人として、マムージャ族の王様に手厚くもてなされたらしい。帰り際には、友好の証として大量の銀製品を贈られたんだとか。			当時、彼はトラル大陸に初めて訪れた異邦人として、マムージャ族の王様に手厚くもてなされたらしい。帰り際には、友好の証として大量の銀製品を贈られたんだとか。			未知なる冒険へ							
加えてケテンラムは、ポポトやトマト、コーンなど、様々な作物をエオルゼアに持ち帰って広めた。食卓にまで変革をもたらしたってことさ！			加えてケテンラムは、ポポトやトマト、コーンなど、様々な作物をエオルゼアに持ち帰って広めた。食卓にまで変革をもたらしたってことさ！			未知なる冒険へ							
その後もケテンラムは、何度かトラル大陸を訪れたようだが、航海の最中に行方不明になってそれきり、消息が途絶えたんだ。偉大な探検家ですら命を落としてしまうのが、海の怖さだな。			その後もケテンラムは、何度かトラル大陸を訪れたようだが、航海の最中に行方不明になってそれきり、消息が途絶えたんだ。偉大な探検家ですら命を落としてしまうのが、海の怖さだな。			未知なる冒険へ							
トラル大陸には、ケテンラムですら到達していない、手つかずの秘境が多く残されてると言われてる。それらを見つけて、あの人の功績を超えるのが俺の夢なのさ。			トラル大陸には、ケテンラムですら到達していない、手つかずの秘境が多く残されてると言われてる。それらを見つけて、あの人の功績を超えるのが俺の夢なのさ。			未知なる冒険へ							
おや、見たところ冒険者の方ですかな。			おや、見たところ冒険者の方ですかな。			未知なる冒険へ							
私はウルダハで貿易商を営んでいる者でしてね。エオルゼアとトラル大陸、双方の特産品の交易を行っています。			私はウルダハで貿易商を営んでいる者でしてね。エオルゼアとトラル大陸、双方の特産品の交易を行っています。			未知なる冒険へ							
初めてトラル大陸を訪れるなら、注意しておくといいでしょう。なにせ向こうでは、エオルゼアの常識は通用しないのですから。			初めてトラル大陸を訪れるなら、注意しておくといいでしょう。なにせ向こうでは、エオルゼアの常識は通用しないのですから。			未知なる冒険へ							
もっともわかりやすいのは、種族に対する呼び名です。ミコッテ族はトラル大陸ではヘイザ・アロ族。ロスガル族はシュバラール族、と言うようにね。			もっともわかりやすいのは、種族に対する呼び名です。ミコッテ族はトラル大陸ではヘイザ・アロ族。ロスガル族はシュバラール族、と言うようにね。			未知なる冒険へ							
