木工師ギルドのベアティヌは、相談したいことがあるようだ。			木工師ギルドのベアティヌは、相談したいことがあるようだ。			新人木工師、チェミ・ジンジャル！							
うう……また失敗してしまいました……。今度こそはひとりでやれると思ったのに……。			うう……また失敗してしまいました……。今度こそはひとりでやれると思ったのに……。			チェミ・ジンジャル奮闘記							
あ、Forenameさん……。これまでの重ね重ねの失態、誠に申し訳ありません……。不肖このチェミ・ジンジャル、いっそ死んでお詫びを……！！			あ、Forenameさん……。これまでの重ね重ねの失態、誠に申し訳ありません……。不肖このチェミ・ジンジャル、いっそ死んでお詫びを……！！			チェミ・ジンジャル奮闘記							
前回の失敗から、ウチも勉強したつもりでした。ちゃんと依頼人の方のお話も聞きましたし……何がいけなかったんですかね……？			前回の失敗から、ウチも勉強したつもりでした。ちゃんと依頼人の方のお話も聞きましたし……何がいけなかったんですかね……？			チェミ・ジンジャル奮闘記							
って、反省は後でもできますよね！今は目の前の依頼のことを考えなきゃ！！			って、反省は後でもできますよね！今は目の前の依頼のことを考えなきゃ！！			チェミ・ジンジャル奮闘記							
それで、何を作るかはもうお決まりですか？			それで、何を作るかはもうお決まりですか？			チェミ・ジンジャル奮闘記							
悩みを解決するための家具とは？			悩みを解決するための家具とは？			チェミ・ジンジャル奮闘記							
ゆったり休める露天風呂			ゆったり休める露天風呂			チェミ・ジンジャル奮闘記							
客を射止める弓			客を射止める弓			チェミ・ジンジャル奮闘記							
一服するためのキセル箱			一服するためのキセル箱			チェミ・ジンジャル奮闘記							
なるほど！いっそのこと、古くさい茶屋なんて潰してしまって、ゆったり休める露天風呂にしてしまおうと仰るのですね！			なるほど！いっそのこと、古くさい茶屋なんて潰してしまって、ゆったり休める露天風呂にしてしまおうと仰るのですね！			チェミ・ジンジャル奮闘記							
とても良い案だと思います！みんなでお風呂に入りながらゆっくりお茶を飲んで……って、茶屋を潰したら、いったいどこがお茶を提供するんです？			とても良い案だと思います！みんなでお風呂に入りながらゆっくりお茶を飲んで……って、茶屋を潰したら、いったいどこがお茶を提供するんです？			チェミ・ジンジャル奮闘記							
えっ、弓ですか！？お店に客が来ないなら、いっそ道行く人たちを射止めろと……。そんなことをしたら、赤誠組のお侍さんにしょっぴかれますよ！			えっ、弓ですか！？お店に客が来ないなら、いっそ道行く人たちを射止めろと……。そんなことをしたら、赤誠組のお侍さんにしょっぴかれますよ！			チェミ・ジンジャル奮闘記							
なるほど、「高級キセル箱」ですか！確かに煙草は、クガネの代表的な嗜好品の一つですね。お茶やお食事と一緒に楽しみたいという方も多そうです！			なるほど、「高級キセル箱」ですか！確かに煙草は、クガネの代表的な嗜好品の一つですね。お茶やお食事と一緒に楽しみたいという方も多そうです！			チェミ・ジンジャル奮闘記							
家具作りのための素材は、いくつか用意しています。「高級キセル箱」の制作に、必要そうな材料をお渡ししておきますね！			家具作りのための素材は、いくつか用意しています。「高級キセル箱」の制作に、必要そうな材料をお渡ししておきますね！			チェミ・ジンジャル奮闘記							
「高級キセル箱」ができたら、依頼人の方の待つ「ウミネコ茶屋」までお持ちください！			「高級キセル箱」ができたら、依頼人の方の待つ「ウミネコ茶屋」までお持ちください！			チェミ・ジンジャル奮闘記							
材料が足りなければ、お申し付けください！ギルドから支給された分がたっぷりとありますから！完成したら、「ウメ」さんにお渡しください！			材料が足りなければ、お申し付けください！ギルドから支給された分がたっぷりとありますから！完成したら、「ウメ」さんにお渡しください！			チェミ・ジンジャル奮闘記							
ん？これは……高級キセル箱かい。			ん？これは……高級キセル箱かい。			チェミ・ジンジャル奮闘記							
なるほど、確かにこの国ではキセルを嗜む愛煙家が多い。茶も飲めて団子も食べられる上に、一服できるとなれば、常連になってくれる連中は増えそうだ。			なるほど、確かにこの国ではキセルを嗜む愛煙家が多い。茶も飲めて団子も食べられる上に、一服できるとなれば、常連になってくれる連中は増えそうだ。			チェミ・ジンジャル奮闘記							
