錬金術師ギルドのセヴェリアンは、憤慨しているようだ。			錬金術師ギルドのセヴェリアンは、憤慨しているようだ。			奇怪な死体							
ワ・ナージャ？えーっと……ああ、美人姉妹の姉の方だよな！何回か話したことあるぜ。			ワ・ナージャ？えーっと……ああ、美人姉妹の姉の方だよな！何回か話したことあるぜ。			ひとときの奇跡							
彼女が持ってる「バッデッドローズワンド」って杖が見事だったから、どこで手に入れたのか聞いたんだ。特注品らしくて、儲け話にはならなかったけどな。			彼女が持ってる「バッデッドローズワンド」って杖が見事だったから、どこで手に入れたのか聞いたんだ。特注品らしくて、儲け話にはならなかったけどな。			ひとときの奇跡							
あとはローブもよく似合っててなぁ！次はそのことを聞こうと思ってたんだが……帰ってこなかった。本当に、残念なことさ。			あとはローブもよく似合っててなぁ！次はそのことを聞こうと思ってたんだが……帰ってこなかった。本当に、残念なことさ。			ひとときの奇跡							
ナージャの遺品は用意できたか？妹の「ワ・ブリナ」なら、心当たりがあると思うが……。			ナージャの遺品は用意できたか？妹の「ワ・ブリナ」なら、心当たりがあると思うが……。			ひとときの奇跡							
これは「バッデッドローズワンド」……！忘れもしない、ナージャの杖だ！何……お前が作ったものだって……？			これは「バッデッドローズワンド」……！忘れもしない、ナージャの杖だ！何……お前が作ったものだって……？			ひとときの奇跡							
ああ……お前との出会いに感謝する。ナージャが使っていたものと、何の遜色もない！これならば、遺品と同じ効果が得られるぞ。			ああ……お前との出会いに感謝する。ナージャが使っていたものと、何の遜色もない！これならば、遺品と同じ効果が得られるぞ。			ひとときの奇跡							
原理を詳細に説明することもできるが……今は、その時間すら惜しい！お前ほどの錬金術師ならば、教えずとも分かるだろう？			原理を詳細に説明することもできるが……今は、その時間すら惜しい！お前ほどの錬金術師ならば、教えずとも分かるだろう？			ひとときの奇跡							
これを使って、もう一度、究極の錬金術に挑むぞ。準備に少し時間はかかるが、今度はお前も立ち会ってくれ。			これを使って、もう一度、究極の錬金術に挑むぞ。準備に少し時間はかかるが、今度はお前も立ち会ってくれ。			ひとときの奇跡							
……全ては正しく行われた。間もなく、結果が出るだろう。			……全ては正しく行われた。間もなく、結果が出るだろう。			ひとときの奇跡							
それはきっと、あなたの望む結果ではないわ。			それはきっと、あなたの望む結果ではないわ。			ひとときの奇跡							
ワ・ブリナ……！			ワ・ブリナ……！			ひとときの奇跡							
姉さんの身体を返して。……もう十分でしょう、セヴェリアンさん。			姉さんの身体を返して。……もう十分でしょう、セヴェリアンさん。			ひとときの奇跡							
究極の錬金術は完成した。今度こそ完璧だ。ナージャは今に、死の暗闇から蘇る！			究極の錬金術は完成した。今度こそ完璧だ。ナージャは今に、死の暗闇から蘇る！			ひとときの奇跡							
無理よ。あなたもわかっているでしょう？命を創るのは神の御業、錬金術にできることじゃない。			無理よ。あなたもわかっているでしょう？命を創るのは神の御業、錬金術にできることじゃない。			ひとときの奇跡							
