情報屋のワイモンドは、冒険者に紹介したい仕事があるようだ。			情報屋のワイモンドは、冒険者に紹介したい仕事があるようだ。			謎の事件屋							
ア、ア、アンタ、いきなりなに言ってんのよ！！小じわは関係ないでしょ！　フン！！			ア、ア、アンタ、いきなりなに言ってんのよ！！小じわは関係ないでしょ！　フン！！			秘史を抱く者たち							
…………あ。			…………あ。			秘史を抱く者たち							
…………その反応は、エリーだよ。			…………その反応は、エリーだよ。			秘史を抱く者たち							
エリー殿じゃ……ない？			エリー殿じゃ……ない？			秘史を抱く者たち							
事件屋ヒルディブランドは、壺の修理ができる彫金師について心当たりがあるようだ。			事件屋ヒルディブランドは、壺の修理ができる彫金師について心当たりがあるようだ。			白髪の鬼							
ヒルディブランドによると、「白髪鬼」と恐れられる彫金師なら、バラバラになった壺を修理することができるらしい。白髪鬼と呼ばれる彫金師は、北ザナラーンで素材集めをしているという。北ザナラーンに向かい、「キャンプ・ブルーフォグ」の北で彫金師の痕跡を探そう。			ヒルディブランドによると、「白髪鬼」と恐れられる彫金師なら、バラバラになった壺を修理することができるらしい。白髪鬼と呼ばれる彫金師は、北ザナラーンで素材集めをしているという。北ザナラーンに向かい、「キャンプ・ブルーフォグ」の北で彫金師の痕跡を探そう。			白髪の鬼							
ドブランの死体を調べた。北に向かって血痕が続いているようだ。引き続き、「キャンプ・ブルーフォグ」の北で彫金師の痕跡を探そう。			ドブランの死体を調べた。北に向かって血痕が続いているようだ。引き続き、「キャンプ・ブルーフォグ」の北で彫金師の痕跡を探そう。			白髪の鬼							
バジリスクの死体を調べた。さらに北に向かって血痕が続いているようだ。引き続き、「キャンプ・ブルーフォグ」の北で彫金師の痕跡を探そう。			バジリスクの死体を調べた。さらに北に向かって血痕が続いているようだ。引き続き、「キャンプ・ブルーフォグ」の北で彫金師の痕跡を探そう。			白髪の鬼							
アーリマンの死体を調べた。ヒルディブランドによると、付近にあるキマイラの死体近くに、白髪鬼が潜んでいるという。しかし、白髪鬼を呼び寄せるためには、「紳士の舞」を踊る必要があるらしい……。			アーリマンの死体を調べた。ヒルディブランドによると、付近にあるキマイラの死体近くに、白髪鬼が潜んでいるという。しかし、白髪鬼を呼び寄せるためには、「紳士の舞」を踊る必要があるらしい……。			白髪の鬼							
キャンプ・ブルーフォグ北で彫金師の痕跡を探す			キャンプ・ブルーフォグ北で彫金師の痕跡を探す			白髪の鬼							
引き続き彫金師の痕跡を探す			引き続き彫金師の痕跡を探す			白髪の鬼							
さらに彫金師の痕跡を探す			さらに彫金師の痕跡を探す			白髪の鬼							
バラバラになった壺を直すことができる彫金師……それは「エオルゼア最強の彫金師」のみ。			バラバラになった壺を直すことができる彫金師……それは「エオルゼア最強の彫金師」のみ。			白髪の鬼							
(-東方風の男-)最強……。そいつは、強いのか？			(-東方風の男-)最強……。そいつは、強いのか？			白髪の鬼							
……かつて、多くの宝飾品を盗んだ大規模な盗賊団が、一晩のうちに壊滅する、という事件がありました。			……かつて、多くの宝飾品を盗んだ大規模な盗賊団が、一晩のうちに壊滅する、という事件がありました。			白髪の鬼							
