甲冑師ギルドのハ・ナンザは、冒険者に話したいことがあるようだ。			甲冑師ギルドのハ・ナンザは、冒険者に話したいことがあるようだ。			個性を求めて							
腕を守るのは勿論であるが、剣を振るための動きやすさも、良き篭手には欠かせない点である。			腕を守るのは勿論であるが、剣を振るための動きやすさも、良き篭手には欠かせない点である。			東方式の甲冑作り							
「チタン製の手甲」の製作は進んでいるか？素材は「ウンリュウ」殿に頼めば、揃えてくれるだろう。			「チタン製の手甲」の製作は進んでいるか？素材は「ウンリュウ」殿に頼めば、揃えてくれるだろう。			東方式の甲冑作り							
参考になる話を聞けたようですね。どういった篭手に仕上がるのか、楽しみにしていますよ。			参考になる話を聞けたようですね。どういった篭手に仕上がるのか、楽しみにしていますよ。			東方式の甲冑作り							
「チタン製の手甲」を作るのに必要な素材だよな？先に戻ってきたブランシュティルから聞いてたから、用意しておいたぜ。			「チタン製の手甲」を作るのに必要な素材だよな？先に戻ってきたブランシュティルから聞いてたから、用意しておいたぜ。			東方式の甲冑作り							
材料は、こんなところがあれば大丈夫だろう。もし足りなくなったら、声をかけてくれ。			材料は、こんなところがあれば大丈夫だろう。もし足りなくなったら、声をかけてくれ。			東方式の甲冑作り							
「チタン製の手甲」を作るのに必要な素材は、こんなところがあれば大丈夫だろう。もし足りなくなったら、声をかけてくれ。			「チタン製の手甲」を作るのに必要な素材は、こんなところがあれば大丈夫だろう。もし足りなくなったら、声をかけてくれ。			東方式の甲冑作り							
軽くて丈夫そうな「チタン製の手甲」が、出来上がってるじゃないか。「ブランシュティル」に渡すといいぜ。			軽くて丈夫そうな「チタン製の手甲」が、出来上がってるじゃないか。「ブランシュティル」に渡すといいぜ。			東方式の甲冑作り							
どうだ？「チタン製の手甲」の製作は終わったか？			どうだ？「チタン製の手甲」の製作は終わったか？			東方式の甲冑作り							
さすが我が兄弟弟子、見事な出来栄えだな。それでは、我が製作した部品と合わせて仕上げよう。篭手が完成したら、すぐさまフウゲツ殿に見せるのだ！			さすが我が兄弟弟子、見事な出来栄えだな。それでは、我が製作した部品と合わせて仕上げよう。篭手が完成したら、すぐさまフウゲツ殿に見せるのだ！			東方式の甲冑作り							
どれどれ、見させてもらうとしましょうか……。			どれどれ、見させてもらうとしましょうか……。			東方式の甲冑作り							
手甲や小札自体の強度と精度も申し分ないですが、結びもしっかりとしていて、丁寧な仕事ぶりが窺えますね。これなら合格点をあげても、まったく問題ないでしょう。			手甲や小札自体の強度と精度も申し分ないですが、結びもしっかりとしていて、丁寧な仕事ぶりが窺えますね。これなら合格点をあげても、まったく問題ないでしょう。			東方式の甲冑作り							
篭手は、腕を守るものですが、硬さだけにこだわると、とたんに着用者を縛る枷となってしまいます。戦場で動きやすさがいかに大事かは、言うまでもありません。			篭手は、腕を守るものですが、硬さだけにこだわると、とたんに着用者を縛る枷となってしまいます。戦場で動きやすさがいかに大事かは、言うまでもありません。			東方式の甲冑作り							
赤誠組の隊士殿から教わったとおりに作っただけのこと。これぐらいの品であれば、我らの腕を持ってすれば、製作できて当然だ……。			赤誠組の隊士殿から教わったとおりに作っただけのこと。これぐらいの品であれば、我らの腕を持ってすれば、製作できて当然だ……。			東方式の甲冑作り							
