クガネのヒルディブランドは、シグレの帰りを待っているようだ。			クガネのヒルディブランドは、シグレの帰りを待っているようだ。			薬に侵されし最強の男							
それからは、金に困らないように努力したさ。修行と武器集めも兼ねて、クガネで護衛の仕事を始めたんだ。			それからは、金に困らないように努力したさ。修行と武器集めも兼ねて、クガネで護衛の仕事を始めたんだ。			秘められた証拠品							
今思えば、斬魔刀って業物を手に入れたのがきっかけだった。その頃から、腕利きのヨウジンボウと噂になってきたもんで、衣装もそれらしく着替えてみてな……。			今思えば、斬魔刀って業物を手に入れたのがきっかけだった。その頃から、腕利きのヨウジンボウと噂になってきたもんで、衣装もそれらしく着替えてみてな……。			秘められた証拠品							
カゲヤマとかいう醤油屋と知り合ったのも、その頃さ。まさか、仕事中にForenameと、再会するとは思ってなかったけどな！			カゲヤマとかいう醤油屋と知り合ったのも、その頃さ。まさか、仕事中にForenameと、再会するとは思ってなかったけどな！			秘められた証拠品							
Forenameの姿を、クガネの街中で見かけたのも、その頃さ。			Forenameの姿を、クガネの街中で見かけたのも、その頃さ。			秘められた証拠品							
宿敵との再会を果たし、勝利の秘策を求めていたオレは、名刀「ソボロ助広」の噂を聞き、これだと飛びついた。後はアケボノに取り入って……知ってのとおりだ。			宿敵との再会を果たし、勝利の秘策を求めていたオレは、名刀「ソボロ助広」の噂を聞き、これだと飛びついた。後はアケボノに取り入って……知ってのとおりだ。			秘められた証拠品							
なるほど、そうだったのですね……。			なるほど、そうだったのですね……。			秘められた証拠品							
ともかく悔しいが、今回もオレの負けだ！全力で戦って、敗れちまったんなら悔いはねぇ。			ともかく悔しいが、今回もオレの負けだ！全力で戦って、敗れちまったんなら悔いはねぇ。			秘められた証拠品							
なんっつーか、罪滅ぼしといっちゃなんだが……何かオレにできることがあったら、なんでも協力させてくれ！			なんっつーか、罪滅ぼしといっちゃなんだが……何かオレにできることがあったら、なんでも協力させてくれ！			秘められた証拠品							
それは心強い！よろしく頼みますぞ！			それは心強い！よろしく頼みますぞ！			秘められた証拠品							
それではナシュの元に戻るとしましょう！			それではナシュの元に戻るとしましょう！			秘められた証拠品							
ギルちゃん、ナシュの元までエスコートいたしますぞ～！			ギルちゃん、ナシュの元までエスコートいたしますぞ～！			秘められた証拠品							
まさか、ヨウジンボウ殿がギルちゃんだったとは、驚きですぞ！			まさか、ヨウジンボウ殿がギルちゃんだったとは、驚きですぞ！			秘められた証拠品							
全力で戦って、敗れちまったんなら悔いはねぇ。罪滅ぼしといっちゃなんだが、何かオレにできることがあったら、なんでも協力させてくれ！			全力で戦って、敗れちまったんなら悔いはねぇ。罪滅ぼしといっちゃなんだが、何かオレにできることがあったら、なんでも協力させてくれ！			秘められた証拠品							
