八分儀広場の生真面目な警備兵は、冒険者に頼みたいことがあるようだ。			八分儀広場の生真面目な警備兵は、冒険者に頼みたいことがあるようだ。			青魔道士と名乗る男							
か、金は返すっぺな！でも、あの衣装はもう売り払ってしまったっぺよ。金に色を付けるから、勘弁してほしいっぺよ！			か、金は返すっぺな！でも、あの衣装はもう売り払ってしまったっぺよ。金に色を付けるから、勘弁してほしいっぺよ！			覆面闘技祭と青頭巾							
も、もしかして「覆面闘技祭」の入場券、探してたっぺな？だったら、めったに手に入らないこの希少な入場券を、特別にタダで譲ってやるっぺよ！			も、もしかして「覆面闘技祭」の入場券、探してたっぺな？だったら、めったに手に入らないこの希少な入場券を、特別にタダで譲ってやるっぺよ！			覆面闘技祭と青頭巾							
うぺぺぺぺ……それじゃ、さいならっぺよ～！			うぺぺぺぺ……それじゃ、さいならっぺよ～！			覆面闘技祭と青頭巾							
やれやれ、私の一張羅は戻ってこなかったが、多少の金と目的の品が手に入ったので、良しとしよう。			やれやれ、私の一張羅は戻ってこなかったが、多少の金と目的の品が手に入ったので、良しとしよう。			覆面闘技祭と青頭巾							
それでは、さっそく観戦に向かうぞ。クガネ城の門前に「覆面闘技祭のもぎり」がいるはずだ。			それでは、さっそく観戦に向かうぞ。クガネ城の門前に「覆面闘技祭のもぎり」がいるはずだ。			覆面闘技祭と青頭巾							
はてさて、「覆面闘技祭」とはいかなるものか……？			はてさて、「覆面闘技祭」とはいかなるものか……？			覆面闘技祭と青頭巾							
さあさあ、本日の「覆面闘技祭」は、お待ちかね「黄金頭巾」の登場ですよ。入場券をお持ちの方は、ご提示のうえご入場ください。			さあさあ、本日の「覆面闘技祭」は、お待ちかね「黄金頭巾」の登場ですよ。入場券をお持ちの方は、ご提示のうえご入場ください。			覆面闘技祭と青頭巾							
これで、ふたり入れるだろうか？			これで、ふたり入れるだろうか？			覆面闘技祭と青頭巾							
もちろんですとも……。ただ、こちらは前座試合のみの券となります。「黄金頭巾」の試合は観戦できないので、あしからず。			もちろんですとも……。ただ、こちらは前座試合のみの券となります。「黄金頭巾」の試合は観戦できないので、あしからず。			覆面闘技祭と青頭巾							
くっ、あのナマズめ……安物の入場券を握らせおって！まあいい、「覆面闘技祭」がどういうものかさえわかれば……。さあ、試合場に向かおう。			くっ、あのナマズめ……安物の入場券を握らせおって！まあいい、「覆面闘技祭」がどういうものかさえわかれば……。さあ、試合場に向かおう。			覆面闘技祭と青頭巾							
さてさて、今宵「覆面闘技祭」の前座を飾りますは、ご存じ藍染め眩しい「青頭巾」！			さてさて、今宵「覆面闘技祭」の前座を飾りますは、ご存じ藍染め眩しい「青頭巾」！			覆面闘技祭と青頭巾							
鋭い牙むくヤンサトラ相手に、見せてくれるか、摩訶不思議なる「青仙術」！			鋭い牙むくヤンサトラ相手に、見せてくれるか、摩訶不思議なる「青仙術」！			覆面闘技祭と青頭巾							
お見事！真打、「黄金頭巾」には劣るものの、青仙術士の元祖たるその腕は伊達じゃない！			お見事！真打、「黄金頭巾」には劣るものの、青仙術士の元祖たるその腕は伊達じゃない！			覆面闘技祭と青頭巾							
なんだって！？青魔道士の元祖はこの私だぞ……！			なんだって！？青魔道士の元祖はこの私だぞ……！			覆面闘技祭と青頭巾							
ともかく、あれは間違いなく青魔法だった。だが、腕はいまひとつ、所詮は猿真似だ。それにしても、いったい誰が……？			ともかく、あれは間違いなく青魔法だった。だが、腕はいまひとつ、所詮は猿真似だ。それにしても、いったい誰が……？			覆面闘技祭と青頭巾							
