聖ガンリオル占星院のジャンヌキナルは、冒険者に知らせたいことがあるようだ。			聖ガンリオル占星院のジャンヌキナルは、冒険者に知らせたいことがあるようだ。			東風吹き込む占星院							
おお、掃討作戦に参加する「占星術師」だな。負傷者が相次ぎ、治療が追いついていない。さっそく、付近の「負傷した騎兵」たちを癒してやってくれ。			おお、掃討作戦に参加する「占星術師」だな。負傷者が相次ぎ、治療が追いついていない。さっそく、付近の「負傷した騎兵」たちを癒してやってくれ。			叡智を守護する者							
付近の「負傷した騎兵」たちを癒してやってくれ。			付近の「負傷した騎兵」たちを癒してやってくれ。			叡智を守護する者							
うう……気が遠くなる……。			うう……気が遠くなる……。			叡智を守護する者							
……ああ、楽になりました。			……ああ、楽になりました。			叡智を守護する者							
俺より先に、傷が深い奴の回復を……。			俺より先に、傷が深い奴の回復を……。			叡智を守護する者							
誰か……助けてくれ……。			誰か……助けてくれ……。			叡智を守護する者							
ありがとうございます……。			ありがとうございます……。			叡智を守護する者							
俺より先に、傷が深い奴の回復を……。			俺より先に、傷が深い奴の回復を……。			叡智を守護する者							
うう……俺は、ここで終わるのか……。			うう……俺は、ここで終わるのか……。			叡智を守護する者							
た、助かりました……。			た、助かりました……。			叡智を守護する者							
……と、ところで、先ほど、女性の悲鳴が聞こえました。貴方のお仲間に、占星術師の女性がいましたよね？何かあったのではないかと心配です……。			……と、ところで、先ほど、女性の悲鳴が聞こえました。貴方のお仲間に、占星術師の女性がいましたよね？何かあったのではないかと心配です……。			叡智を守護する者							
……と、ところで、先ほど、女性の悲鳴が聞こえました。貴方のお仲間に、占星術師の女性がいましたよね？何かあったのではないかと心配です……。			……と、ところで、先ほど、女性の悲鳴が聞こえました。貴方のお仲間に、占星術師の女性がいましたよね？何かあったのではないかと心配です……。			叡智を守護する者							
(-謎めいた占星術師-)……やれやれ、こんなものを隠し持っていたのですか？シャーレアンから、はるばる来たかいがあったようですね。			(-謎めいた占星術師-)……やれやれ、こんなものを隠し持っていたのですか？シャーレアンから、はるばる来たかいがあったようですね。			叡智を守護する者							
