解放軍の将校は、冒険者を待っていたようだ。			解放軍の将校は、冒険者を待っていたようだ。			ウェポン襲来							
ただひとつ言えることは、彼にも、流れている……あの、非道で残虐なガレアン族の血が……。			ただひとつ言えることは、彼にも、流れている……あの、非道で残虐なガレアン族の血が……。			飛べ！ ウェルリトへ 							
20年前、アラミゴが制圧されたあの日のこと……当時、グリダニアに従わず、森の中で生きていた、私たちシェーダー族の縄張りにも、帝国軍の部隊がやってきました。			20年前、アラミゴが制圧されたあの日のこと……当時、グリダニアに従わず、森の中で生きていた、私たちシェーダー族の縄張りにも、帝国軍の部隊がやってきました。			飛べ！ ウェルリトへ 							
帝国軍の強大さを知らず、無謀にも戦いを挑んだ私たちは、魔導兵器に蹴散らされ、あっという間に散り散りに。気づいた時には、森の中で独りになっていました……。			帝国軍の強大さを知らず、無謀にも戦いを挑んだ私たちは、魔導兵器に蹴散らされ、あっという間に散り散りに。気づいた時には、森の中で独りになっていました……。			飛べ！ ウェルリトへ 							
どうにか集落に戻ってみるも、妻子はおろか、同胞ひとりさえ見つけることができませんでした。			どうにか集落に戻ってみるも、妻子はおろか、同胞ひとりさえ見つけることができませんでした。			飛べ！ ウェルリトへ 							
妻を、子どもを、同胞たちを求めて森を彷徨うこと数ヶ月。ビターミルという集落に収容されたふたりが、毒ガス兵器、黒薔薇の実験の犠牲になっていたことを知ったのです。			妻を、子どもを、同胞たちを求めて森を彷徨うこと数ヶ月。ビターミルという集落に収容されたふたりが、毒ガス兵器、黒薔薇の実験の犠牲になっていたことを知ったのです。			飛べ！ ウェルリトへ 							
……それから、20年。目的もなく暮らしていると、双蛇党が帝国軍と戦うために、冒険者部隊を募っていることを聞きつけました。			……それから、20年。目的もなく暮らしていると、双蛇党が帝国軍と戦うために、冒険者部隊を募っていることを聞きつけました。			飛べ！ ウェルリトへ 							
そして私は、妻子の命を奪ったガレアン族に復讐するため、かつては反発したグリダニアの軍門に下ることを決意した……。その後は、マーチ・オブ・アルコンズ作戦にも参加しました。			そして私は、妻子の命を奪ったガレアン族に復讐するため、かつては反発したグリダニアの軍門に下ることを決意した……。その後は、マーチ・オブ・アルコンズ作戦にも参加しました。			飛べ！ ウェルリトへ 							
貴方も魔導城プラエトリウムで戦っていたそうですね。実は私も、あの場所にいたのですよ。もっとも、建物の倒壊に巻き込まれ、負傷してしまいましたが。			貴方も魔導城プラエトリウムで戦っていたそうですね。実は私も、あの場所にいたのですよ。もっとも、建物の倒壊に巻き込まれ、負傷してしまいましたが。			飛べ！ ウェルリトへ 							
どうにか命だけは助かった私は、廃墟の中で、半死半生のガイウス・ヴァン・バエサルを見つけたのです。それは、復讐を誓う私にとって、千載一遇の好機でした。			どうにか命だけは助かった私は、廃墟の中で、半死半生のガイウス・ヴァン・バエサルを見つけたのです。それは、復讐を誓う私にとって、千載一遇の好機でした。			飛べ！ ウェルリトへ 							
妻子の復讐だと武器を向ける私に、ガイウスは言いました。			妻子の復讐だと武器を向ける私に、ガイウスは言いました。			飛べ！ ウェルリトへ 							
「ならば、この命くれてやってもよい。だが、その前にやらねばならぬことがある」			「ならば、この命くれてやってもよい。だが、その前にやらねばならぬことがある」			飛べ！ ウェルリトへ 							
「我を謀り、人の歴史を操らんとしたアシエン。奴らを狩りつくさねばならない……。その後ならば命をやろう」とね。			「我を謀り、人の歴史を操らんとしたアシエン。奴らを狩りつくさねばならない……。その後ならば命をやろう」とね。			飛べ！ ウェルリトへ 							
命乞いかと疑いもしましたが、以来、奴がアシエンとの戦いで、何を為すのか見届けるため、「影の狩人」となったガイウスと行動を共にしているのです。			命乞いかと疑いもしましたが、以来、奴がアシエンとの戦いで、何を為すのか見届けるため、「影の狩人」となったガイウスと行動を共にしているのです。			飛べ！ ウェルリトへ 							
ですが、奴が他のガレアン族と同様に、誰かを傷つけようものなら…………私がこの手で殺します。			ですが、奴が他のガレアン族と同様に、誰かを傷つけようものなら…………私がこの手で殺します。			飛べ！ ウェルリトへ 							
