ラストスタンドのグ・ラハ・ティアは、冒険者の返事が気になるようだ。			ラストスタンドのグ・ラハ・ティアは、冒険者の返事が気になるようだ。			明日への一歩							
ゼロムスのもとを目指す途中、とあるメモリアを発見した冒険者は、その内に眠る記憶の世界に引き込まれてしまった。そこで闇に蝕まれた英雄ゴルベーザと、彼を止めんと立ち向かうドゥランテの戦いを追体験することに。決着がつき、ドゥランテはゴルベーザの前に膝を屈してしまった。一度赤き月から離れた場合は、「嘆きの海 南」から再度向かえるようだ。			ゼロムスのもとを目指す途中、とあるメモリアを発見した冒険者は、その内に眠る記憶の世界に引き込まれてしまった。そこで闇に蝕まれた英雄ゴルベーザと、彼を止めんと立ち向かうドゥランテの戦いを追体験することに。決着がつき、ドゥランテはゴルベーザの前に膝を屈してしまった。一度赤き月から離れた場合は、「嘆きの海 南」から再度向かえるようだ。			ヴォイドの英雄							
これまで冒険者たちが対峙してきたゴルベーザは、英雄の名を継いだドゥランテだったことが判明した。渓谷の底にいる「ゼロ」と話そう。一度渓谷の底から離れた場合は、赤き月から再度向かえるようだ。			これまで冒険者たちが対峙してきたゴルベーザは、英雄の名を継いだドゥランテだったことが判明した。渓谷の底にいる「ゼロ」と話そう。一度渓谷の底から離れた場合は、赤き月から再度向かえるようだ。			ヴォイドの英雄							
ゼロと話した。ゴルベーザが待つ扉の奥へと向かおう。			ゼロと話した。ゴルベーザが待つ扉の奥へと向かおう。			ヴォイドの英雄							
残る力を振り絞り、行く手を阻むゴルベーザ。しかし一行も、力を合わせて冒険者をゼロムスのもとへと送り出した。原初世界への侵攻を阻止し、そしてアジュダヤの魂を引き剥がすため、「ゼロムス」を討伐しよう。※コンテンツファインダーから攻略に参加できます。			残る力を振り絞り、行く手を阻むゴルベーザ。しかし一行も、力を合わせて冒険者をゼロムスのもとへと送り出した。原初世界への侵攻を阻止し、そしてアジュダヤの魂を引き剥がすため、「ゼロムス」を討伐しよう。※コンテンツファインダーから攻略に参加できます。			ヴォイドの英雄							
ゼロムスを討伐した。赤き月の底で、アジュダヤの魂を救い出そう。一度赤き月の底から離れた場合は、渓谷の底から再度向かえるようだ。			ゼロムスを討伐した。赤き月の底で、アジュダヤの魂を救い出そう。一度赤き月の底から離れた場合は、渓谷の底から再度向かえるようだ。			ヴォイドの英雄							
ゼロムスは幾度となく再生を繰り返すも、力を合わせたゼロとゴルベーザによって核を露出させた。そして、ヴリトラの切なる呼びかけに応えるように、アジュダヤは帰還を果たすのだった。赤き月の「ゼロ」と話そう。			ゼロムスは幾度となく再生を繰り返すも、力を合わせたゼロとゴルベーザによって核を露出させた。そして、ヴリトラの切なる呼びかけに応えるように、アジュダヤは帰還を果たすのだった。赤き月の「ゼロ」と話そう。			ヴォイドの英雄							
ゼロと話した。偶然の出会いがヴォイドの未来に光明をもたらしたことで、感慨深い様子だ。さあ、原初世界へと帰還しよう。			ゼロと話した。偶然の出会いがヴォイドの未来に光明をもたらしたことで、感慨深い様子だ。さあ、原初世界へと帰還しよう。			ヴォイドの英雄							
「深淵潜行 月の地下渓谷」を攻略			「深淵潜行 月の地下渓谷」を攻略			ヴォイドの英雄							
ゼロと話す			ゼロと話す			ヴォイドの英雄							
「ゼロムス」を討伐			「ゼロムス」を討伐			ヴォイドの英雄							
ゼロと話す			ゼロと話す			ヴォイドの英雄							
喜んでばかりもいられないわ。ここからが本番……気を引き締めていくわよ！			喜んでばかりもいられないわ。ここからが本番……気を引き締めていくわよ！			ヴォイドの英雄							
他者と手を取り合えることも、また強さだ。出会ったころのゼロからは想像できん変わりようだが、……悪くない。			他者と手を取り合えることも、また強さだ。出会ったころのゼロからは想像できん変わりようだが、……悪くない。			ヴォイドの英雄							
この光の煌めき、ここだけで終わらせはしない。必ず、月の奥底まで届けてみせよう。			この光の煌めき、ここだけで終わらせはしない。必ず、月の奥底まで届けてみせよう。			ヴォイドの英雄							
私はここで皆の退路を確保しよう。妖異たちをゲートに近づけはさせない……！			私はここで皆の退路を確保しよう。妖異たちをゲートに近づけはさせない……！			ヴォイドの英雄							
「赤き月」へ移動しますか？			「赤き月」へ移動しますか？			ヴォイドの英雄							
一刻の猶予もならない状況だが、私はもう焦ってはいない。アジュダヤの魂に呼びかける好機を逃さぬぞ。			一刻の猶予もならない状況だが、私はもう焦ってはいない。アジュダヤの魂に呼びかける好機を逃さぬぞ。			ヴォイドの英雄							
さあ、今こそふたたび穴底へと降り、ゼロムスに取り込まれた姉さんを救い出すとき。行く手を阻む妖異は、すべて討ち倒し進んでゆこう！			さあ、今こそふたたび穴底へと降り、ゼロムスに取り込まれた姉さんを救い出すとき。行く手を阻む妖異は、すべて討ち倒し進んでゆこう！			ヴォイドの英雄							
どうする？			どうする？			ヴォイドの英雄							
話す			話す			ヴォイドの英雄							
パーティを編成して突入			パーティを編成して突入			ヴォイドの英雄							
キャンセル			キャンセル			ヴォイドの英雄							
