忘れられた騎士亭のアルドランは、冒険者に任せたい手配書があるようだ。			忘れられた騎士亭のアルドランは、冒険者に任せたい手配書があるようだ。			イシュガルドのリスキーモブ							
俺がキャンプ・クラウドトップから戻ったばかりで、あっちがいかに暇かを、愚痴ってたときだったかな？急に話に食いついてきたんだ。			俺がキャンプ・クラウドトップから戻ったばかりで、あっちがいかに暇かを、愚痴ってたときだったかな？急に話に食いついてきたんだ。			小さな命の小さな願い							
暇な時は畑を耕してたとか、他愛もないことを話してたが、いろいろ聞いてくるから面倒になっちまってな。適当に話を切ったのさ。			暇な時は畑を耕してたとか、他愛もないことを話してたが、いろいろ聞いてくるから面倒になっちまってな。適当に話を切ったのさ。			小さな命の小さな願い							
暇な時は畑を耕してたとか、他愛もないことを話してたが、いろいろ聞いてくるから面倒になっちまってな。適当に話を切ったのさ。			暇な時は畑を耕してたとか、他愛もないことを話してたが、いろいろ聞いてくるから面倒になっちまってな。適当に話を切ったのさ。			小さな命の小さな願い							
「薄汚れた麻袋」を見つけた。中には、小銭と、よれよれの紙切れが入っている……。紙切れは、アバラシア雲海での任務の徴募のチラシのようだ。			「薄汚れた麻袋」を見つけた。中には、小銭と、よれよれの紙切れが入っている……。紙切れは、アバラシア雲海での任務の徴募のチラシのようだ。			小さな命の小さな願い							
……そうか、手間をかけさせたの。あの子は、アバラシア雲海に、行きたかっただけなのかもしれぬな……。			……そうか、手間をかけさせたの。あの子は、アバラシア雲海に、行きたかっただけなのかもしれぬな……。			小さな命の小さな願い							
ドラゴン族に両親を殺されていることもあってか、先の襲撃でも尋常じゃなく怯えておった。……ドラゴン族の居ないかの地に、憧れを抱いていたのだろう。			ドラゴン族に両親を殺されていることもあってか、先の襲撃でも尋常じゃなく怯えておった。……ドラゴン族の居ないかの地に、憧れを抱いていたのだろう。			小さな命の小さな願い							
いくら資金を貯めておっても、凍え死んだら何もならんのに……。……少女の願いを聞いてやることもできないとは、つくづく無力だと感じてしまうの……。			いくら資金を貯めておっても、凍え死んだら何もならんのに……。……少女の願いを聞いてやることもできないとは、つくづく無力だと感じてしまうの……。			小さな命の小さな願い							
お前さん、その「薄汚れた麻袋」を、キャンプ・クラウドトップに持っていき、あの子を弔ってやってくれんか……。			お前さん、その「薄汚れた麻袋」を、キャンプ・クラウドトップに持っていき、あの子を弔ってやってくれんか……。			小さな命の小さな願い							
お前さん、その「薄汚れた麻袋」を、キャンプ・クラウドトップに持っていき、あの子を弔ってやってくれんか……。			お前さん、その「薄汚れた麻袋」を、キャンプ・クラウドトップに持っていき、あの子を弔ってやってくれんか……。			小さな命の小さな願い							
薄汚れた麻袋を置いた。少女の笑い声が聞こえた気がした……。			薄汚れた麻袋を置いた。少女の笑い声が聞こえた気がした……。			小さな命の小さな願い							
弔ってくれたか……ありがとう。あの子も、少しはうかばれるだろう。			弔ってくれたか……ありがとう。あの子も、少しはうかばれるだろう。			小さな命の小さな願い							
この国はまだ、多くの歪みと悲しみに満ちている。だが、いつか必ず雪解けがやってくるはずだ。……そう信じておるよ。			この国はまだ、多くの歪みと悲しみに満ちている。だが、いつか必ず雪解けがやってくるはずだ。……そう信じておるよ。			小さな命の小さな願い							
