流星の間のリムサ・ロミンサの駐在武官は、冒険者に頼みたいことがあるようだ。			流星の間のリムサ・ロミンサの駐在武官は、冒険者に頼みたいことがあるようだ。			いざ、出航の時							
しかしな、ランドゥネル。蛮神が相手となれば、いくら俺たちと言えど無事に済む保証はない。			しかしな、ランドゥネル。蛮神が相手となれば、いくら俺たちと言えど無事に済む保証はない。			復活、海雄旅団！							
団長のような、戦闘技能と統率力のあるリーダーがいなければ、蛮神の前では「強き力」たり得ないだろう。			団長のような、戦闘技能と統率力のあるリーダーがいなければ、蛮神の前では「強き力」たり得ないだろう。			復活、海雄旅団！							
団長、か……。			団長、か……。			復活、海雄旅団！							
ならばForenameを、団長代行に据えればどうだろう？彼女彼ならば、その器として申し分ないはずだ。			ならばForenameを、団長代行に据えればどうだろう？彼女彼ならば、その器として申し分ないはずだ。			復活、海雄旅団！							
……これは予想外の提案ですね。とはいえ、力、度胸、技、機転、心……そのすべてを兼ね備えた彼女彼なら……。			……これは予想外の提案ですね。とはいえ、力、度胸、技、機転、心……そのすべてを兼ね備えた彼女彼なら……。			復活、海雄旅団！							
シュコォ……　シュコォ……ゴブの盟友　あの団長にも　負けず劣らず～！			シュコォ……　シュコォ……ゴブの盟友　あの団長にも　負けず劣らず～！			復活、海雄旅団！							
……お前自身はどうなんだ。俺たちを率いる自信はあるのか？			……お前自身はどうなんだ。俺たちを率いる自信はあるのか？			復活、海雄旅団！							
何と言う？			何と言う？			復活、海雄旅団！							
任せてほしい			任せてほしい			復活、海雄旅団！							
珍味集めじゃなければ引き受けよう			珍味集めじゃなければ引き受けよう			復活、海雄旅団！							
……そうか。お前がそこまで言うなら、もう何も言うまい。			……そうか。お前がそこまで言うなら、もう何も言うまい。			復活、海雄旅団！							
……あの時は面倒なことさせて悪かった。よもや、そこまで根に持っているとはな……。ともかく、団長代行を引き受けるつもりなんだな？			……あの時は面倒なことさせて悪かった。よもや、そこまで根に持っているとはな……。ともかく、団長代行を引き受けるつもりなんだな？			復活、海雄旅団！							
やれやれ……まさか、再び旅団が結成される日が来ようとはな……。			やれやれ……まさか、再び旅団が結成される日が来ようとはな……。			復活、海雄旅団！							
ところで一応、確認しておきたいんだが、団長とは、まだ連絡は取れないのか？			ところで一応、確認しておきたいんだが、団長とは、まだ連絡は取れないのか？			復活、海雄旅団！							
団長は、俺たちに各々の生き方を見つけさせるために、表舞台から姿を消したんだ。もう二度と会うことはねぇかもな。			団長は、俺たちに各々の生き方を見つけさせるために、表舞台から姿を消したんだ。もう二度と会うことはねぇかもな。			復活、海雄旅団！							
ともかく、だ。海雄旅団に任せたい仕事は大きくふたつある。			ともかく、だ。海雄旅団に任せたい仕事は大きくふたつある。			復活、海雄旅団！							
ラノシア近海の偽神獣討伐への協力、そして海嘯派サハギン族による蛮神召喚の阻止だ。			ラノシア近海の偽神獣討伐への協力、そして海嘯派サハギン族による蛮神召喚の阻止だ。			復活、海雄旅団！							
再結成して早々、大役を任せられたものですね。誰にどの役割を与えるか、団員の特色を考慮して決めなければ……。			再結成して早々、大役を任せられたものですね。誰にどの役割を与えるか、団員の特色を考慮して決めなければ……。			復活、海雄旅団！							
さっそく、団長代行の仕事がやってきたな。時間をやるから、俺たちをどう編成するか考えてくれ。			さっそく、団長代行の仕事がやってきたな。時間をやるから、俺たちをどう編成するか考えてくれ。			復活、海雄旅団！							
私は、海雄旅団のかつての副団長、ヴェイスケートと話してくる。君は「溺れた海豚亭」で待っていてくれ。			私は、海雄旅団のかつての副団長、ヴェイスケートと話してくる。君は「溺れた海豚亭」で待っていてくれ。			復活、海雄旅団！							
