レヴナンツトールのシ・ルン・ティアは、今後の修行について考えているようだ。			レヴナンツトールのシ・ルン・ティアは、今後の修行について考えているようだ。			不可避の定め							
先輩、師匠……！また、赤魔道士の修行に戻れると思うと、うれしいです！			先輩、師匠……！また、赤魔道士の修行に戻れると思うと、うれしいです！			抗う力							
アリア…………そのことなんだが……。おまえ自身、もう気づいているんだろう？			アリア…………そのことなんだが……。おまえ自身、もう気づいているんだろう？			抗う力							
お前の天性は、大妖異リリスから受け継いだ力。リリスが放逐されたいま、魔法の素養も失われてしまった。だから、以前のようには……			お前の天性は、大妖異リリスから受け継いだ力。リリスが放逐されたいま、魔法の素養も失われてしまった。だから、以前のようには……			抗う力							
はい……赤魔道士の技どころか、初歩の呪術も、全然使えなくなってるみたいです！			はい……赤魔道士の技どころか、初歩の呪術も、全然使えなくなってるみたいです！			抗う力							
どう切りだそうかと、迷ってたんだが……全然、落ち込んでいないんだな？			どう切りだそうかと、迷ってたんだが……全然、落ち込んでいないんだな？			抗う力							
はい！……これがわたしの抗うべき定めなら、またイチから、魔法の修行を始めればいいだけですから！			はい！……これがわたしの抗うべき定めなら、またイチから、魔法の修行を始めればいいだけですから！			抗う力							
たしかに先輩の背中は、前に追いかけていたときよりも、ずっと遠くなってしまいましたけど……			たしかに先輩の背中は、前に追いかけていたときよりも、ずっと遠くなってしまいましたけど……			抗う力							
それでもいつかまた、先輩と肩を並べて戦える日を夢みて、修行を重ねること。それが、わたしがわたしであるために、必要なことなんです……！			それでもいつかまた、先輩と肩を並べて戦える日を夢みて、修行を重ねること。それが、わたしがわたしであるために、必要なことなんです……！			抗う力							
何と答える？			何と答える？			抗う力							
またいっしょにがんばろう			またいっしょにがんばろう			抗う力							
無理はするな			無理はするな			抗う力							
はい、がんばります！			はい、がんばります！			抗う力							
はい、二度とご心配かけないように……無理のない程度に無茶します！			はい、二度とご心配かけないように……無理のない程度に無茶します！			抗う力							
……その「抗う心」があるかぎり、お前は立派な赤魔道士だ。			……その「抗う心」があるかぎり、お前は立派な赤魔道士だ。			抗う力							
ま……とりあえずは、呪術か幻術を習うといい。今度は素質まかせじゃなく、まっとうな方法でな。ちゃんとできるようになったら、またオレが教えてやる。			ま……とりあえずは、呪術か幻術を習うといい。今度は素質まかせじゃなく、まっとうな方法でな。ちゃんとできるようになったら、またオレが教えてやる。			抗う力							
師匠、ありがとうございます……！			師匠、ありがとうございます……！			抗う力							
それから、Forename……お前、またひとつ強くなったな。			それから、Forename……お前、またひとつ強くなったな。			抗う力							
「赤魔法」は自身の魔力のありったけを込めて放つ魔法……すなわち、術者の心のあり方そのものを映す。			「赤魔法」は自身の魔力のありったけを込めて放つ魔法……すなわち、術者の心のあり方そのものを映す。			抗う力							
