弓術士ギルドのルシアヌは、新しい技を学ぶ方法を教えようとしているようだ。			弓術士ギルドのルシアヌは、新しい技を学ぶ方法を教えようとしているようだ。			響きあうふたつの音色							
紅葉戦争の秘密が記された書物は、ギラバニアにあるらしい。ギラバニア辺境地帯のカストルム・オリエンスで「ヌールヴァル」と話そう。			紅葉戦争の秘密が記された書物は、ギラバニアにあるらしい。ギラバニア辺境地帯のカストルム・オリエンスで「ヌールヴァル」と話そう。			ふたりと、もうひとり							
ギラバニアの現状を調べるため、カストルム・オリエンスに留まることになった。彼らが情報収集を行っている間、今後の捜索に備えておこう。※吟遊詩人のレベルが63以上になると、カストルム・オリエンスのサンソン大牙士から、次の吟遊詩人クエストを受注することができます。			ギラバニアの現状を調べるため、カストルム・オリエンスに留まることになった。彼らが情報収集を行っている間、今後の捜索に備えておこう。※吟遊詩人のレベルが63以上になると、カストルム・オリエンスのサンソン大牙士から、次の吟遊詩人クエストを受注することができます。			ふたりと、もうひとり							
神勇隊司令砦付近のサンソン大牙士と話す			神勇隊司令砦付近のサンソン大牙士と話す			ふたりと、もうひとり							
双蛇党：統合司令部のボルセル大牙佐と話す			双蛇党：統合司令部のボルセル大牙佐と話す			ふたりと、もうひとり							
ナインアイビーにいる手紙の差出人と話す			ナインアイビーにいる手紙の差出人と話す			ふたりと、もうひとり							
カストルム・オリエンスのヌールヴァルと話す			カストルム・オリエンスのヌールヴァルと話す			ふたりと、もうひとり							
やあ、よく訪ねてきてくれたね……。そういえば、この間、双蛇党のサンソンにも会ったよ。			やあ、よく訪ねてきてくれたね……。そういえば、この間、双蛇党のサンソンにも会ったよ。			ふたりと、もうひとり							
彼が取り組んでいた、吟遊詩人を軸に据えた部隊の発足。それがようやく実現し、初任務も与えられたらしい。……ただ、その初任務にあたり、お主に頼みがあるとか。			彼が取り組んでいた、吟遊詩人を軸に据えた部隊の発足。それがようやく実現し、初任務も与えられたらしい。……ただ、その初任務にあたり、お主に頼みがあるとか。			ふたりと、もうひとり							
「サンソン」は、部隊の人材確保のため、最近は「神勇隊司令砦」に通いつめているそうだ……。お主への頼みとやらを聞きに行ってみないかい？			「サンソン」は、部隊の人材確保のため、最近は「神勇隊司令砦」に通いつめているそうだ……。お主への頼みとやらを聞きに行ってみないかい？			ふたりと、もうひとり							
「サンソン」は、「神勇隊司令砦」に通いつめているらしい。野暮用を済ませたら、わしも向かうとしよう。			「サンソン」は、「神勇隊司令砦」に通いつめているらしい。野暮用を済ませたら、わしも向かうとしよう。			ふたりと、もうひとり							
「サンソン」から、頼みとやらを聞いてみよう。			「サンソン」から、頼みとやらを聞いてみよう。			ふたりと、もうひとり							
おお、Forenameさんじゃないですか！聞いてください、ついに俺の夢だった、吟遊詩人を組み入れた部隊の設立許可がおりたんです！			おお、Forenameさんじゃないですか！聞いてください、ついに俺の夢だった、吟遊詩人を組み入れた部隊の設立許可がおりたんです！			ふたりと、もうひとり							
さっそく、双蛇党から任務も拝命したんですよ！ただ新米たちはまだ、任務を任せられるほどではなくて……。			さっそく、双蛇党から任務も拝命したんですよ！ただ新米たちはまだ、任務を任せられるほどではなくて……。			ふたりと、もうひとり							
そこで……Forenameさんに、任務に同行していただきたいんです！			そこで……Forenameさんに、任務に同行していただきたいんです！			ふたりと、もうひとり							
さらに、我々と旅路を共にしたギドゥロも、俺の部隊へ転属させるよう要請してきました……。吟遊詩人の実力を示すには、最初が肝心ですからね！			さらに、我々と旅路を共にしたギドゥロも、俺の部隊へ転属させるよう要請してきました……。吟遊詩人の実力を示すには、最初が肝心ですからね！			ふたりと、もうひとり							
これから、「双蛇党：統合司令部」へ向かい、任務の内容を「ボルセル大牙佐」に伺いに行くのですが……。協力してくれるなら、どうか一緒にいらしてくださいませんか？			これから、「双蛇党：統合司令部」へ向かい、任務の内容を「ボルセル大牙佐」に伺いに行くのですが……。協力してくれるなら、どうか一緒にいらしてくださいませんか？			ふたりと、もうひとり							
