イシュガルド上層の不安げな商人は、飛空艇が帰還しないことを心配しているようだ。			イシュガルド上層の不安げな商人は、飛空艇が帰還しないことを心配しているようだ。			空賊たち							
…………最後は、悲鳴でおしまい、だ。どうやら、まだラドリアは生きているみたいだが……それも、いつまで保つかはわからんな。			…………最後は、悲鳴でおしまい、だ。どうやら、まだラドリアは生きているみたいだが……それも、いつまで保つかはわからんな。			禁忌都市マハ							
あの悲鳴が演技だとしたら、奴は相当な役者だ。こちらを騙す芝居って可能性は、だいぶ下がったが……。			あの悲鳴が演技だとしたら、奴は相当な役者だ。こちらを騙す芝居って可能性は、だいぶ下がったが……。			禁忌都市マハ							
えらく虫のいい話だが、知らない仲でもない……。なにより……妖異が狙う「マハの遺物」とやらも気になるしな。さあ、お前らが妖異に出くわした場所を吐けや！			えらく虫のいい話だが、知らない仲でもない……。なにより……妖異が狙う「マハの遺物」とやらも気になるしな。さあ、お前らが妖異に出くわした場所を吐けや！			禁忌都市マハ							
……お、おおお！　ありがてえ、恩に着る！！場所はモードゥナから北西に向かった先、「ヤフェーム湿地」。姐さんは、そこにあるマハの遺跡に向かってた！			……お、おおお！　ありがてえ、恩に着る！！場所はモードゥナから北西に向かった先、「ヤフェーム湿地」。姐さんは、そこにあるマハの遺跡に向かってた！			禁忌都市マハ							
なっ！　我が故郷、マハの廃墟に！？そんな……まさか奴らは、封じられた「要」を狙って……？			なっ！　我が故郷、マハの廃墟に！？そんな……まさか奴らは、封じられた「要」を狙って……？			禁忌都市マハ							
……どうした、ネコじじい。お前、妖異が狙ってるブツに、心当たりがあるってのか？			……どうした、ネコじじい。お前、妖異が狙ってるブツに、心当たりがあるってのか？			禁忌都市マハ							
ウタタ、「大鷲連合」の連中を手当してやれ。そのあとは、俺の「レミーユ」号の整備を任せた……。大事な愛機だ……念入りに頼むぜ？			ウタタ、「大鷲連合」の連中を手当してやれ。そのあとは、俺の「レミーユ」号の整備を任せた……。大事な愛機だ……念入りに頼むぜ？			禁忌都市マハ							
Forenameとスタシアは、ネコじじいと一緒に、俺の部屋へ来い……。改めて状況を整理して、今後の対策を立てる！			Forenameとスタシアは、ネコじじいと一緒に、俺の部屋へ来い……。改めて状況を整理して、今後の対策を立てる！			禁忌都市マハ							
「大鷲連合」とは、敵対することのほうが多いわ……。でも、妖異たちに襲われていると聞いてなにも感じないほど、知らない仲でもないのよねえ。			「大鷲連合」とは、敵対することのほうが多いわ……。でも、妖異たちに襲われていると聞いてなにも感じないほど、知らない仲でもないのよねえ。			禁忌都市マハ							
まさか、敵がマハの都市を目指していたとは……。いや、ヤフェームが湿地帯として残っていると聞いた時点で、予想すべきだったか……。			まさか、敵がマハの都市を目指していたとは……。いや、ヤフェームが湿地帯として残っていると聞いた時点で、予想すべきだったか……。			禁忌都市マハ							
た、頼む！　どうか姐さんを……ラドリア姐さんを助けてくれ！			た、頼む！　どうか姐さんを……ラドリア姐さんを助けてくれ！			禁忌都市マハ							
レオファードが、愛機を念入りに整備しろって言うときは、それだけ、次の飛行計画に気合を入れてる証拠なんだ！魔航船に挑んだときにも、おなじ事を言われたよ。			レオファードが、愛機を念入りに整備しろって言うときは、それだけ、次の飛行計画に気合を入れてる証拠なんだ！魔航船に挑んだときにも、おなじ事を言われたよ。			禁忌都市マハ							
