オサード小大陸東岸のソロバンは、冒険者に仕事を紹介してくれるようだ。			オサード小大陸東岸のソロバンは、冒険者に仕事を紹介してくれるようだ。			鬼の棲む島							
座敷わらしと違い、煙を長時間浴びていたソロバンは、元に戻るまでの時間も長いはずじゃ。放っておけば、社が破壊されてしまうかもしれん……。			座敷わらしと違い、煙を長時間浴びていたソロバンは、元に戻るまでの時間も長いはずじゃ。放っておけば、社が破壊されてしまうかもしれん……。			時をかける亀							
ほっ！			ほっ！			時をかける亀							
こうなったら、力尽くで鎮めるよりあるまいな！Forename、座敷わらし、準備はよいか！			こうなったら、力尽くで鎮めるよりあるまいな！Forename、座敷わらし、準備はよいか！			時をかける亀							
フシュウゥゥゥゥゥゥゥ！			フシュウゥゥゥゥゥゥゥ！			時をかける亀							
オオオオオオオオオオオオ！！			オオオオオオオオオオオオ！！			時をかける亀							
な、なにかしようとしているのでっす！			な、なにかしようとしているのでっす！			時をかける亀							
あの神通力は……ええい、水壁を張るぞ！ふたりともこっちに来るのじゃ！			あの神通力は……ええい、水壁を張るぞ！ふたりともこっちに来るのじゃ！			時をかける亀							
ぬぅぅ……ソロバンの力を侮っておったわい……。ふたりとも、あとは任せたぞ……。			ぬぅぅ……ソロバンの力を侮っておったわい……。ふたりとも、あとは任せたぞ……。			時をかける亀							
フシュルルルル！			フシュルルルル！			時をかける亀							
なんなんでっすか、この泡は！			なんなんでっすか、この泡は！			時をかける亀							
お助けなのでっす～！			お助けなのでっす～！			時をかける亀							
グ、グウゥゥゥゥゥ……！			グ、グウゥゥゥゥゥ……！			時をかける亀							
ソロバンさんがひるんだのでっす！このまま畳みかけてトドメをさすのでっす！			ソロバンさんがひるんだのでっす！このまま畳みかけてトドメをさすのでっす！			時をかける亀							
念のため、巴術士について勉強し直してきたのでっす。何か起きたときは、私に任せてくださいでっす！			念のため、巴術士について勉強し直してきたのでっす。何か起きたときは、私に任せてくださいでっす！			時をかける亀							
危なくなったら助けてくれるよねぇ～？			危なくなったら助けてくれるよねぇ～？			時をかける亀							
あれぇ～？みんな、そんなに疲れてどうしたのぉ～？			あれぇ～？みんな、そんなに疲れてどうしたのぉ～？			時をかける亀							
……驚いたぞ、ソロバンよ……。おぬしがあれほどの潜在能力を秘めておったとは……。			……驚いたぞ、ソロバンよ……。おぬしがあれほどの潜在能力を秘めておったとは……。			時をかける亀							
ともあれ、これで妖力の引き出し方は学べたじゃろ？ひとまず社へと戻るとしよう。			ともあれ、これで妖力の引き出し方は学べたじゃろ？ひとまず社へと戻るとしよう。			時をかける亀							
外へ出たいのかい？案内なら、おいらに任せとくれ！			外へ出たいのかい？案内なら、おいらに任せとくれ！			時をかける亀							
「醴泉神社」から出ますか？			「醴泉神社」から出ますか？			時をかける亀							
醴泉神社に戻りたいんだね？案内なら、おいらに任せとくれ！			醴泉神社に戻りたいんだね？案内なら、おいらに任せとくれ！			時をかける亀							
「醴泉神社」へ移動しますか？			「醴泉神社」へ移動しますか？			時をかける亀							
引き続き、ソロバンには修行を続けてもらうぞい。あれだけの妖力を持っておるのじゃ、四聖獣までとはいわずとも、封印を抑える役に立ってくれることじゃろう。			引き続き、ソロバンには修行を続けてもらうぞい。あれだけの妖力を持っておるのじゃ、四聖獣までとはいわずとも、封印を抑える役に立ってくれることじゃろう。			時をかける亀							
オイラ、本当に強くなれるのかなぁ～？			オイラ、本当に強くなれるのかなぁ～？			時をかける亀							
案ずるな、誰しも始めは弱いものだ。無論、ワシとて例外ではない。あの男と出会うまではな。			案ずるな、誰しも始めは弱いものだ。無論、ワシとて例外ではない。あの男と出会うまではな。			時をかける亀							
あの男というのは、テンゼンさんのことでっすね？			あの男というのは、テンゼンさんのことでっすね？			時をかける亀							
うむ……。良い機会じゃから語るとするかのう。ワシとテンゼンの出会いについて……。			うむ……。良い機会じゃから語るとするかのう。ワシとテンゼンの出会いについて……。			時をかける亀							
はるか、はるか昔のこと……。百年の時を生きた頃、ワシは凶事を予見する力を得た……。			はるか、はるか昔のこと……。百年の時を生きた頃、ワシは凶事を予見する力を得た……。			時をかける亀							
じゃが、少々長生きした程度の亀に何ができよう？凶事を事前に知りながら、それが起こるのを防げもせず、ただ傍観するしかない日々が、数百年も続いたのじゃ。			じゃが、少々長生きした程度の亀に何ができよう？凶事を事前に知りながら、それが起こるのを防げもせず、ただ傍観するしかない日々が、数百年も続いたのじゃ。			時をかける亀							
五百歳を過ぎた頃、ワシは人里が土砂に呑まれる姿を見た……。できることなど何もないと感じながら、それでもワシは、里へと向かったのじゃ。			五百歳を過ぎた頃、ワシは人里が土砂に呑まれる姿を見た……。できることなど何もないと感じながら、それでもワシは、里へと向かったのじゃ。			時をかける亀							
