革細工師ギルドのゲヴァは、紹介したい依頼があるようだ。			革細工師ギルドのゲヴァは、紹介したい依頼があるようだ。			博物学者と剥製師							
なに、あの粗悪品を作る革細工ブランド「アンクル・ボサ」のオーナーが、最高賞を獲得するって宣言してたって？			なに、あの粗悪品を作る革細工ブランド「アンクル・ボサ」のオーナーが、最高賞を獲得するって宣言してたって？			命輝く名品							
……なるほど、そういうことね。アンクル・ボサのオーナー「ダウイッド」は、昔ウチのギルドに所属していた冒険者だわ。			……なるほど、そういうことね。アンクル・ボサのオーナー「ダウイッド」は、昔ウチのギルドに所属していた冒険者だわ。			命輝く名品							
適当な仕上げをしていたのを、ちょっと叱ったら、腹を立ててギルドを辞めてったのよ。			適当な仕上げをしていたのを、ちょっと叱ったら、腹を立ててギルドを辞めてったのよ。			命輝く名品							
腕利きの職人の辞退は、十中八九、アンクル・ボサのしわざでしょうね。出品できないよう何か仕組んだに違いないわ。			腕利きの職人の辞退は、十中八九、アンクル・ボサのしわざでしょうね。出品できないよう何か仕組んだに違いないわ。			命輝く名品							
万が一にも間違って、あのブランドが賞なんてとったら、その噂だけであのブランドに注文してしまう人もいるわ。			万が一にも間違って、あのブランドが賞なんてとったら、その噂だけであのブランドに注文してしまう人もいるわ。			命輝く名品							
命に敬意を払わない品がエオルゼアに広まってしまう……。あの、トード革のカバンと同じように……。			命に敬意を払わない品がエオルゼアに広まってしまう……。あの、トード革のカバンと同じように……。			命輝く名品							
そんなの……許せない。			そんなの……許せない。			命輝く名品							
Forename、革細工師ギルドマスターからの、最後の依頼だ。あんたが、やつらを止めるのよ。			Forename、革細工師ギルドマスターからの、最後の依頼だ。あんたが、やつらを止めるのよ。			命輝く名品							
最高品質の「ラプトルジャーキン」を仕立て、「器識のマテリダ」をつけて「品評会」に出すんだ。			最高品質の「ラプトルジャーキン」を仕立て、「器識のマテリダ」をつけて「品評会」に出すんだ。			命輝く名品							
ラプトルジャーキンの製作は一筋縄ではいかないわ。だけど、アタシのしごきから逃げずにここまできたあんたの腕は、このアタシが保証する。			ラプトルジャーキンの製作は一筋縄ではいかないわ。だけど、アタシのしごきから逃げずにここまできたあんたの腕は、このアタシが保証する。			命輝く名品							
完成したら、ミィ・ケット野外音楽堂で品評会の受付してる「エステヌ」に、たたきつけてやんなさい！			完成したら、ミィ・ケット野外音楽堂で品評会の受付してる「エステヌ」に、たたきつけてやんなさい！			命輝く名品							
「品評会」は、間もなく始まります。えっ……「品評会」に出品したいですって……？			「品評会」は、間もなく始まります。えっ……「品評会」に出品したいですって……？			命輝く名品							
そろそろ、出品物の受付を締め切るところでした。危ないところでしたね。			そろそろ、出品物の受付を締め切るところでした。危ないところでしたね。			命輝く名品							
ギリギリ間に合ったようだね。			ギリギリ間に合ったようだね。			命輝く名品							
ゲヴァさん！結局、出品されることにしたんですね！			ゲヴァさん！結局、出品されることにしたんですね！			命輝く名品							
