クイックサンドのモモジゴは、何やら頼みごとがあるようだ。			クイックサンドのモモジゴは、何やら頼みごとがあるようだ。			凛とした女侍							
一度でも、ここを通った冒険者の顔なら、みんな覚えてるけど、興行師だったらわからないわ。			一度でも、ここを通った冒険者の顔なら、みんな覚えてるけど、興行師だったらわからないわ。			森都を濡らす詐欺師の涙！							
ララフェル族なら、すぐそこで居眠りしている者がいますが……そんなことより、あなたも精霊の話を聞いていきませんか？精霊はいつも我々に寄り添っていますよ。			ララフェル族なら、すぐそこで居眠りしている者がいますが……そんなことより、あなたも精霊の話を聞いていきませんか？精霊はいつも我々に寄り添っていますよ。			森都を濡らす詐欺師の涙！							
そういえば、「双蛇党」に連行されていった、ララフェル族なら見かけましたわ、帽子も被っていたかしら……。			そういえば、「双蛇党」に連行されていった、ララフェル族なら見かけましたわ、帽子も被っていたかしら……。			森都を濡らす詐欺師の涙！							
なんと、「双蛇党」とやらに連行されていったと？まさか、奴が悪事を……			なんと、「双蛇党」とやらに連行されていったと？まさか、奴が悪事を……			森都を濡らす詐欺師の涙！							
いやいや、きっと何か事情があるはず。とにかく、その「双蛇党」の本部で事情を聞こう。			いやいや、きっと何か事情があるはず。とにかく、その「双蛇党」の本部で事情を聞こう。			森都を濡らす詐欺師の涙！							
モモジゴの奴め、いったい、何をやらかしたというのだ……？			モモジゴの奴め、いったい、何をやらかしたというのだ……？			森都を濡らす詐欺師の涙！							
ララフェル族を連行したかって？それは、興行師のモモジゴのことだね。			ララフェル族を連行したかって？それは、興行師のモモジゴのことだね。			森都を濡らす詐欺師の涙！							
彼は以前、このグリダニアで、ちょっとした詐欺を働いたんだ。まあ、そんな大した金額じゃないんだが、姿を見かけたから捕まえたんだよ。			彼は以前、このグリダニアで、ちょっとした詐欺を働いたんだ。まあ、そんな大した金額じゃないんだが、姿を見かけたから捕まえたんだよ。			森都を濡らす詐欺師の涙！							
だが困ったことに、目を離した隙に逃げられてしまってね。それも、よりにもよって北部森林のプラウドクリークの方へ……。あの辺りには、イクサル族も侵入しているから危険は大きい。			だが困ったことに、目を離した隙に逃げられてしまってね。それも、よりにもよって北部森林のプラウドクリークの方へ……。あの辺りには、イクサル族も侵入しているから危険は大きい。			森都を濡らす詐欺師の涙！							
イクサル族との戦闘を覚悟の上で、追撃部隊を派遣すべきか、上層部と協議しているところなんだが、決定までは時間がかかる。君、知り合いだったら、捜しに行ってくれないか？			イクサル族との戦闘を覚悟の上で、追撃部隊を派遣すべきか、上層部と協議しているところなんだが、決定までは時間がかかる。君、知り合いだったら、捜しに行ってくれないか？			森都を濡らす詐欺師の涙！							
こうしてはおれんな。さあ、モモジゴを捜しに「ぷらうどくりいく」とやらへ向かおう。			こうしてはおれんな。さあ、モモジゴを捜しに「ぷらうどくりいく」とやらへ向かおう。			森都を濡らす詐欺師の涙！							
興行師のモモジゴに逃げられてしまったんだ。よりにもよって北部森林の「プラウドクリーク」の方へ……。君、知り合いだったら、捜しに行ってくれないか？			興行師のモモジゴに逃げられてしまったんだ。よりにもよって北部森林の「プラウドクリーク」の方へ……。君、知り合いだったら、捜しに行ってくれないか？			森都を濡らす詐欺師の涙！							
