巴術士ギルドのトゥビルゲイムは、冒険者に任せたい仕事があるようだ。			巴術士ギルドのトゥビルゲイムは、冒険者に任せたい仕事があるようだ。			業火の召喚獣							
ダンシング・ウルフ大闘士から、トリスタンと、彼の兄について聞いた。トリスタンを追うには、冒険者も更なる力が必要だ。次の機会まで、腕を磨いておこう。※召喚士のレベルが54以上になると、不滅隊：作戦本部のダンシング・ウルフ大闘士から次の召喚士クエストを受注することができます。			ダンシング・ウルフ大闘士から、トリスタンと、彼の兄について聞いた。トリスタンを追うには、冒険者も更なる力が必要だ。次の機会まで、腕を磨いておこう。※召喚士のレベルが54以上になると、不滅隊：作戦本部のダンシング・ウルフ大闘士から次の召喚士クエストを受注することができます。			事実の究明							
キャンプ・ドライボーンでダンシング・ウルフ大闘士と話す			キャンプ・ドライボーンでダンシング・ウルフ大闘士と話す			事実の究明							
キャンプ・ドライボーンで情報を集める			キャンプ・ドライボーンで情報を集める			事実の究明							
ダンシング・ウルフ大闘士と話す			ダンシング・ウルフ大闘士と話す			事実の究明							
襲われた交易商人を探す			襲われた交易商人を探す			事実の究明							
不滅隊：作戦本部のダンシング・ウルフと話す			不滅隊：作戦本部のダンシング・ウルフと話す			事実の究明							
ああ、Forename。あれから、召喚魔法について調べているけど、今のところ「雷の荒行」が失敗した原因は不明のままよ。			ああ、Forename。あれから、召喚魔法について調べているけど、今のところ「雷の荒行」が失敗した原因は不明のままよ。			事実の究明							
ただし、役立ちそうな古の知識を、いくつか見つけたわ。それを、あなたに教えようと思って……。………………あら？			ただし、役立ちそうな古の知識を、いくつか見つけたわ。それを、あなたに教えようと思って……。………………あら？			事実の究明							
話してるところに、すまんな。「召喚魔法の研究者」というのは、お前たちか？			話してるところに、すまんな。「召喚魔法の研究者」というのは、お前たちか？			事実の究明							
俺は、不滅隊の特務士官、ダンシング・ウルフ大闘士だ。お前たちに聞きたいことがあってな……。ふたり同時に出会えるとは僥倖だ。			俺は、不滅隊の特務士官、ダンシング・ウルフ大闘士だ。お前たちに聞きたいことがあってな……。ふたり同時に出会えるとは僥倖だ。			事実の究明							
特務士官、ねえ……。私たちに用があるということは、不滅隊が、召喚魔法の知識を求めているということかしら？			特務士官、ねえ……。私たちに用があるということは、不滅隊が、召喚魔法の知識を求めているということかしら？			事実の究明							
半分当たりで、半分外れ、だな。不滅隊が求めているのは、「トリスタンの行方」だ……！			半分当たりで、半分外れ、だな。不滅隊が求めているのは、「トリスタンの行方」だ……！			事実の究明							
……その反応、やはり、知っているようだな。不滅隊の元隊士「トリスタン」……お前たちが、かつてヤツを探していたと聞いてな。			……その反応、やはり、知っているようだな。不滅隊の元隊士「トリスタン」……お前たちが、かつてヤツを探していたと聞いてな。			事実の究明							
不滅隊も故あって、トリスタンを追っているのだ……。頼む、何か知っている情報があるなら教えてほしい！			不滅隊も故あって、トリスタンを追っているのだ……。頼む、何か知っている情報があるなら教えてほしい！			事実の究明							
トリスタンは、召喚士としてお前たちと戦い、そして、炎に包まれ死んだ……本当に死んだのか……？			トリスタンは、召喚士としてお前たちと戦い、そして、炎に包まれ死んだ……本当に死んだのか……？			事実の究明							
…………何か気になることでも？			…………何か気になることでも？			事実の究明							
お前を疑うわけではないが、信じきれぬ理由がある……。つい最近、トリスタンと思しき人物が現れ、商隊を襲うという事件が起きたのだ……！			お前を疑うわけではないが、信じきれぬ理由がある……。つい最近、トリスタンと思しき人物が現れ、商隊を襲うという事件が起きたのだ……！			事実の究明							
不滅隊の元隊士の凶行……。これを見過ごせば、組織としての沽券に関わる。ヤツを探し出し、ケジメを付けさせなければならぬ。			不滅隊の元隊士の凶行……。これを見過ごせば、組織としての沽券に関わる。ヤツを探し出し、ケジメを付けさせなければならぬ。			事実の究明							
トリスタンは、炎にその身を焼きつくされた……。けれど、確かに私たちも、死体を直接目にしたわけではない。まさか、生きていたというの……？			トリスタンは、炎にその身を焼きつくされた……。けれど、確かに私たちも、死体を直接目にしたわけではない。まさか、生きていたというの……？			事実の究明							
