双剣士ギルドのジャックは、冒険者に変わった仕事を依頼したいようだ。			双剣士ギルドのジャックは、冒険者に変わった仕事を依頼したいようだ。			月影の導き							
(-風変わりな少女-)その訛り、お前はドマに仕えていた隠れ里の忍びか。……後の説明はお前がしろ、アカギ。			(-風変わりな少女-)その訛り、お前はドマに仕えていた隠れ里の忍びか。……後の説明はお前がしろ、アカギ。			東方からの来訪者							
イテテ……はぁ、追い詰められた時は肝が冷えましたよ……。ええと、どっから説明したもんかな……。			イテテ……はぁ、追い詰められた時は肝が冷えましたよ……。ええと、どっから説明したもんかな……。			東方からの来訪者							
こ、こちらの御方は、ヤツルギ家のご息女……ユキ姫様だ。賊によって奪われた家宝「千紫万紅」を取り戻さんと、遙々、エオルゼアの地にやってきた。			こ、こちらの御方は、ヤツルギ家のご息女……ユキ姫様だ。賊によって奪われた家宝「千紫万紅」を取り戻さんと、遙々、エオルゼアの地にやってきた。			東方からの来訪者							
ヤツルギ家といえば、「ひんがしの国」は白帝江のほとり、「井ノ国」を治める豪族ではないか！その姫君ともあろう御方が、なぜ直々に！？			ヤツルギ家といえば、「ひんがしの国」は白帝江のほとり、「井ノ国」を治める豪族ではないか！その姫君ともあろう御方が、なぜ直々に！？			東方からの来訪者							
(-ユキ-)……悠長におしゃべりをしている暇はない。なにせ盗んだ賊の正体さえ、つかみきれてはおらぬのだ。取り戻せた家宝もようやく3つ……まだ2つも行方がわからぬ。			(-ユキ-)……悠長におしゃべりをしている暇はない。なにせ盗んだ賊の正体さえ、つかみきれてはおらぬのだ。取り戻せた家宝もようやく3つ……まだ2つも行方がわからぬ。			東方からの来訪者							
……事情は話せぬということか。とはいえ、由緒ある家柄に連なる貴人を、異郷の地で放置しておくわけにはいかぬ……。			……事情は話せぬということか。とはいえ、由緒ある家柄に連なる貴人を、異郷の地で放置しておくわけにはいかぬ……。			東方からの来訪者							
ふむ……いいことを思いついたぞ。Forename、お主が「忍び」として、ユキ姫の目的を手伝うのだ。			ふむ……いいことを思いついたぞ。Forename、お主が「忍び」として、ユキ姫の目的を手伝うのだ。			東方からの来訪者							
「忍び」とは、仕えることで使命を知るもの……。使命とは、刃を支える心を磨く、最良の砥石でござる。Forenameの忍道には、必要な試練となろう。			「忍び」とは、仕えることで使命を知るもの……。使命とは、刃を支える心を磨く、最良の砥石でござる。Forenameの忍道には、必要な試練となろう。			東方からの来訪者							
……何より、異郷の地ゆえ、ユキ姫には頼れる者が少ない。彼女の帰りを待つ民のためにも、守り手が必要であろう。そうは思わぬか……？			……何より、異郷の地ゆえ、ユキ姫には頼れる者が少ない。彼女の帰りを待つ民のためにも、守り手が必要であろう。そうは思わぬか……？			東方からの来訪者							
(-ユキ-)ドマは配下の忍びに裏切られ、滅びたのだろう？忍びなど信用できん、頼るつもりはない。……いくぞ、アカギ！			(-ユキ-)ドマは配下の忍びに裏切られ、滅びたのだろう？忍びなど信用できん、頼るつもりはない。……いくぞ、アカギ！			東方からの来訪者							
……姫様は、ここにきてからずっとあんな感じさ。俺にも、身辺の世話しかさせてくれねぇ。			……姫様は、ここにきてからずっとあんな感じさ。俺にも、身辺の世話しかさせてくれねぇ。			東方からの来訪者							
確かに姫様は、ビビリの俺なんかよりよっぽど強い。だけど、ひとりの力じゃ限界がある。……正直、あんたたちの力を貸してほしいよ。			確かに姫様は、ビビリの俺なんかよりよっぽど強い。だけど、ひとりの力じゃ限界がある。……正直、あんたたちの力を貸してほしいよ。			東方からの来訪者							
ならば、こうしよう。危険が差し迫ったら、船着場の平屋に手紙をくれぬか。私はオボロ、彼女彼はForenameだ。			ならば、こうしよう。危険が差し迫ったら、船着場の平屋に手紙をくれぬか。私はオボロ、彼女彼はForenameだ。			東方からの来訪者							
オボロ殿、Forename殿……恩に着るよ。……おっと、無駄話してると姫様にどやされちまう。そんじゃあ、必ず手紙を出すよ。			オボロ殿、Forename殿……恩に着るよ。……おっと、無駄話してると姫様にどやされちまう。そんじゃあ、必ず手紙を出すよ。			東方からの来訪者							
