スイの里のクレナイは、碧のタマミズのインバンを心待ちにしている。			スイの里のクレナイは、碧のタマミズのインバンを心待ちにしている。			ヒスイとクレナイ							
うちの腕利きたちに頼んだが、揃いも揃って、オオウミヘビの毒を怖れて、首を縦にふらねぇんだよ。まったく、度胸のない奴らだぜ……。			うちの腕利きたちに頼んだが、揃いも揃って、オオウミヘビの毒を怖れて、首を縦にふらねぇんだよ。まったく、度胸のない奴らだぜ……。			海賊衆の仕置							
沖之岩の西に、「オオウミヘビ」がいる。そいつを3匹、ある程度弱らせてから、「大きな麻袋」を使って捕獲してくれ。			沖之岩の西に、「オオウミヘビ」がいる。そいつを3匹、ある程度弱らせてから、「大きな麻袋」を使って捕獲してくれ。			海賊衆の仕置							
「オオウミヘビ」を3匹、生け捕りできたか？			「オオウミヘビ」を3匹、生け捕りできたか？			海賊衆の仕置							
ありがとな、姉ちゃん兄ちゃん。精鋭でも1匹がやっとなオオウミヘビを、あっという間に3匹獲ってくるとは、驚きだぜ。			ありがとな、姉ちゃん兄ちゃん。精鋭でも1匹がやっとなオオウミヘビを、あっという間に3匹獲ってくるとは、驚きだぜ。			海賊衆の仕置							
オオウミヘビは、すぐに捌かないと肉質が落ちるんだ。その上、牙は武器の、肝は丸薬の材料にってな具合で、余すところなく使える役立つ存在なのさ。			オオウミヘビは、すぐに捌かないと肉質が落ちるんだ。その上、牙は武器の、肝は丸薬の材料にってな具合で、余すところなく使える役立つ存在なのさ。			海賊衆の仕置							
そのほかにも、海賊衆特有の使い方もあるぞ。重大な掟破りが出たときに、ソイツに、オオウミヘビの毒を混ぜた酒を呑ませるんだよ。			そのほかにも、海賊衆特有の使い方もあるぞ。重大な掟破りが出たときに、ソイツに、オオウミヘビの毒を混ぜた酒を呑ませるんだよ。			海賊衆の仕置							
十中八九死ぬが、運良く生き残ったら、掟破りの罪を許され、再び同胞として、受け入れてもらえる。まあ……俺も、その悪運の強いひとりだったりしてな。			十中八九死ぬが、運良く生き残ったら、掟破りの罪を許され、再び同胞として、受け入れてもらえる。まあ……俺も、その悪運の強いひとりだったりしてな。			海賊衆の仕置							
筋違砦のハヤセは、周囲を警戒しているようだ。			筋違砦のハヤセは、周囲を警戒しているようだ。			狙われた海賊							
海賊衆の様子を確認する			海賊衆の様子を確認する			狙われた海賊							
ハヤセに報告			ハヤセに報告			狙われた海賊							
……お前は……いや、違うな。余所者ではあるが、お前には動機がない……。			……お前は……いや、違うな。余所者ではあるが、お前には動機がない……。			狙われた海賊							
いや、実は最近、仲間が何者かに殺されてな。下手人を見つけ出そうと、ピリピリしていたんだ。			いや、実は最近、仲間が何者かに殺されてな。下手人を見つけ出そうと、ピリピリしていたんだ。			狙われた海賊							
遺体の背にあった刀傷から見て、相手は魔物じゃない。だが、殺された仲間は、背中を取られるマヌケでもねぇ……。かなり油断しているところを、やられたんだろう。			遺体の背にあった刀傷から見て、相手は魔物じゃない。だが、殺された仲間は、背中を取られるマヌケでもねぇ……。かなり油断しているところを、やられたんだろう。			狙われた海賊							
犠牲を増やさないためにも、ひとつ手を貸してくれねえか？俺の目の届かないところにいる仲間を見回って、もしも誰かが襲われていたら、助けてやってくれ。			犠牲を増やさないためにも、ひとつ手を貸してくれねえか？俺の目の届かないところにいる仲間を見回って、もしも誰かが襲われていたら、助けてやってくれ。			狙われた海賊							
俺の目の届かないところにいる仲間を見回って、もしも誰かが襲われていたら、助けてやってくれ。			俺の目の届かないところにいる仲間を見回って、もしも誰かが襲われていたら、助けてやってくれ。			狙われた海賊							
ハヤセさんに頼まれて、見回りをしているだって？なるほど、こっちは大丈夫、怪しい人影も見てないぞ。あんな一件の後だものな、警戒してくれてありがとよ。			ハヤセさんに頼まれて、見回りをしているだって？なるほど、こっちは大丈夫、怪しい人影も見てないぞ。あんな一件の後だものな、警戒してくれてありがとよ。			狙われた海賊							
こっちは大丈夫、怪しい人影も見てないぞ。あんな一件の後だものな、警戒してくれてありがとよ。			こっちは大丈夫、怪しい人影も見てないぞ。あんな一件の後だものな、警戒してくれてありがとよ。			狙われた海賊							
酒の肴の貝拾いをしていたんだ……。問題は起きちゃいないよ。			酒の肴の貝拾いをしていたんだ……。問題は起きちゃいないよ。			狙われた海賊							
酒の肴の貝拾いをしていたんだ……。問題は起きちゃいないよ。			酒の肴の貝拾いをしていたんだ……。問題は起きちゃいないよ。			狙われた海賊							
