剣術士ギルドのルルツが、冒険者に耳寄りな情報を教えたいようだ。			剣術士ギルドのルルツが、冒険者に耳寄りな情報を教えたいようだ。			自由騎士の誓約							
(-？？？？-)冒険者殿……。ちょっと、いいですかな。			(-？？？？-)冒険者殿……。ちょっと、いいですかな。			聖剣を追って							
(-？？？？-)Surname殿……。ちょっと、いいですかな。			(-？？？？-)Surname殿……。ちょっと、いいですかな。			聖剣を追って							
実は、お主に協力を願いたい案件がありましてな。やや、ここでは話せません。……「ウルダハ操車庫」まで来ていただけますか。			実は、お主に協力を願いたい案件がありましてな。やや、ここでは話せません。……「ウルダハ操車庫」まで来ていただけますか。			聖剣を追って							
どうした、パパシャン殿に用事でもあるのか？あのお方なら、「ウルダハ操車庫」に居られるはずだ。			どうした、パパシャン殿に用事でもあるのか？あのお方なら、「ウルダハ操車庫」に居られるはずだ。			聖剣を追って							
よく来てくださった！このパパシャン、感謝しますぞ。			よく来てくださった！このパパシャン、感謝しますぞ。			聖剣を追って							
ソルクザギル……という者を覚えておるでしょうか？ジェンリンスの先代、「銀冑団」の前総長だった男です。			ソルクザギル……という者を覚えておるでしょうか？ジェンリンスの先代、「銀冑団」の前総長だった男です。			聖剣を追って							
奴は「銀冑団」から失われた「聖剣」を求めて旅だった後、時折、私に便りを寄越していたのです。いずれも、残された者を気に掛ける内容でしたがの……。			奴は「銀冑団」から失われた「聖剣」を求めて旅だった後、時折、私に便りを寄越していたのです。いずれも、残された者を気に掛ける内容でしたがの……。			聖剣を追って							
それが、ある時……聖剣「オウスキーパー」を見つけたとの便りを最後に、消息が途絶えてしまったのです。			それが、ある時……聖剣「オウスキーパー」を見つけたとの便りを最後に、消息が途絶えてしまったのです。			聖剣を追って							
この事は、ジェンリンスには伝えておりません。ようやく「銀冑団」が持ち直してきたところ……ここで、不安の種を植えるわけにはいきませんからな。			この事は、ジェンリンスには伝えておりません。ようやく「銀冑団」が持ち直してきたところ……ここで、不安の種を植えるわけにはいきませんからな。			聖剣を追って							
Surname殿……。どうか、秘密裏にソルクザギルを探してもらえぬだろうか！			Surname殿……。どうか、秘密裏にソルクザギルを探してもらえぬだろうか！			聖剣を追って							
依頼を受けてくださって、感謝しますぞ！ソルクザギルから最後に連絡があったのは、北の大地……「イシュガルド」。			依頼を受けてくださって、感謝しますぞ！ソルクザギルから最後に連絡があったのは、北の大地……「イシュガルド」。			聖剣を追って							
ソルクザギルの手がかりになる情報を探しておきますので、時が来たら、よろしく頼みますぞ！			ソルクザギルの手がかりになる情報を探しておきますので、時が来たら、よろしく頼みますぞ！			聖剣を追って							
「ナイト」の新たなジョブクエストが開始されました。次のクエストは「レベル52」以上で、ウルダハ操車庫のパパシャンから受注可能です。			「ナイト」の新たなジョブクエストが開始されました。次のクエストは「レベル52」以上で、ウルダハ操車庫のパパシャンから受注可能です。			聖剣を追って							
今後の「ナイト」のジョブクエスト受注条件は、コンプリート後のジャーナルで確認できます。			今後の「ナイト」のジョブクエスト受注条件は、コンプリート後のジャーナルで確認できます。			聖剣を追って							
ウルダハ王政庁のジェンリンスは、冒険者に話したいことがあるようだ。			ウルダハ王政庁のジェンリンスは、冒険者に話したいことがあるようだ。			闘技会への誘い							
前回までの冒険録：コンスタン、ソルクザギルとの戦いを通じ、「真の騎士」に至った冒険者。光を取り戻した聖剣は銀冑団の元へと戻り、コンスタンとソルクザギルは、自由騎士として、新たな歩みを進めるのだった。　　　　　　　　　　　　*　*　*ジェンリンスから、「ウル王杯闘技会」の招待状を受け取った。ロイヤル・プロムナードの「闘技会の受付人」に「ウル王杯闘技会への招待状」を渡し、大会への参加受付をしよう。			前回までの冒険録：コンスタン、ソルクザギルとの戦いを通じ、「真の騎士」に至った冒険者。光を取り戻した聖剣は銀冑団の元へと戻り、コンスタンとソルクザギルは、自由騎士として、新たな歩みを進めるのだった。　　　　　　　　　　　　*　*　*ジェンリンスから、「ウル王杯闘技会」の招待状を受け取った。ロイヤル・プロムナードの「闘技会の受付人」に「ウル王杯闘技会への招待状」を渡し、大会への参加受付をしよう。			闘技会への誘い							
