彫金師ギルドのセレンディピティーは、わたわたしているようだ。			彫金師ギルドのセレンディピティーは、わたわたしているようだ。			ギルドへの私的な依頼							
複雑な機械製作に初めて挑む徒弟たちのために、お手本となるクロノメーターを作ることになった。「クロノメーターの材料」をもとに「手本用クロノメーター」を製作し、ラールガーズリーチの「エメロス」に納品しよう。※「クロノメーターの材料」を失った場合は、カンチャナに話しかけましょう。材料を入手し、再挑戦が可能になります。			複雑な機械製作に初めて挑む徒弟たちのために、お手本となるクロノメーターを作ることになった。「クロノメーターの材料」をもとに「手本用クロノメーター」を製作し、ラールガーズリーチの「エメロス」に納品しよう。※「クロノメーターの材料」を失った場合は、カンチャナに話しかけましょう。材料を入手し、再挑戦が可能になります。			発令、恩返し大作戦							
エメロスに納品した。大きな目標ができて、徒弟たちのやる気も大いに増したようだ。彼らのよき師範としてアラミゴの将来に貢献すべく、彫金師としての腕前を洗練させていこう。※彫金師のレベルが70以上になると、ラールガーズリーチのエメロスから、次の彫金師クエストを受注することができます。			エメロスに納品した。大きな目標ができて、徒弟たちのやる気も大いに増したようだ。彼らのよき師範としてアラミゴの将来に貢献すべく、彫金師としての腕前を洗練させていこう。※彫金師のレベルが70以上になると、ラールガーズリーチのエメロスから、次の彫金師クエストを受注することができます。			発令、恩返し大作戦							
ジャ・ケビカと話す			ジャ・ケビカと話す			発令、恩返し大作戦							
ウルダハのマルセルと話す			ウルダハのマルセルと話す			発令、恩返し大作戦							
ジャ・ケビカと話す			ジャ・ケビカと話す			発令、恩返し大作戦							
ウィドと話す			ウィドと話す			発令、恩返し大作戦							
ハルと話す			ハルと話す			発令、恩返し大作戦							
指定地点で待機			指定地点で待機			発令、恩返し大作戦							
ラールガーズリーチのエメロスと話す			ラールガーズリーチのエメロスと話す			発令、恩返し大作戦							
製作手帳 クラスクエスト：手本用クロノメーターを製作エメロスに手本用クロノメーターを納品			製作手帳 クラスクエスト：手本用クロノメーターを製作エメロスに手本用クロノメーターを納品			発令、恩返し大作戦							
ごきげんよう。徒弟さんたちは近ごろ、めきめきと腕を上げているようですの。自主的に勉強会を始めたりと、やる気も旺盛で……。			ごきげんよう。徒弟さんたちは近ごろ、めきめきと腕を上げているようですの。自主的に勉強会を始めたりと、やる気も旺盛で……。			発令、恩返し大作戦							
失礼…………少々、お待ちを。おや、マルセルさん…………なんですって、本当ですの！？……わざわざ、ありがとうございました！			失礼…………少々、お待ちを。おや、マルセルさん…………なんですって、本当ですの！？……わざわざ、ありがとうございました！			発令、恩返し大作戦							
先だって、徒弟さんたちの作った品を、宝飾店「エシュテム」のマルセルさんにお送りしたのですが……そのお返事をいただきましたの。			先だって、徒弟さんたちの作った品を、宝飾店「エシュテム」のマルセルさんにお送りしたのですが……そのお返事をいただきましたの。			発令、恩返し大作戦							
ほかの宝飾商の方々に見せてみたところ、なかなかの好評で、いくつか引き合いが来ているそうですの！			ほかの宝飾商の方々に見せてみたところ、なかなかの好評で、いくつか引き合いが来ているそうですの！			発令、恩返し大作戦							
