巴術士ギルドのムリーには、冒険者に任せたい仕事があるようだ。			巴術士ギルドのムリーには、冒険者に任せたい仕事があるようだ。			学問ノススメ							
封印の要石から、嫌な気配を感じた……。古代のガーディアンが起動した！			封印の要石から、嫌な気配を感じた……。古代のガーディアンが起動した！			ブロンズレイクの再会							
どうだね、「封印の要石」は見つかったかな？			どうだね、「封印の要石」は見つかったかな？			ブロンズレイクの再会							
うむ、よくぞ見つけてくれた。間違いなく「封印の要石」だ……。			うむ、よくぞ見つけてくれた。間違いなく「封印の要石」だ……。			ブロンズレイクの再会							
ハァ、ハァ、ハァ……僕も見つけてきましたよ！でっかい「ウラグナイト」が張り付いていましたけど、海兵の技で、刺身にしてやりました！			ハァ、ハァ、ハァ……僕も見つけてきましたよ！でっかい「ウラグナイト」が張り付いていましたけど、海兵の技で、刺身にしてやりました！			ブロンズレイクの再会							
うむ、少々、生臭くなっているが……問題ないだろう。ふたりとも、よくやってくれた。			うむ、少々、生臭くなっているが……問題ないだろう。ふたりとも、よくやってくれた。			ブロンズレイクの再会							
これで、重症患者さんたちも、ひとまず命を繋ぐことができますね！			これで、重症患者さんたちも、ひとまず命を繋ぐことができますね！			ブロンズレイクの再会							
いや、話はそう簡単ではないのだよ。例え一角だけとはいえ、建物を封じるには、これらふたつの要石に加え、中心になる大要石が必要なのだ。			いや、話はそう簡単ではないのだよ。例え一角だけとはいえ、建物を封じるには、これらふたつの要石に加え、中心になる大要石が必要なのだ。			ブロンズレイクの再会							
ワンダラーパレスを封じていた大要石が、いずこにあったのかは、私が調べておこう……。お主たちは、修行を積みながら、待っていてもらいたい。			ワンダラーパレスを封じていた大要石が、いずこにあったのかは、私が調べておこう……。お主たちは、修行を積みながら、待っていてもらいたい。			ブロンズレイクの再会							
「学者」の新たなジョブクエストが開始されました。次のクエストは「レベル52」以上で、ブロンズレイクのスリト・カリトから受注可能です。			「学者」の新たなジョブクエストが開始されました。次のクエストは「レベル52」以上で、ブロンズレイクのスリト・カリトから受注可能です。			ブロンズレイクの再会							
今後の「学者」のジョブクエスト受注条件は、コンプリート後のジャーナルで確認できます。			今後の「学者」のジョブクエスト受注条件は、コンプリート後のジャーナルで確認できます。			ブロンズレイクの再会							
斧術士ギルドのアルカ・ゾルカは、誰かを待っているようだ。			斧術士ギルドのアルカ・ゾルカは、誰かを待っているようだ。			消えたトンベリ							
前回までの冒険録：冒険者は、「トンベリ病」の原因が、魔法都市「マハ」が送り込んだ病の妖異の仕業であることを突き止め、討伐に成功する。これにより、スリト・カリト、ハルガ・トルガの両名は、冒険者とアルカ・ゾルカのことを、次代の「海兵団」と称した。病の妖異から採取した心核を手にしたスリト・カリトは、これを調べ、研究を続けていくことで、必ずや「トンベリ病」の進行を止める方法を見つけてみせると誓うのだった。　　　　　　　　　　　　*　*　*アルカ・ゾルカの依頼を受けた。高地ラノシアのワンダラーパレスにいる「スリト・カリト」と話そう。			前回までの冒険録：冒険者は、「トンベリ病」の原因が、魔法都市「マハ」が送り込んだ病の妖異の仕業であることを突き止め、討伐に成功する。これにより、スリト・カリト、ハルガ・トルガの両名は、冒険者とアルカ・ゾルカのことを、次代の「海兵団」と称した。病の妖異から採取した心核を手にしたスリト・カリトは、これを調べ、研究を続けていくことで、必ずや「トンベリ病」の進行を止める方法を見つけてみせると誓うのだった。　　　　　　　　　　　　*　*　*アルカ・ゾルカの依頼を受けた。高地ラノシアのワンダラーパレスにいる「スリト・カリト」と話そう。			消えたトンベリ							
