バルデシオン分館の新顔のバルデシオン委員は、冒険者の到来を待っていたようだ。			バルデシオン分館の新顔のバルデシオン委員は、冒険者の到来を待っていたようだ。			委員会へのとある依頼							
霊災の直後は、機構としての役割に専念していたこともあって……いまも建設途中のこの橋に来るのは、実は俺も初めてなんだ。			霊災の直後は、機構としての役割に専念していたこともあって……いまも建設途中のこの橋に来るのは、実は俺も初めてなんだ。			神々に愛されし地、エオルゼア							
さあ、一緒に行こう。ついてきてくれ。			さあ、一緒に行こう。ついてきてくれ。			神々に愛されし地、エオルゼア							
景色もよくて、活気もあって……。第七霊災を乗り越えようとする人の営みを感じられる、とてもいい橋だな。			景色もよくて、活気もあって……。第七霊災を乗り越えようとする人の営みを感じられる、とてもいい橋だな。			神々に愛されし地、エオルゼア							
オシュオンの名前をつけてくれたこと、光栄に思うよ。			オシュオンの名前をつけてくれたこと、光栄に思うよ。			神々に愛されし地、エオルゼア							
ウキャン。			ウキャン。			神々に愛されし地、エオルゼア							
それで、だ。見送りはこのあたりまででいいんだが……			それで、だ。見送りはこのあたりまででいいんだが……			神々に愛されし地、エオルゼア							
よければ、もう少しだけ話さないか？			よければ、もう少しだけ話さないか？			神々に愛されし地、エオルゼア							
君が十二神をどう思っていたか……ちゃんと聞いたことがなかったと思って。			君が十二神をどう思っていたか……ちゃんと聞いたことがなかったと思って。			神々に愛されし地、エオルゼア							
十二神信仰に対する思いとか、俺たちと対峙したときにどう感じたか、とか。			十二神信仰に対する思いとか、俺たちと対峙したときにどう感じたか、とか。			神々に愛されし地、エオルゼア							
俺たちに向き合ってくれた君なりの言葉を、最後にもらっていきたくてさ。			俺たちに向き合ってくれた君なりの言葉を、最後にもらっていきたくてさ。			神々に愛されし地、エオルゼア							
そうか、皆が聞いたら喜ぶだろうな。			そうか、皆が聞いたら喜ぶだろうな。			神々に愛されし地、エオルゼア							
Forename、ありがとう。名残惜しくて引き留めてしまったが、そろそろ行かないと。			Forename、ありがとう。名残惜しくて引き留めてしまったが、そろそろ行かないと。			神々に愛されし地、エオルゼア							
皆の祝福に満たされた世界を、見てまわるよ。			皆の祝福に満たされた世界を、見てまわるよ。			神々に愛されし地、エオルゼア							
まずはラノシアを歩いて、次に十二神の名前がついている場所を巡る予定だ。そこから先は、そのときの気分に任せて……。			まずはラノシアを歩いて、次に十二神の名前がついている場所を巡る予定だ。そこから先は、そのときの気分に任せて……。			神々に愛されし地、エオルゼア							
こいつとも……本人が離れたがるまでは、一緒にいるよ。			こいつとも……本人が離れたがるまでは、一緒にいるよ。			神々に愛されし地、エオルゼア							
