シャバーブチェのズーヘは、優れた魔道士である冒険者の知恵と力を借りたいようだ。			シャバーブチェのズーヘは、優れた魔道士である冒険者の知恵と力を借りたいようだ。			祭器の秘された力							
ラザハンに現れたヴィラザーンだが、賛同を得られぬまま、祭器の能力を発動させ、その場から去っていった。ラザハンのアルザダール通りにいる「ヴィラザーンの父」から話を聞こう。			ラザハンに現れたヴィラザーンだが、賛同を得られぬまま、祭器の能力を発動させ、その場から去っていった。ラザハンのアルザダール通りにいる「ヴィラザーンの父」から話を聞こう。			人気の裏に隠された素顔							
テペケはヴィラザーンの態度に気になるところがあるようだ。イェドリマンに戻り、「テペケ」と話そう。			テペケはヴィラザーンの態度に気になるところがあるようだ。イェドリマンに戻り、「テペケ」と話そう。			人気の裏に隠された素顔							
祭器の能力は、危険を感知することで発動し、危険の大きさに応じてより大きな石を落下させられるようだ。テペケが戦いに相応しい舞台を用意する間、魔道士としての力を鍛えておこう！※いずれかの遠隔魔法DPSジョブのレベルが100以上になると、イェドリマンのテペケから次の遠隔魔法DPSロールクエストを受注することができます。			祭器の能力は、危険を感知することで発動し、危険の大きさに応じてより大きな石を落下させられるようだ。テペケが戦いに相応しい舞台を用意する間、魔道士としての力を鍛えておこう！※いずれかの遠隔魔法DPSジョブのレベルが100以上になると、イェドリマンのテペケから次の遠隔魔法DPSロールクエストを受注することができます。			人気の裏に隠された素顔							
トライヨラのズーヘと話す			トライヨラのズーヘと話す			人気の裏に隠された素顔							
パリヨーナン沃野でネッゼを探す			パリヨーナン沃野でネッゼを探す			人気の裏に隠された素顔							
ネッゼを救助			ネッゼを救助			人気の裏に隠された素顔							
ラザハンのテペケと話す			ラザハンのテペケと話す			人気の裏に隠された素顔							
ヴィラザーンの父と話す			ヴィラザーンの父と話す			人気の裏に隠された素顔							
イェドリマンのテペケと話す			イェドリマンのテペケと話す			人気の裏に隠された素顔							
本クエストを進行するためには、「メインクエスト：黄金のレガシー」の、「サカ・トラルへ」を完了する必要があります。			本クエストを進行するためには、「メインクエスト：黄金のレガシー」の、「サカ・トラルへ」を完了する必要があります。			人気の裏に隠された素顔							
