トライヨラの武の院のマムージャ族は、冒険者のことを探しているようだ。			トライヨラの武の院のマムージャ族は、冒険者のことを探しているようだ。			トラル大陸のモブハント（初級）							
ひとりでは、はらへりの気配は探れない。モロコシ様を同行させてこよう。			ひとりでは、はらへりの気配は探れない。モロコシ様を同行させてこよう。			はらへり旅情：再会篇							
ひとりでは、はらへりの気配は探れない。モロコシ様を同行させてこよう。			ひとりでは、はらへりの気配は探れない。モロコシ様を同行させてこよう。			はらへり旅情：再会篇							
「はらへりだった青年」について話す			「はらへりだった青年」について話す			はらへり旅情：再会篇							
「はらへりだった老婆」について話す			「はらへりだった老婆」について話す			はらへり旅情：再会篇							
「はらへりだったマムージャ族」について話す			「はらへりだったマムージャ族」について話す			はらへり旅情：再会篇							
さてと、仕事の時間まで何するかな……。			さてと、仕事の時間まで何するかな……。			はらへり旅情：再会篇							
ふぃ～、あの青年はいつぞやの……！			ふぃ～、あの青年はいつぞやの……！			はらへり旅情：再会篇							
おや、君は以前に「焼きモロコシ」をくれた、優しい人じゃないか！			おや、君は以前に「焼きモロコシ」をくれた、優しい人じゃないか！			はらへり旅情：再会篇							
あの時は、仕事をクビになったばかりで滅入ってたけど、今では新しい職も見つけて、万事順調さ！それもこれも、空きっ腹を満たしてくれた君のおかげだね！			あの時は、仕事をクビになったばかりで滅入ってたけど、今では新しい職も見つけて、万事順調さ！それもこれも、空きっ腹を満たしてくれた君のおかげだね！			はらへり旅情：再会篇							
お礼を言えてよかったよ。それじゃあ、またどこかで……！			お礼を言えてよかったよ。それじゃあ、またどこかで……！			はらへり旅情：再会篇							
ふむ、あの者は、もうひもじい思いはしとらんようじゃ。それは幸せなことじゃの！			ふむ、あの者は、もうひもじい思いはしとらんようじゃ。それは幸せなことじゃの！			はらへり旅情：再会篇							
そろそろ、あの子のところに帰ろうかしら……。			そろそろ、あの子のところに帰ろうかしら……。			はらへり旅情：再会篇							
ふぃ～、あの老婆はいつぞやの……！			ふぃ～、あの老婆はいつぞやの……！			はらへり旅情：再会篇							
