トメラの村の噂好きのドワーフは、困っているようだ。			トメラの村の噂好きのドワーフは、困っているようだ。			コメラの村の事件							
何か進展があったら報告する。それまで待っててくれ。			何か進展があったら報告する。それまで待っててくれ。			コノッグの慎重な調査							
ワレワレはこれから調査結果のまとめにはいる。そこで、親方がまた余計なことを言ってこないように、釘を刺しておいてほしいのだ。			ワレワレはこれから調査結果のまとめにはいる。そこで、親方がまた余計なことを言ってこないように、釘を刺しておいてほしいのだ。			コノッグの慎重な調査							
心配するな、適当に言いくるめておいてくれればいい。もちろん何かわかったら、親方にもちゃんと知らせるからな。よろしく頼んだぞ。			心配するな、適当に言いくるめておいてくれればいい。もちろん何かわかったら、親方にもちゃんと知らせるからな。よろしく頼んだぞ。			コノッグの慎重な調査							
親方がまた余計なことを言ってこないように、釘を刺しておいてほしいのだ。よろしく頼んだぞ。			親方がまた余計なことを言ってこないように、釘を刺しておいてほしいのだ。よろしく頼んだぞ。			コノッグの慎重な調査							
アノッグから報告があるようですよ。			アノッグから報告があるようですよ。			コノッグの慎重な調査							
………………。			………………。			コノッグの慎重な調査							
親方の件、よろしくお願いしますね。			親方の件、よろしくお願いしますね。			コノッグの慎重な調査							
あぁ旅の人か、バタバタしていてすまない。遺跡の機械達が暴れた件の対応に追われていてな……。			あぁ旅の人か、バタバタしていてすまない。遺跡の機械達が暴れた件の対応に追われていてな……。			コノッグの慎重な調査							
ところで、アノッグとコノッグはどうした？			ところで、アノッグとコノッグはどうした？			コノッグの慎重な調査							
親方に何という？			親方に何という？			コノッグの慎重な調査							
遺跡の調査結果をまとめているところだ。			遺跡の調査結果をまとめているところだ。			コノッグの慎重な調査							
頑張ってるみたいだから、そっとしておいてあげて。			頑張ってるみたいだから、そっとしておいてあげて。			コノッグの慎重な調査							
うーむ……。今回の件に関しては、あいつらの報告を待つしかないか。			うーむ……。今回の件に関しては、あいつらの報告を待つしかないか。			コノッグの慎重な調査							
旅の人にも頼り切りになってしまったな……。こんな小さな村のためにありがとう、感謝する。大したものじゃないが、お礼の品だ、受け取ってくれ。			旅の人にも頼り切りになってしまったな……。こんな小さな村のためにありがとう、感謝する。大したものじゃないが、お礼の品だ、受け取ってくれ。			コノッグの慎重な調査							
