先輩レターモーグリは、冒険者に敏腕美容師への手紙を託したいようだ。			先輩レターモーグリは、冒険者に敏腕美容師への手紙を託したいようだ。			敏腕美容師の華麗なる妙技							
俺は犯罪稼業に嫌気がさして、足抜けすることにした。「紫煙の兄弟」の悪事をあらいざらい、名うての事件屋……そう、ヒルディブランドにタレ込んだのさ。			俺は犯罪稼業に嫌気がさして、足抜けすることにした。「紫煙の兄弟」の悪事をあらいざらい、名うての事件屋……そう、ヒルディブランドにタレ込んだのさ。			君がいたアベニュー							
……そんとき、ちょっとした誤解があってな。そそっかしい事件屋のオッサンが、俺のことを、「街で噂の正義の情報屋サンです！」なんて吹聴しやがったんだ。			……そんとき、ちょっとした誤解があってな。そそっかしい事件屋のオッサンが、俺のことを、「街で噂の正義の情報屋サンです！」なんて吹聴しやがったんだ。			君がいたアベニュー							
ほどなく「紫煙の兄弟」は、全員ブタ箱行き……食いつめた俺は、ままよ、と事件屋のデマに乗っかって、本物の「情報屋」に転身したってわけさ。			ほどなく「紫煙の兄弟」は、全員ブタ箱行き……食いつめた俺は、ままよ、と事件屋のデマに乗っかって、本物の「情報屋」に転身したってわけさ。			君がいたアベニュー							
しっかし、愉快な事件屋のふたり……こんなでかいヤマもキャッチしねぇで、どこで何してんだか。			しっかし、愉快な事件屋のふたり……こんなでかいヤマもキャッチしねぇで、どこで何してんだか。			君がいたアベニュー							
なぁ、冒険者……ここはウルダハ、正義も金で買う街だ。だが小さな女の子を泣かすような外道は、俺が許さねぇ。人質のお嬢ちゃんを助けて、悪党どもをブッ潰す！			なぁ、冒険者……ここはウルダハ、正義も金で買う街だ。だが小さな女の子を泣かすような外道は、俺が許さねぇ。人質のお嬢ちゃんを助けて、悪党どもをブッ潰す！			君がいたアベニュー							
協力してくれるのか、ありがてぇ！……なら、作戦開始といくぜ！			協力してくれるのか、ありがてぇ！……なら、作戦開始といくぜ！			君がいたアベニュー							
奴らを潰すには、雇い主である黒幕ごとやらねぇと効果がねぇ。だが、件の悪徳商人は大物だ、そうそう表に出ちゃこねぇ。……そこで市場を巻き込んで、手の込んだ「罠」を仕掛ける！			奴らを潰すには、雇い主である黒幕ごとやらねぇと効果がねぇ。だが、件の悪徳商人は大物だ、そうそう表に出ちゃこねぇ。……そこで市場を巻き込んで、手の込んだ「罠」を仕掛ける！			君がいたアベニュー							
サファイアアベニュー国際市場に向かってくれ。そこの顔役を気取ってる「セセロガ」って野郎に、相談を持ちかけるフリをして、噂を流す……。			サファイアアベニュー国際市場に向かってくれ。そこの顔役を気取ってる「セセロガ」って野郎に、相談を持ちかけるフリをして、噂を流す……。			君がいたアベニュー							
この「ライブラ銀行の約束手形」を見せて、こう伝えるんだ。「さる大金持ちに雇われて、青燐水を買い集めてる」ってな！そこで紹介された商人から、本当に買いつけてこい！			この「ライブラ銀行の約束手形」を見せて、こう伝えるんだ。「さる大金持ちに雇われて、青燐水を買い集めてる」ってな！そこで紹介された商人から、本当に買いつけてこい！			君がいたアベニュー							
……何を企んでいるのかだって？フッ、「情報屋」のやり方で、悪党どもをとっちめてやるのさ！			……何を企んでいるのかだって？フッ、「情報屋」のやり方で、悪党どもをとっちめてやるのさ！			君がいたアベニュー							
サファイアアベニュー国際市場に向かってくれ。そこの顔役を気取ってる「セセロガ」って野郎に、相談を持ちかけるフリをして、噂を流す……。			サファイアアベニュー国際市場に向かってくれ。そこの顔役を気取ってる「セセロガ」って野郎に、相談を持ちかけるフリをして、噂を流す……。			君がいたアベニュー							
「ライブラ銀行の約束手形」を見せて、こう伝えるんだ。「さる大金持ちに雇われて、青燐水を買い集めてる」ってな！そこで紹介された商人から、本当に買いつけてこい！			「ライブラ銀行の約束手形」を見せて、こう伝えるんだ。「さる大金持ちに雇われて、青燐水を買い集めてる」ってな！そこで紹介された商人から、本当に買いつけてこい！			君がいたアベニュー							
おや、冒険者がワシになんの用だ？……ん？　見てもらいたいものがある？			おや、冒険者がワシになんの用だ？……ん？　見てもらいたいものがある？			君がいたアベニュー							
……おおっ！？これはまた、べらぼうな金額の手形だな！			……おおっ！？これはまた、べらぼうな金額の手形だな！			君がいたアベニュー							
ほほう……ある大金持ちに雇われて、青燐水を買いつけにきたと？真っ先に、市場の顔役であるワシに相談するとは、感心感心！			ほほう……ある大金持ちに雇われて、青燐水を買いつけにきたと？真っ先に、市場の顔役であるワシに相談するとは、感心感心！			君がいたアベニュー							
