リムサ・ロミンサの下甲板層にいるナシュメラは、冒険者の成長を喜んでいるようだ。			リムサ・ロミンサの下甲板層にいるナシュメラは、冒険者の成長を喜んでいるようだ。			新天地へと舞い挑め							
さあ、さっそく出発するわよ。シェーダー族の無法者たちが集まるのは南部森林だとか。近くにある酒房「バスカロンドラザーズ」に集合しましょう。			さあ、さっそく出発するわよ。シェーダー族の無法者たちが集まるのは南部森林だとか。近くにある酒房「バスカロンドラザーズ」に集合しましょう。			黒衣森に広がる不安							
ザナラーン各地で、ともに公演を行った私が保証します。ラナーの嬢ちゃんは、もう大丈夫ですよ。しかし……座長が一緒に出向くとは意外でしたね。			ザナラーン各地で、ともに公演を行った私が保証します。ラナーの嬢ちゃんは、もう大丈夫ですよ。しかし……座長が一緒に出向くとは意外でしたね。			黒衣森に広がる不安							
ナシュメラ先生、確かめたいことって何だろう……。監督役って言ってたけど、そんな雰囲気でもないんだよね。			ナシュメラ先生、確かめたいことって何だろう……。監督役って言ってたけど、そんな雰囲気でもないんだよね。			黒衣森に広がる不安							
いま、酒房で聞いてきたんだけど、シェーダー族は、北東の方角で目撃されたそうよ。それと……彼らは森の中で「奇妙な舞」を踊っていたらしいわ。			いま、酒房で聞いてきたんだけど、シェーダー族は、北東の方角で目撃されたそうよ。それと……彼らは森の中で「奇妙な舞」を踊っていたらしいわ。			黒衣森に広がる不安							
ザナラーンで起きた現象と一緒……。これは、詳しく確認する必要がありそうね。さあ、北東に向い、シェーダー族を探しましょう。			ザナラーンで起きた現象と一緒……。これは、詳しく確認する必要がありそうね。さあ、北東に向い、シェーダー族を探しましょう。			黒衣森に広がる不安							
ザナラーンで見た過激派の舞と、シェーダー族の舞。このふたつは、同じものなのかなあ……。ナシュメラ先生は、なにか心当たりがあるみたいだけど。			ザナラーンで見た過激派の舞と、シェーダー族の舞。このふたつは、同じものなのかなあ……。ナシュメラ先生は、なにか心当たりがあるみたいだけど。			黒衣森に広がる不安							
シェーダー族が目撃されたのは、この辺りのはずよ。			シェーダー族が目撃されたのは、この辺りのはずよ。			黒衣森に広がる不安							
Forename、ナシュメラ先生……！茂みの向こう、いま人影が見えた……。こっそり、近づいてみよう。			Forename、ナシュメラ先生……！茂みの向こう、いま人影が見えた……。こっそり、近づいてみよう。			黒衣森に広がる不安							
あの気持ち悪い動き。ザナラーンで、私が見た舞と同じだ……！			あの気持ち悪い動き。ザナラーンで、私が見た舞と同じだ……！			黒衣森に広がる不安							
やはり、ね。あれこそ、「死の舞踏」……。			やはり、ね。あれこそ、「死の舞踏」……。			黒衣森に広がる不安							
細かい説明は後でするとして、ここは私に任せてくれない？試したいことがあるの……。			細かい説明は後でするとして、ここは私に任せてくれない？試したいことがあるの……。			黒衣森に広がる不安							
なんだ、テメエ。俺たちが踊るのをジャマ、するナ……。			なんだ、テメエ。俺たちが踊るのをジャマ、するナ……。			黒衣森に広がる不安							
こ、これは……！？カラダ……いや、胸の奥が、アツイ……。			こ、これは……！？カラダ……いや、胸の奥が、アツイ……。			黒衣森に広がる不安							
あっ……！？ナシュメラ先生ッ！！			あっ……！？ナシュメラ先生ッ！！			黒衣森に広がる不安							
