宝杖通りの商人マスは、商品の手配に追われているようだ。			宝杖通りの商人マスは、商品の手配に追われているようだ。			聖アンダリム神学院の消えた書物							
あなたも、クラムヴォワに用なの？彼と話すと心が軽くなるわよね……。			あなたも、クラムヴォワに用なの？彼と話すと心が軽くなるわよね……。			神学生の聖戦							
神学生は、寮で共同生活を送ることで、聖職者としての資質を磨く。寮長である私は、神学生の生活基盤を掌握しているというわけだ。			神学生は、寮で共同生活を送ることで、聖職者としての資質を磨く。寮長である私は、神学生の生活基盤を掌握しているというわけだ。			神学生の聖戦							
本家の当主であらせられるゼーメル伯爵閣下に、寮長を補佐するよう指示を受け、本学院に入学しました。寮長が太陽ならば、私は月のようなものなのです。			本家の当主であらせられるゼーメル伯爵閣下に、寮長を補佐するよう指示を受け、本学院に入学しました。寮長が太陽ならば、私は月のようなものなのです。			神学生の聖戦							
Forenameさん、また会いましたね。僕たちは、休学してしまった平民出身の学友たちを、神学院に呼び戻そうと説得して回っているんです。			Forenameさん、また会いましたね。僕たちは、休学してしまった平民出身の学友たちを、神学院に呼び戻そうと説得して回っているんです。			神学生の聖戦							
……自分の意思で去った者を、無理に呼び戻してどうなる？あの腹黒寮長のことだ、どうせこの復学促進運動とやらも、自分の「点数稼ぎ」に利用するつもりだろうよ。			……自分の意思で去った者を、無理に呼び戻してどうなる？あの腹黒寮長のことだ、どうせこの復学促進運動とやらも、自分の「点数稼ぎ」に利用するつもりだろうよ。			神学生の聖戦							
それでも今は、自分にできることをやるだけです……。神学院をとりまく状況を変える意思を持つ同志が、ひとりでも多くなってくれることが大切ですから！			それでも今は、自分にできることをやるだけです……。神学院をとりまく状況を変える意思を持つ同志が、ひとりでも多くなってくれることが大切ですから！			神学生の聖戦							
状況を変える意思、か……。確かに、あの腹黒寮長が教皇庁入りしたら、間違いなく昔の正教に逆戻りだろうな……。			状況を変える意思、か……。確かに、あの腹黒寮長が教皇庁入りしたら、間違いなく昔の正教に逆戻りだろうな……。			神学生の聖戦							
このまま貴族組の好きにさせて、上位三席を独占されりゃ、貴族と平民を隔てる教えも、残り続けちまうってことか。			このまま貴族組の好きにさせて、上位三席を独占されりゃ、貴族と平民を隔てる教えも、残り続けちまうってことか。			神学生の聖戦							
でも、僕たちに同意してくれる学友が増えれば、状況を変えられるはずです！だから、諦めずにがんばりましょう！			でも、僕たちに同意してくれる学友が増えれば、状況を変えられるはずです！だから、諦めずにがんばりましょう！			神学生の聖戦							
ったく、テオにはかなわないな。あいつは正論で突き進むから、貴族に目の敵にされてるんだ。だから、俺があいつを守るしかないんだ、じゃあな！			ったく、テオにはかなわないな。あいつは正論で突き進むから、貴族に目の敵にされてるんだ。だから、俺があいつを守るしかないんだ、じゃあな！			神学生の聖戦							
