石の家のウヌクアルハイは、冒険者に蛮神問題に関する依頼をしたいようだ。			石の家のウヌクアルハイは、冒険者に蛮神問題に関する依頼をしたいようだ。			極まりし雲神ビスマルク							
ええ、私の施した封印を破りし者……研究所内にあえて帝国軍を招き入れ、「光の戦士」と戦わせることで、敵の殲滅を謀った者のことを。			ええ、私の施した封印を破りし者……研究所内にあえて帝国軍を招き入れ、「光の戦士」と戦わせることで、敵の殲滅を謀った者のことを。			星の命運を懸けて							
…………。僕が、今回の一件の黒幕だとでも？			…………。僕が、今回の一件の黒幕だとでも？			星の命運を懸けて							
計画したのはあなたの「主(あるじ)」……実行したのは、あなた。帝国軍を罠にかけ、袋のネズミに……という作戦でしょうか。敵の「殲滅」を主張したのは、そのためですね？			計画したのはあなたの「主(あるじ)」……実行したのは、あなた。帝国軍を罠にかけ、袋のネズミに……という作戦でしょうか。敵の「殲滅」を主張したのは、そのためですね？			星の命運を懸けて							
何を根拠に……？			何を根拠に……？			星の命運を懸けて							
ひとつは、あなたの語った話です。我らが存在すら知らなかった「変換式」のことを、敵将はいかに知り得たのか……。			ひとつは、あなたの語った話です。我らが存在すら知らなかった「変換式」のことを、敵将はいかに知り得たのか……。			星の命運を懸けて							
そして……破られた封印を調べて確信しました。かような芸当ができるのは、我らと異なる世界の「理」に従う者……すなわち、あなただと。			そして……破られた封印を調べて確信しました。かような芸当ができるのは、我らと異なる世界の「理」に従う者……すなわち、あなただと。			星の命運を懸けて							
……それが事実だとして、僕をどうする気です？			……それが事実だとして、僕をどうする気です？			星の命運を懸けて							
真理の追究は、必ずしも「絆」の良薬にあらず……。責めるつもりはなく、いささか水くさいと言いたかったのですよ。			真理の追究は、必ずしも「絆」の良薬にあらず……。責めるつもりはなく、いささか水くさいと言いたかったのですよ。			星の命運を懸けて							
我々は、帝国軍という共通の敵と戦う同志です。事前にForenameさんやクルル嬢に、あなたの狙いを伝えておけば、よりよき連携が取れたのでは……？			我々は、帝国軍という共通の敵と戦う同志です。事前にForenameさんやクルル嬢に、あなたの狙いを伝えておけば、よりよき連携が取れたのでは……？			星の命運を懸けて							
そうすれば、きっと貴方がたは反対したでしょう？アラグの機密をみすみす危険にさらす作戦など……。			そうすれば、きっと貴方がたは反対したでしょう？アラグの機密をみすみす危険にさらす作戦など……。			星の命運を懸けて							
だとしても、あなた自身の言葉で語るべきでした。普段は理知的なあなたですが、蛮神を利用せんとする輩に対しては、行動が先走る趣(おもむき)がある……。			だとしても、あなた自身の言葉で語るべきでした。普段は理知的なあなたですが、蛮神を利用せんとする輩に対しては、行動が先走る趣(おもむき)がある……。			星の命運を懸けて							
しかし、ひとりの力で救えるほど、この世は小さなものではない。同志を信じることを覚えねば、いつか大きな過ちを犯すでしょう。			しかし、ひとりの力で救えるほど、この世は小さなものではない。同志を信じることを覚えねば、いつか大きな過ちを犯すでしょう。			星の命運を懸けて							
