レヴナンツトールのラドヴァンは、新たな後継者を探しているようだ。			レヴナンツトールのラドヴァンは、新たな後継者を探しているようだ。			もうひとりのガンブレイカー							
ええっ……！魔導技師の人の名前って、本当にカト・ナン・マムラ……！？			ええっ……！魔導技師の人の名前って、本当にカト・ナン・マムラ……！？			強敵襲来？ 亡命した魔導技師を護れ！							
もしかしたら……オッサン……。			もしかしたら……オッサン……。			強敵襲来？ 亡命した魔導技師を護れ！							
オッサンの故郷は「シタデル・ボズヤ」といって、帝国の実験の失敗によって、消滅してしまった街なんだ。			オッサンの故郷は「シタデル・ボズヤ」といって、帝国の実験の失敗によって、消滅してしまった街なんだ。			強敵襲来？ 亡命した魔導技師を護れ！							
その実験ってのを指揮してたのが、シドの父親、筆頭機工師ミド・ナン・ガーロンドなんだけど……彼の右腕的存在が「カト」だったんだ！			その実験ってのを指揮してたのが、シドの父親、筆頭機工師ミド・ナン・ガーロンドなんだけど……彼の右腕的存在が「カト」だったんだ！			強敵襲来？ 亡命した魔導技師を護れ！							
そもそも、オッサンが投獄されたのは実験に反対したせいだ。そして、カトたちの実験のせいで、オッサンの家族は、故郷もろとも蒸発しちまったんだよ！			そもそも、オッサンが投獄されたのは実験に反対したせいだ。そして、カトたちの実験のせいで、オッサンの家族は、故郷もろとも蒸発しちまったんだよ！			強敵襲来？ 亡命した魔導技師を護れ！							
もしかしたら、オッサンは、祖国と家族の復讐を果たそうと考えているのかも！			もしかしたら、オッサンは、祖国と家族の復讐を果たそうと考えているのかも！			強敵襲来？ 亡命した魔導技師を護れ！							
こうしてはいられない、はやく行方を探さないと……！			こうしてはいられない、はやく行方を探さないと……！			強敵襲来？ 亡命した魔導技師を護れ！							
ここから西の、ひとけのないところを重点的に探そう！アタシは聖ダナフェンの旅程の方を探すから、キミは「ベヒーモスの縄張り」の方をお願い……！			ここから西の、ひとけのないところを重点的に探そう！アタシは聖ダナフェンの旅程の方を探すから、キミは「ベヒーモスの縄張り」の方をお願い……！			強敵襲来？ 亡命した魔導技師を護れ！							
祖国と……家族の仇だ……			祖国と……家族の仇だ……			強敵襲来？ 亡命した魔導技師を護れ！							
そうか……その姿、やはりボズヤの……			そうか……その姿、やはりボズヤの……			強敵襲来？ 亡命した魔導技師を護れ！							
Forename……！？			Forename……！？			強敵襲来？ 亡命した魔導技師を護れ！							
とめないでくれ！こいつは護るに値しない男……私の家族と故郷……すべて奪った男だ……！			とめないでくれ！こいつは護るに値しない男……私の家族と故郷……すべて奪った男だ……！			強敵襲来？ 亡命した魔導技師を護れ！							
頼む……私に復讐させてくれ……！！			頼む……私に復讐させてくれ……！！			強敵襲来？ 亡命した魔導技師を護れ！							
何と言う？			何と言う？			強敵襲来？ 亡命した魔導技師を護れ！							
無抵抗な者を殺すのか？			無抵抗な者を殺すのか？			強敵襲来？ 亡命した魔導技師を護れ！							
彼は護衛対象のはずだ！			彼は護衛対象のはずだ！			強敵襲来？ 亡命した魔導技師を護れ！							
すまなかった……。許してくれとは言わない、だが、これだけは信じてくれ……			すまなかった……。許してくれとは言わない、だが、これだけは信じてくれ……			強敵襲来？ 亡命した魔導技師を護れ！							
私もミドも、あの実験が、街を蒸発させてしまう事態になるなんて、思いもしなかった。あれからずっと、実験を強行したことを後悔していたんだ……。			私もミドも、あの実験が、街を蒸発させてしまう事態になるなんて、思いもしなかった。あれからずっと、実験を強行したことを後悔していたんだ……。			強敵襲来？ 亡命した魔導技師を護れ！							
