ポルタ・プレトリアのアラミゴ解放軍の上級闘士は、冒険者を待っていたようだ。			ポルタ・プレトリアのアラミゴ解放軍の上級闘士は、冒険者を待っていたようだ。			英雄への鎮魂歌							
サドゥから楔石の力を使うことを許された。さらに、ドタール族だけでなくオロニル族やブドゥガ族も東方連合に加わってくれるようだ。モル・イローの「シリナ」に報告しよう。			サドゥから楔石の力を使うことを許された。さらに、ドタール族だけでなくオロニル族やブドゥガ族も東方連合に加わってくれるようだ。モル・イローの「シリナ」に報告しよう。			楔石の虚							
シリナに報告した。モル族も東方連合に参加してくれるそうだ。			シリナに報告した。モル族も東方連合に参加してくれるそうだ。			楔石の虚							
楔石の虚でヤ・シュトラと話す			楔石の虚でヤ・シュトラと話す			楔石の虚							
モル・イローのシリナと話す			モル・イローのシリナと話す			楔石の虚							
ドタール・カーのサドゥと話す			ドタール・カーのサドゥと話す			楔石の虚							
指定地点で待機			指定地点で待機			楔石の虚							
モル・イローのシリナに報告			モル・イローのシリナに報告			楔石の虚							
さて、「楔石の虚」とやらに向かうとするか。穏便に済ませられるなら、それが一番だ。			さて、「楔石の虚」とやらに向かうとするか。穏便に済ませられるなら、それが一番だ。			楔石の虚							
月神の力の根源たる結晶が、どれほどの力を宿しているか……。ここは、私の出番みたいね。さっそく「楔石の虚」へ調査に向かいましょう。			月神の力の根源たる結晶が、どれほどの力を宿しているか……。ここは、私の出番みたいね。さっそく「楔石の虚」へ調査に向かいましょう。			楔石の虚							
うむ……この結晶から強い気は感じるが、それが、どれほどの力なのかはサッパリだ！ここは専門家に任せよう。			うむ……この結晶から強い気は感じるが、それが、どれほどの力なのかはサッパリだ！ここは専門家に任せよう。			楔石の虚							
改めて、楔石の力を使うにあたっての懸念を、詳しくシリナから聞くとしよう。			改めて、楔石の力を使うにあたっての懸念を、詳しくシリナから聞くとしよう。			楔石の虚							
それにしても、あれほどのエーテル密度を誇る建造物が、何千年も手付かずで残っているなんて……。独自の発展を遂げたこの草原ならではの奇跡ね。			それにしても、あれほどのエーテル密度を誇る建造物が、何千年も手付かずで残っているなんて……。独自の発展を遂げたこの草原ならではの奇跡ね。			楔石の虚							
そうですか……さすが月神ナーマの御力です。となれば、やはり他部族への説得が必要になりますね。			そうですか……さすが月神ナーマの御力です。となれば、やはり他部族への説得が必要になりますね。			楔石の虚							
うむ……。月神を強く信仰しているというのは、どの部族なのだ？			うむ……。月神を強く信仰しているというのは、どの部族なのだ？			楔石の虚							
……サドゥさん率いる、ドタール族です。			……サドゥさん率いる、ドタール族です。			楔石の虚							
……リセから聞いたことがあるわ。かなり好戦的で、独特な風習を持った部族だって。同意を得るだけでも、一苦労ありそうね。			……リセから聞いたことがあるわ。かなり好戦的で、独特な風習を持った部族だって。同意を得るだけでも、一苦労ありそうね。			楔石の虚							
だが、死をも恐れぬ彼女らの力が、連合に不可欠なのも確かだ……。ここは、真正面から腹を割って話すのみよ。ドタール・カーへ向かい、「サドゥ」に会うとしよう。			だが、死をも恐れぬ彼女らの力が、連合に不可欠なのも確かだ……。ここは、真正面から腹を割って話すのみよ。ドタール・カーへ向かい、「サドゥ」に会うとしよう。			楔石の虚							
