レヴナンツトールの異国風の男は、冒険者に紹介したい仕事があるようだ。			レヴナンツトールの異国風の男は、冒険者に紹介したい仕事があるようだ。			古代アラグ文明の遺産							
構造は違うが、シルクスの塔の入口も、防衛機構で固められてるのさ。			構造は違うが、シルクスの塔の入口も、防衛機構で固められてるのさ。			シルクスの塔							
しかも、すげーやっかいなヤツ！オレとシドであれこれ試しちゃいるが、何の成果もでやしねー。			しかも、すげーやっかいなヤツ！オレとシドであれこれ試しちゃいるが、何の成果もでやしねー。			シルクスの塔							
……頼みますよ、本当に。			……頼みますよ、本当に。			シルクスの塔							
ともかく、万策尽きていてね……。君の手を借りようにも、突破の糸口さえ掴めていない状況だ。時間はかかるが、古代の記録を洗っていくしか……。			ともかく、万策尽きていてね……。君の手を借りようにも、突破の糸口さえ掴めていない状況だ。時間はかかるが、古代の記録を洗っていくしか……。			シルクスの塔							
(-？？？？-)ならば、その防衛機構……僕らに見せてくれないか。			(-？？？？-)ならば、その防衛機構……僕らに見せてくれないか。			シルクスの塔							
……なんだぁ？			……なんだぁ？			シルクスの塔							
(-？？？？-)にらまないでよ、賢人さん。私たちは、あんたたちの……ノアの味方なんだからね。			(-？？？？-)にらまないでよ、賢人さん。私たちは、あんたたちの……ノアの味方なんだからね。			シルクスの塔							
私はウネ、隣の暗そうなのがドーガ。古代アラグ文明の研究を専門にしてるんだ。バルデシオン委員会の命で、調査を手伝いにきたよ。			私はウネ、隣の暗そうなのがドーガ。古代アラグ文明の研究を専門にしてるんだ。バルデシオン委員会の命で、調査を手伝いにきたよ。			シルクスの塔							
ウネにドーガ……？いまどき珍しい、古風な名だな。			ウネにドーガ……？いまどき珍しい、古風な名だな。			シルクスの塔							
しかし、君たち。委員会からは、その名どころか、協力者を送るという連絡さえ受けていないが？			しかし、君たち。委員会からは、その名どころか、協力者を送るという連絡さえ受けていないが？			シルクスの塔							
しかし、君たち。その名を委員会から聞いた覚えはないし、本部の消滅騒ぎで、それどころではないはずだが？			しかし、君たち。その名を委員会から聞いた覚えはないし、本部の消滅騒ぎで、それどころではないはずだが？			シルクスの塔							
…………では、連絡が行き違ったのだろう。信じてもらうしかない。			…………では、連絡が行き違ったのだろう。信じてもらうしかない。			シルクスの塔							
グ・ラハ・ティア？どうしました？			グ・ラハ・ティア？どうしました？			シルクスの塔							
……なんか……眼が…………。でも、大丈夫だ……気にするほどじゃない。			……なんか……眼が…………。でも、大丈夫だ……気にするほどじゃない。			シルクスの塔							
……驚いた。よく見たらその右眼、私たちと同じ眼だね。			……驚いた。よく見たらその右眼、私たちと同じ眼だね。			シルクスの塔							
同じ眼……？まさか、あんたたちも「紅血の魔眼」の持ち主なのか！？			同じ眼……？まさか、あんたたちも「紅血の魔眼」の持ち主なのか！？			シルクスの塔							
この眼について、知ってることがあるなら教えてくれ！血のように紅い魔眼は、失われたはずのアラグ人の特徴のはず……なのにオレは、親父からこの眼を受け継いだんだ。			この眼について、知ってることがあるなら教えてくれ！血のように紅い魔眼は、失われたはずのアラグ人の特徴のはず……なのにオレは、親父からこの眼を受け継いだんだ。			シルクスの塔							
親父も祖父から……でも、兄弟の中で眼が顕れるのは、きまってひとりだけだ。その意味を、オレはずっと探してきた……！			親父も祖父から……でも、兄弟の中で眼が顕れるのは、きまってひとりだけだ。その意味を、オレはずっと探してきた……！			シルクスの塔							
……すまないが、僕らではその答えを示せない。確かなのは、この眼とアラグには因縁があるということのみ。			……すまないが、僕らではその答えを示せない。確かなのは、この眼とアラグには因縁があるということのみ。			シルクスの塔							
そして、お前がその因縁に導かれてきたように、僕らも己の存在理由を果たしにきた……。これでもまだ、信じるに足らないだろうか。			そして、お前がその因縁に導かれてきたように、僕らも己の存在理由を果たしにきた……。これでもまだ、信じるに足らないだろうか。			シルクスの塔							
