玄水連山の無惨な死体は、手に手帳を握りしめているようだ。			玄水連山の無惨な死体は、手に手帳を握りしめているようだ。			愛しき人へ							
本クエストは「探索型クエスト」です。進行中、ジャーナルや目的リストや地図に、ヒントが表示されない場合があります。			本クエストは「探索型クエスト」です。進行中、ジャーナルや目的リストや地図に、ヒントが表示されない場合があります。			音を頼りに							
アンタ、腕っききっぺか？助けてくれっぺよい！実は、弟が漁に出たきり、戻ってこないんだっぺよい！			アンタ、腕っききっぺか？助けてくれっぺよい！実は、弟が漁に出たきり、戻ってこないんだっぺよい！			音を頼りに							
アイツの鈴が、「東の水辺」で見つかったんだっぺよい。こんな大事なもんを落としちまうなんて、なにかあったに違いないんだっぺよい！			アイツの鈴が、「東の水辺」で見つかったんだっぺよい。こんな大事なもんを落としちまうなんて、なにかあったに違いないんだっぺよい！			音を頼りに							
肌身離さず付けてた鈴だから、結びつきも強いんだっぺよい。持ち主の近くで鳴らすと、キレイな音がするから、こいつを使って、弟を探してほしいんだっぺよい！			肌身離さず付けてた鈴だから、結びつきも強いんだっぺよい。持ち主の近くで鳴らすと、キレイな音がするから、こいつを使って、弟を探してほしいんだっぺよい！			音を頼りに							
鈴が落ちてた下流の方は見回ったから、もっと上流……でっかい壁のあたりや、対岸を探してほしいっぺよい！よろしく頼むっぺよい！			鈴が落ちてた下流の方は見回ったから、もっと上流……でっかい壁のあたりや、対岸を探してほしいっぺよい！よろしく頼むっぺよい！			音を頼りに							
「ナマズオの鈴」を使用し、鈴の音の響きをヒントに、「怯えたナマズオ」を探しましょう。			「ナマズオの鈴」を使用し、鈴の音の響きをヒントに、「怯えたナマズオ」を探しましょう。			音を頼りに							
弟の鈴は、「東の水辺」で見つかったんだっぺよい。鈴が落ちてた下流の方は見回ったから、もっと上流……でっかい壁のあたりや、対岸を探してほしいっぺよい！			弟の鈴は、「東の水辺」で見つかったんだっぺよい。鈴が落ちてた下流の方は見回ったから、もっと上流……でっかい壁のあたりや、対岸を探してほしいっぺよい！			音を頼りに							
ぼんやりとした鈴の音が響いた。持ち主は遠くにいるようだ。			ぼんやりとした鈴の音が響いた。持ち主は遠くにいるようだ。			音を頼りに							
鈴の音が響いた。持ち主とは、それほど離れていないようだ。			鈴の音が響いた。持ち主とは、それほど離れていないようだ。			音を頼りに							
涼やかな鈴の音が響いた。持ち主が近くにいるようだ。			涼やかな鈴の音が響いた。持ち主が近くにいるようだ。			音を頼りに							
ど、どちらさまっぺか……？			ど、どちらさまっぺか……？			音を頼りに							
オイラの鈴だっぺよ！どこでこれを？			オイラの鈴だっぺよ！どこでこれを？			音を頼りに							
そういうことなら、頼みがあるっぺよ！「ナマズイーター」が近くにいて、身動きがとれないっぺな！「見渡し」たらきっといるはずだから、やっつけてほしいっぺよ！			そういうことなら、頼みがあるっぺよ！「ナマズイーター」が近くにいて、身動きがとれないっぺな！「見渡し」たらきっといるはずだから、やっつけてほしいっぺよ！			音を頼りに							
「ナマズイーター」が近くにいて、身動きがとれないっぺな！「見渡し」たらきっといるはずだから、やっつけてほしいっぺよ！			「ナマズイーター」が近くにいて、身動きがとれないっぺな！「見渡し」たらきっといるはずだから、やっつけてほしいっぺよ！			音を頼りに							
かたじけないっぺよ。これで安心して屋敷に帰れるっぺな！			かたじけないっぺよ。これで安心して屋敷に帰れるっぺな！			音を頼りに							
無事に弟が戻ってきたっぺよい！助かったっぺよい！			無事に弟が戻ってきたっぺよい！助かったっぺよい！			音を頼りに							
ナマズイーターは、オイラたちナマズオが好物なもんで、多くの仲間が食われてきたんだっぺよい……。			ナマズイーターは、オイラたちナマズオが好物なもんで、多くの仲間が食われてきたんだっぺよい……。			音を頼りに							
腕っききのアンタがいてくれて、弟も命拾いしたっぺよい！本当にありがとっぺよい！			腕っききのアンタがいてくれて、弟も命拾いしたっぺよい！本当にありがとっぺよい！			音を頼りに							
