マエヌは、最後にひとつ冒険者にお願いをしたいようだ。			マエヌは、最後にひとつ冒険者にお願いをしたいようだ。			歴史的邂逅							
あそこのミスト・ドレイク……。あいつがモグの目標くぽ！モグの魔法が当たれば勝てるけど、万が一ってことがあるくぽ。			あそこのミスト・ドレイク……。あいつがモグの目標くぽ！モグの魔法が当たれば勝てるけど、万が一ってことがあるくぽ。			モグコンの成長							
教官に、敵の力量を見てきてほしいくぽ！ミスト・ドレイクを倒して、「ドレイクの尾」を3個取ってくるくぽ。			教官に、敵の力量を見てきてほしいくぽ！ミスト・ドレイクを倒して、「ドレイクの尾」を3個取ってくるくぽ。			モグコンの成長							
教官に、敵の力量を見てきてほしいくぽ！ミスト・ドレイクを倒して、「ドレイクの尾」を3個取ってくるくぽ。			教官に、敵の力量を見てきてほしいくぽ！ミスト・ドレイクを倒して、「ドレイクの尾」を3個取ってくるくぽ。			モグコンの成長							
教官に、敵の力量を見てきてほしいくぽ！ミスト・ドレイクを倒して、「ドレイクの尾」を3個取ってくるくぽ。			教官に、敵の力量を見てきてほしいくぽ！ミスト・ドレイクを倒して、「ドレイクの尾」を3個取ってくるくぽ。			モグコンの成長							
これがドレイクの尾くぽ？モグが本気を出せれば、いけそうくぽ。			これがドレイクの尾くぽ？モグが本気を出せれば、いけそうくぽ。			モグコンの成長							
よし、あと少し訓練してから挑戦するくぽ！敵の力量を認めただけ、モグは成長したくぽ。訓練終了くぽ！			よし、あと少し訓練してから挑戦するくぽ！敵の力量を認めただけ、モグは成長したくぽ。訓練終了くぽ！			モグコンの成長							
サルウーム・カシュのちらちらモーグリは、震えているようだ。			サルウーム・カシュのちらちらモーグリは、震えているようだ。			幼虫発生中							
ちらちらモーグリから、卵から出てきた幼虫を駆除してほしいと頼まれた。サルウーム・カシュで「ブロウイング・ワモーラ・カンパ」を3体討伐しよう。			ちらちらモーグリから、卵から出てきた幼虫を駆除してほしいと頼まれた。サルウーム・カシュで「ブロウイング・ワモーラ・カンパ」を3体討伐しよう。			幼虫発生中							
ブロウイング・ワモーラ・カンパを討伐した。サルウーム・カシュの「ちらちらモーグリ」に報告しよう。			ブロウイング・ワモーラ・カンパを討伐した。サルウーム・カシュの「ちらちらモーグリ」に報告しよう。			幼虫発生中							
ちらちらモーグリに報告した。ちらちらモーグリは、ようやくサルウーム・カシュを調べられると安心していた。			ちらちらモーグリに報告した。ちらちらモーグリは、ようやくサルウーム・カシュを調べられると安心していた。			幼虫発生中							
サルウーム・カシュでブロウイング・ワモーラ・カンパを討伐			サルウーム・カシュでブロウイング・ワモーラ・カンパを討伐			幼虫発生中							
ちらちらモーグリに報告			ちらちらモーグリに報告			幼虫発生中							
みんなで、ここの見学にきたくぽ。			みんなで、ここの見学にきたくぽ。			幼虫発生中							
とっても興味深いくぽ！あとでみんなと情報共有したいくぽ！			とっても興味深いくぽ！あとでみんなと情報共有したいくぽ！			幼虫発生中							
サルウーム・カシュを見てたら、見たことのない虫が、卵から出てきたクポ！3ヶ所で見たから、全部駆除してほしいくぽ！			サルウーム・カシュを見てたら、見たことのない虫が、卵から出てきたクポ！3ヶ所で見たから、全部駆除してほしいくぽ！			幼虫発生中							
サルウーム・カシュを見てたら、見たことのない虫が、卵から出てきたクポ！3ヶ所で見たから、全部駆除してほしいくぽ！			サルウーム・カシュを見てたら、見たことのない虫が、卵から出てきたクポ！3ヶ所で見たから、全部駆除してほしいくぽ！			幼虫発生中							
みんなで、ここの見学にきたくぽ。			みんなで、ここの見学にきたくぽ。			幼虫発生中							
とっても興味深いくぽ！あとでみんなと情報共有したいくぽ！			とっても興味深いくぽ！あとでみんなと情報共有したいくぽ！			幼虫発生中							
みんなで、ここの見学にきたくぽ。			みんなで、ここの見学にきたくぽ。			幼虫発生中							
とっても興味深いくぽ！あとでみんなと情報共有したいくぽ！			とっても興味深いくぽ！あとでみんなと情報共有したいくぽ！			幼虫発生中							
あの気持ち悪い虫を駆除してくれたくぽ？ありがとうくぽ！これで安心してサルウーム・カシュを調べられるくぽ！			あの気持ち悪い虫を駆除してくれたくぽ？ありがとうくぽ！これで安心してサルウーム・カシュを調べられるくぽ！			幼虫発生中							
サルウーム・カシュのじろじろモーグリは、怯えているようだ。			サルウーム・カシュのじろじろモーグリは、怯えているようだ。			大蛾の産卵地							
じろじろモーグリは遺跡の見学中に、卵を産んでいる魔物を見て怯えていた。サルウーム・カシュで「ブロウイング・ワモーラ」を3体討伐しよう。			じろじろモーグリは遺跡の見学中に、卵を産んでいる魔物を見て怯えていた。サルウーム・カシュで「ブロウイング・ワモーラ」を3体討伐しよう。			大蛾の産卵地							
ブロウイング・ワモーラを討伐した。サルウーム・カシュの「じろじろモーグリ」に報告しよう。			ブロウイング・ワモーラを討伐した。サルウーム・カシュの「じろじろモーグリ」に報告しよう。			大蛾の産卵地							
じろじろモーグリに報告した。サルウーム・カシュは、かつて人がいた時代の遺跡らしい。			じろじろモーグリに報告した。サルウーム・カシュは、かつて人がいた時代の遺跡らしい。			大蛾の産卵地							
サルウーム・カシュでブロウイング・ワモーラを討伐			サルウーム・カシュでブロウイング・ワモーラを討伐			大蛾の産卵地							
