流星の間のグリダニアの駐在武官は、冒険者に話があるようだ。			流星の間のグリダニアの駐在武官は、冒険者に話があるようだ。			死に鎖された森							
とはいえ、いつか私が幻術皇を退くことになったら……。			とはいえ、いつか私が幻術皇を退くことになったら……。			開かれた道の先へ							
結婚を考えてみても良いかもしれませんね！			結婚を考えてみても良いかもしれませんね！			開かれた道の先へ							
私は、此度のことで確信いたしました。精霊と人と、そして角尊が相互に支え合っているかぎり、この国は、どんな難局も必ずや乗り越えられるでしょう。			私は、此度のことで確信いたしました。精霊と人と、そして角尊が相互に支え合っているかぎり、この国は、どんな難局も必ずや乗り越えられるでしょう。			開かれた道の先へ							
ですから、これからも変わらず、私を皆さんとともに、歩ませてください。			ですから、これからも変わらず、私を皆さんとともに、歩ませてください。			開かれた道の先へ							
英雄殿、我々には国内の事後処理がありますので、誠に恐縮ですが、ラザハンの流星の間の、「グリダニアの駐在武官」に、討伐完了報告をお願いできますか？			英雄殿、我々には国内の事後処理がありますので、誠に恐縮ですが、ラザハンの流星の間の、「グリダニアの駐在武官」に、討伐完了報告をお願いできますか？			開かれた道の先へ							
ありがとうございます！あなたの旅に、精霊の加護があらんことを。			ありがとうございます！あなたの旅に、精霊の加護があらんことを。			開かれた道の先へ							
誠に恐縮ですが、ラザハンの流星の間の、「グリダニアの駐在武官」に、討伐完了報告をお願いいたします。			誠に恐縮ですが、ラザハンの流星の間の、「グリダニアの駐在武官」に、討伐完了報告をお願いいたします。			開かれた道の先へ							
おお、貴殿か。よくぞ戻られた。			おお、貴殿か。よくぞ戻られた。			開かれた道の先へ							
カヌ・エ様とともに、グレイプニルを討伐した、と？それは大変喜ばしい報せだ！これでグリダニアを覆う絶望は、払われたのだな！			カヌ・エ様とともに、グレイプニルを討伐した、と？それは大変喜ばしい報せだ！これでグリダニアを覆う絶望は、払われたのだな！			開かれた道の先へ							
さっそく他国にも情報共有しておこう。改めて、貴殿の協力に感謝を！			さっそく他国にも情報共有しておこう。改めて、貴殿の協力に感謝を！			開かれた道の先へ							
TANKジョブ向け「レベル90ジョブ専用装備」の、染色が可能になりました。			TANKジョブ向け「レベル90ジョブ専用装備」の、染色が可能になりました。			開かれた道の先へ							
「レベル90ジョブ専用装備」は、「メインクエスト：暁月のフィナーレ」を、特定の状態まで完了することで、入手できるようになります。			「レベル90ジョブ専用装備」は、「メインクエスト：暁月のフィナーレ」を、特定の状態まで完了することで、入手できるようになります。			開かれた道の先へ							
