鍛冶師ギルドのブリサエルは、日々穏やかに過ごしているようだ。			鍛冶師ギルドのブリサエルは、日々穏やかに過ごしているようだ。			直情娘、来たる							
……今のが、クズ鉄で刀を打ってもらいたい理由だ。私はここにおるから、完成したら持って来てくれ。			……今のが、クズ鉄で刀を打ってもらいたい理由だ。私はここにおるから、完成したら持って来てくれ。			直情娘、震える							
難題だろうが、なんなら他者に協力を募ってもいいぞ。侍や刀に詳しい鍛冶師が、ちょうど厄介になっているはず。どうせ、宿屋近くの高台で海でも眺めているだろう……。			難題だろうが、なんなら他者に協力を募ってもいいぞ。侍や刀に詳しい鍛冶師が、ちょうど厄介になっているはず。どうせ、宿屋近くの高台で海でも眺めているだろう……。			直情娘、震える							
……ただし、その鍛冶師「セッカ」と私の関係は詮索無用。聞いているとは思うが、私のことは絶対に話すではないぞ？			……ただし、その鍛冶師「セッカ」と私の関係は詮索無用。聞いているとは思うが、私のことは絶対に話すではないぞ？			直情娘、震える							
依頼人とは会えましたか？奇妙な依頼ではありますが、キミならきっと大丈夫ですよ！			依頼人とは会えましたか？奇妙な依頼ではありますが、キミならきっと大丈夫ですよ！			直情娘、震える							
先ほどのクズ鉄を材料に、「刀」を打ってもらえるか？東方の刀鍛冶「セッカ」に意見を募ってみるといい……。			先ほどのクズ鉄を材料に、「刀」を打ってもらえるか？東方の刀鍛冶「セッカ」に意見を募ってみるといい……。			直情娘、震える							
あら、Forename殿。何か御用でしょうか……？			あら、Forename殿。何か御用でしょうか……？			直情娘、震える							
……えっ！？　この錆びだらけのクズ鉄で刀を作れと？誰です、そんな無体な依頼を出したのは。			……えっ！？　この錆びだらけのクズ鉄で刀を作れと？誰です、そんな無体な依頼を出したのは。			直情娘、震える							
依頼人の秘密を守る？			依頼人の秘密を守る？			直情娘、震える							
……はあ、言えないのですか。まあ、依頼人の意向ならば仕方ありませんね。			……はあ、言えないのですか。まあ、依頼人の意向ならば仕方ありませんね。			直情娘、震える							
ひんがしの国から来た初老の男……？刀……初老の男……まさか……。……いえ、そんなはずありません、ね。			ひんがしの国から来た初老の男……？刀……初老の男……まさか……。……いえ、そんなはずありません、ね。			直情娘、震える							
……しかし、厄介な依頼ですね。このクズ鉄には、不純物がかなり含まれているので、強度の面で不安があります。			……しかし、厄介な依頼ですね。このクズ鉄には、不純物がかなり含まれているので、強度の面で不安があります。			直情娘、震える							
打った刀が、折れたり曲がったりしては元も子もありません。あまり研ぎすぎずに、頑丈さに主眼をおいた、「太身の打刀」を打つといいでしょう。			打った刀が、折れたり曲がったりしては元も子もありません。あまり研ぎすぎずに、頑丈さに主眼をおいた、「太身の打刀」を打つといいでしょう。			直情娘、震える							
この「錆だらけのクズ鉄」も、量だけは相当にあります。作業の邪魔にならないよう、私が持っていますから、あなたはどうぞ、刀の製作に全力をお注ぎください。			この「錆だらけのクズ鉄」も、量だけは相当にあります。作業の邪魔にならないよう、私が持っていますから、あなたはどうぞ、刀の製作に全力をお注ぎください。			直情娘、震える							
「錆だらけのクズ鉄」がご入用ですか？粗雑な素材で苦労してらっしゃるでしょうが、がんばってください。			「錆だらけのクズ鉄」がご入用ですか？粗雑な素材で苦労してらっしゃるでしょうが、がんばってください。			直情娘、震える							
……本当に、素晴らしい腕前をお持ちなのですね。あの素材から、これだけの刀を打ってのけるとは……。さ、依頼人の方へお届けなさいませ。			……本当に、素晴らしい腕前をお持ちなのですね。あの素材から、これだけの刀を打ってのけるとは……。さ、依頼人の方へお届けなさいませ。			直情娘、震える							
……依頼の品はできたか？			……依頼の品はできたか？			直情娘、震える							
……荒削りな刀だな。出来栄えも、東方の名工たちには到底及ばぬ。			……荒削りな刀だな。出来栄えも、東方の名工たちには到底及ばぬ。			直情娘、震える							
……だが、それは並の素材を用いた場合の評価だ。あの錆びだらけのクズ鉄で、これだけの刀を打ったのだとすれば、そなたの実際の腕前は、遥かに上か……。			……だが、それは並の素材を用いた場合の評価だ。あの錆びだらけのクズ鉄で、これだけの刀を打ったのだとすれば、そなたの実際の腕前は、遥かに上か……。			直情娘、震える							
