不語仙の座卓のカヌ・エ・センナは、今後の方針について考えているようだ。			不語仙の座卓のカヌ・エ・センナは、今後の方針について考えているようだ。			黎明の死闘							
こういうときは、本気で喚いて、取り乱して……それを仲間たちに止められるくらいがちょうどいい。さあ、アルフィノを落ち着かせてやってくれ。			こういうときは、本気で喚いて、取り乱して……それを仲間たちに止められるくらいがちょうどいい。さあ、アルフィノを落ち着かせてやってくれ。			戦いと犠牲							
どうか、容態だけでも……！！			どうか、容態だけでも……！！			戦いと犠牲							
私のことよりも、あのやかましいガキをどうにかしろ。中では、負傷者の治療が続いているんだ……。			私のことよりも、あのやかましいガキをどうにかしろ。中では、負傷者の治療が続いているんだ……。			戦いと犠牲							
あっ！　あなたも、白銀の鎧のお方を？彼は、ダミエリオー先生が診ておられますので、今はここでお待ちください！			あっ！　あなたも、白銀の鎧のお方を？彼は、ダミエリオー先生が診ておられますので、今はここでお待ちください！			戦いと犠牲							
だが、容態だけでもお聞かせ願えないだろうか？彼は私の大切な仲間で……友人なんだ……！			だが、容態だけでもお聞かせ願えないだろうか？彼は私の大切な仲間で……友人なんだ……！			戦いと犠牲							
何と言う？			何と言う？			戦いと犠牲							
気持ちはわかるが、落ち着け			気持ちはわかるが、落ち着け			戦いと犠牲							
治療が終わるのを待とう			治療が終わるのを待とう			戦いと犠牲							
……そうだね……すまない、私としたことが。決して邪魔にならないようにするから、このまま、ここにいさせてくれ……。			……そうだね……すまない、私としたことが。決して邪魔にならないようにするから、このまま、ここにいさせてくれ……。			戦いと犠牲							
…………治療が終わるのを、待とう。			…………治療が終わるのを、待とう。			戦いと犠牲							
あの目つきが悪い女……あいつも、かなりの辛酸を嘗めてきたんだろう？愛する者を奪われ、誰かを恨んだことがある……そんな目だ。			あの目つきが悪い女……あいつも、かなりの辛酸を嘗めてきたんだろう？愛する者を奪われ、誰かを恨んだことがある……そんな目だ。			戦いと犠牲							
……ここで、立ち尽くしていても仕方ないね。報告も任せきりになってしまったし、皆と合流しなければ……。			……ここで、立ち尽くしていても仕方ないね。報告も任せきりになってしまったし、皆と合流しなければ……。			戦いと犠牲							
