流星の間のアラミゴの駐在武官は、冒険者に話があるようだ。			流星の間のアラミゴの駐在武官は、冒険者に話があるようだ。			自由が生みしアラミゴの獣							
そうやって少しずつ、少しずつ……皆が手を取り合えるアラミゴを、一緒に作っていきたいんだ。			そうやって少しずつ、少しずつ……皆が手を取り合えるアラミゴを、一緒に作っていきたいんだ。			それぞれの立場、それぞれの責任							
代表者たちへの案内を手伝ってくれたこと、吾輩からも礼を言わせてくれ。			代表者たちへの案内を手伝ってくれたこと、吾輩からも礼を言わせてくれ。			それぞれの立場、それぞれの責任							
それから、アレンヴァルドのおかげで、「慰霊祭」は開催に向けて動きだすことになるだろう。まだ納得していない者にも、根気強く対話を試みるそうだ。			それから、アレンヴァルドのおかげで、「慰霊祭」は開催に向けて動きだすことになるだろう。まだ納得していない者にも、根気強く対話を試みるそうだ。			それぞれの立場、それぞれの責任							
今すぐに開催とはいかずとも、皆が同じ方向を向き、互いを理解するきっかけとなるだろう。そしてこの一歩こそが、遺族らを照らす希望の光となることを祈る。			今すぐに開催とはいかずとも、皆が同じ方向を向き、互いを理解するきっかけとなるだろう。そしてこの一歩こそが、遺族らを照らす希望の光となることを祈る。			それぞれの立場、それぞれの責任							
実はな……先日、アラガーナで救われた親子が、恩人に礼をしたいと、フォルドラに面会を求めてきたそうだ。これもまた、吾輩にはひとつの希望に思える。			実はな……先日、アラガーナで救われた親子が、恩人に礼をしたいと、フォルドラに面会を求めてきたそうだ。これもまた、吾輩にはひとつの希望に思える。			それぞれの立場、それぞれの責任							
国を内から変える動きが、にわかに生じつつあるということだ。残るは、偽神獣の討伐……。動きがあればこちらから連絡するので、引き続きよろしく頼むぞ。			国を内から変える動きが、にわかに生じつつあるということだ。残るは、偽神獣の討伐……。動きがあればこちらから連絡するので、引き続きよろしく頼むぞ。			それぞれの立場、それぞれの責任							
代表者の人たちがぞろぞろ集まってきたので、ちょっと緊張してしまいました！			代表者の人たちがぞろぞろ集まってきたので、ちょっと緊張してしまいました！			それぞれの立場、それぞれの責任							
アラミガン・クォーターの偽神獣対策部隊の闘士は、慌てているようだ。			アラミガン・クォーターの偽神獣対策部隊の闘士は、慌てているようだ。			旅立った仲間たちと共に							
偽神獣対策部隊の闘士と話した。フォルドラが訓練の最中に、ひとりでどこかへ消えてしまったようだ。ギラバニア山岳地帯のアラガーナで「ラウバーン」と話そう。			偽神獣対策部隊の闘士と話した。フォルドラが訓練の最中に、ひとりでどこかへ消えてしまったようだ。ギラバニア山岳地帯のアラガーナで「ラウバーン」と話そう。			旅立った仲間たちと共に							
アラガーナで、先日フォルドラの面会に来たという親子から話を聞いた。偽神獣と化した、チャーレットという名の青年は、髑髏連隊の関係者だったようだ。詳しい話を聞くため、アラガーナで「ラガンフリッド」と話そう。			アラガーナで、先日フォルドラの面会に来たという親子から話を聞いた。偽神獣と化した、チャーレットという名の青年は、髑髏連隊の関係者だったようだ。詳しい話を聞くため、アラガーナで「ラガンフリッド」と話そう。			旅立った仲間たちと共に							
