再会の市のアダルキム族の男は、腕の立つ武人を探しているようだ。			再会の市のアダルキム族の男は、腕の立つ武人を探しているようだ。			アダルキムの後継者							
玉座の周辺に置かれた5カ所の巨石に、その「オロニル族の乳酒」を撒くのだ。己が成し遂げたい野望を、心の中で唱えながらな。			玉座の周辺に置かれた5カ所の巨石に、その「オロニル族の乳酒」を撒くのだ。己が成し遂げたい野望を、心の中で唱えながらな。			アジムの御心							
ふむ。その様子だと、儀式を終えてきたようだな。			ふむ。その様子だと、儀式を終えてきたようだな。			アジムの御心							
あの巨石は、「アジムの指」といい、太陽神の象徴である。我らは試練の後、その指へ乳酒を捧げ、野望を伝えることで、神への誓いを立てるのだ。			あの巨石は、「アジムの指」といい、太陽神の象徴である。我らは試練の後、その指へ乳酒を捧げ、野望を伝えることで、神への誓いを立てるのだ。			アジムの御心							
己が望みに相応しいだけの研鑽を積み、アジムの御心に適ったならば、野望は果たされる。儀式には、このような趣旨があるのだ。			己が望みに相応しいだけの研鑽を積み、アジムの御心に適ったならば、野望は果たされる。儀式には、このような趣旨があるのだ。			アジムの御心							
異国の戦士よ、そなたが何を願ったかは聞かぬ。その望みを叶えるため、これからも鍛錬に励むがよい。太陽神アジムも、そなたの成長を楽しみにしておられよう。			異国の戦士よ、そなたが何を願ったかは聞かぬ。その望みを叶えるため、これからも鍛錬に励むがよい。太陽神アジムも、そなたの成長を楽しみにしておられよう。			アジムの御心							
明けの玉座のグユグは、腕の立つ者に頼みたい仕事があるようだ。			明けの玉座のグユグは、腕の立つ者に頼みたい仕事があるようだ。			神の子の責務							
オロニル族の外灯にオロニル族の灯油を使う			オロニル族の外灯にオロニル族の灯油を使う			神の子の責務							
グユグに報告			グユグに報告			神の子の責務							
そこのアンタ、腕に自信ありって顔してるな。なら、ちょっとばかり仕事を頼みたいが、いいよな？			そこのアンタ、腕に自信ありって顔してるな。なら、ちょっとばかり仕事を頼みたいが、いいよな？			神の子の責務							
草原の各所に、道を照らす外灯があるだろ？俺は、相棒と一緒に、その保守と整備をしてるんだ。			草原の各所に、道を照らす外灯があるだろ？俺は、相棒と一緒に、その保守と整備をしてるんだ。			神の子の責務							
明かりにつられて寄ってくる獣がいるから、定期的に見回って、ついでに燃料を足してるってわけだ。			明かりにつられて寄ってくる獣がいるから、定期的に見回って、ついでに燃料を足してるってわけだ。			神の子の責務							
だが相棒が、落馬なんていう、ありえないヘマをしちまってな。俺ひとりで回るには範囲が広いから、手伝いを探してたんだ。襲われる危険もある仕事だが、アンタなら大丈夫だろう。			だが相棒が、落馬なんていう、ありえないヘマをしちまってな。俺ひとりで回るには範囲が広いから、手伝いを探してたんだ。襲われる危険もある仕事だが、アンタなら大丈夫だろう。			神の子の責務							
それじゃ、「オロニル族の外灯」を5カ所ほど巡回して、「オロニル族の灯油」の補充を頼むよ。			それじゃ、「オロニル族の外灯」を5カ所ほど巡回して、「オロニル族の灯油」の補充を頼むよ。			神の子の責務							
「オロニル族の外灯」を5カ所ほど巡回して、「オロニル族の灯油」の補充を頼むよ。			「オロニル族の外灯」を5カ所ほど巡回して、「オロニル族の灯油」の補充を頼むよ。			神の子の責務							
終わったみたいだな。これでしばらくの間だが、安全になっただろう。			終わったみたいだな。これでしばらくの間だが、安全になっただろう。			神の子の責務							
太陽神の加護のない夜、炎は迷い人の光となる。その炎を絶やさず守り続けることが、俺に課せられた責務なのさ。			太陽神の加護のない夜、炎は迷い人の光となる。その炎を絶やさず守り続けることが、俺に課せられた責務なのさ。			神の子の責務							
