裁縫師ギルドのレドレント・ローズは、素敵な誘いがあるようだ。			裁縫師ギルドのレドレント・ローズは、素敵な誘いがあるようだ。			老舗呉服店「大天屋」どす							
芸子となって日の浅いコトチョウが選ばれるなど、花街の歴史始まって以来の快挙とすら、言えるでしょう。確実に、コトチョウの羽ばたきで花街が変わっています！			芸子となって日の浅いコトチョウが選ばれるなど、花街の歴史始まって以来の快挙とすら、言えるでしょう。確実に、コトチョウの羽ばたきで花街が変わっています！			花咲く季節の「どれす」どす							
こうなったら、晴れ舞台に相応しい衣装を贈らねば！もちろん、製作は貴方以外にはありえません！！			こうなったら、晴れ舞台に相応しい衣装を贈らねば！もちろん、製作は貴方以外にはありえません！！			花咲く季節の「どれす」どす							
まずは「コトチョウ」本人から、衣装の要望を聞いてみてください。彼女は、三条花街にいるはずです。			まずは「コトチョウ」本人から、衣装の要望を聞いてみてください。彼女は、三条花街にいるはずです。			花咲く季節の「どれす」どす							
コトチョウの晴れ舞台に相応しい新しいドレスを贈らなければ！衣装の要望は、「コトチョウ」本人から聞いてみてください。彼女は、三条花街にいるはずです。			コトチョウの晴れ舞台に相応しい新しいドレスを贈らなければ！衣装の要望は、「コトチョウ」本人から聞いてみてください。彼女は、三条花街にいるはずです。			花咲く季節の「どれす」どす							
Forenameはん、また会えて、うれしおすわ。仕立ててもろた「ばっするどれす」のおかげさんで、毎晩、御座敷に呼ばれて、大忙しどす。			Forenameはん、また会えて、うれしおすわ。仕立ててもろた「ばっするどれす」のおかげさんで、毎晩、御座敷に呼ばれて、大忙しどす。			花咲く季節の「どれす」どす							
「開港をどり」で、異国の要人はんの目にとまれば、三条花街の頂点に立ついう夢に、また一歩近づきます。失敗は許されませんえ。			「開港をどり」で、異国の要人はんの目にとまれば、三条花街の頂点に立ついう夢に、また一歩近づきます。失敗は許されませんえ。			花咲く季節の「どれす」どす							
舞台は、いつもの座敷じゃのうて屋外どす。せやから、お天道さまの光に映える動きやすいんがええな。エオルゼアでは、どんなべべがありますやろか？			舞台は、いつもの座敷じゃのうて屋外どす。せやから、お天道さまの光に映える動きやすいんがええな。エオルゼアでは、どんなべべがありますやろか？			花咲く季節の「どれす」どす							
どんなドレスがいいか？			どんなドレスがいいか？			花咲く季節の「どれす」どす							
肩を露出したドレス			肩を露出したドレス			花咲く季節の「どれす」どす							
軽やかなドレス			軽やかなドレス			花咲く季節の「どれす」どす							
はあ～、なんだか花魁さんみたいなべべやろか？せやけど、エオルゼア風「どれす」なら目新しそうどすな。それは、なんていう名前ですのん？			はあ～、なんだか花魁さんみたいなべべやろか？せやけど、エオルゼア風「どれす」なら目新しそうどすな。それは、なんていう名前ですのん？			花咲く季節の「どれす」どす							
確かに「ばっするどれす」は、厚い生地を重ねて使うとるから、もっと軽やかな生地の方が、屋外でも動きやすいやろうな。それは、なんていう名前ですのん？			確かに「ばっするどれす」は、厚い生地を重ねて使うとるから、もっと軽やかな生地の方が、屋外でも動きやすいやろうな。それは、なんていう名前ですのん？			花咲く季節の「どれす」どす							
「すぷりんぐどれす」……いいますのん？春に咲く花のような、ふんわりしたべべなんて、見てるだけで心まで踊りだしたくなりますやろな。			「すぷりんぐどれす」……いいますのん？春に咲く花のような、ふんわりしたべべなんて、見てるだけで心まで踊りだしたくなりますやろな。			花咲く季節の「どれす」どす							
