カストルム・オリエンスの黒渦団の兵卒は、熟練の冒険者に協力を仰ぎたいようだ。			カストルム・オリエンスの黒渦団の兵卒は、熟練の冒険者に協力を仰ぎたいようだ。			軋む歯車							
パイクフォールズにいる「トレーサー・アントリオン」を3体倒し、彼らに、荒野での戦い方を説いてやってもらえるだろうか。			パイクフォールズにいる「トレーサー・アントリオン」を3体倒し、彼らに、荒野での戦い方を説いてやってもらえるだろうか。			冒険者に学べ							
パイクフォールズにいる「トレーサー・アントリオン」を3体倒し、新兵たちに、荒野での戦い方を説いてやってもらえるだろうか。			パイクフォールズにいる「トレーサー・アントリオン」を3体倒し、新兵たちに、荒野での戦い方を説いてやってもらえるだろうか。			冒険者に学べ							
はぁ……はぁ……。あんな魔物一匹倒せないで、森を守れるものか……！			はぁ……はぁ……。あんな魔物一匹倒せないで、森を守れるものか……！			冒険者に学べ							
「トレーサー・アントリオン」が、あんなに強いなんて……。			「トレーサー・アントリオン」が、あんなに強いなんて……。			冒険者に学べ							
[GC Rank]Surname[GC Rank]Surname[GC Rank]Surname殿、ですね。お会いできて光栄です。トレーサー・アントリオンとの戦いのお話、ぜひお聞かせください。			[GC Rank]Surname[GC Rank]Surname[GC Rank]Surname殿、ですね。お会いできて光栄です。トレーサー・アントリオンとの戦いのお話、ぜひお聞かせください。			冒険者に学べ							
何を話す？			何を話す？			冒険者に学べ							
硬い甲殻の隙間を狙う			硬い甲殻の隙間を狙う			冒険者に学べ							
適当にやれば勝てる			適当にやれば勝てる			冒険者に学べ							
硬い甲殻の隙間を狙う……ですか。戦いの最中に実践する自信はありませんが、弱音は吐けません。すぐにでも訓練に戻り、今のお話を活かしたいと思います。			硬い甲殻の隙間を狙う……ですか。戦いの最中に実践する自信はありませんが、弱音は吐けません。すぐにでも訓練に戻り、今のお話を活かしたいと思います。			冒険者に学べ							
さ……さすがは、歴戦の冒険者の言葉……。そこに至るまでに、相当の努力を積み重ねてきたのでしょう。すぐにでも訓練に戻り、少しでも追いつけるように頑張ります。			さ……さすがは、歴戦の冒険者の言葉……。そこに至るまでに、相当の努力を積み重ねてきたのでしょう。すぐにでも訓練に戻り、少しでも追いつけるように頑張ります。			冒険者に学べ							
……[GC Rank]Surname[GC Rank]Surname[GC Rank]Surname殿！お噂はかねがね……じゃなくて、お話は伺っております！本日はお日柄もよく、ご、ご教授を……いただきます！			……[GC Rank]Surname[GC Rank]Surname[GC Rank]Surname殿！お噂はかねがね……じゃなくて、お話は伺っております！本日はお日柄もよく、ご、ご教授を……いただきます！			冒険者に学べ							
何を話す？			何を話す？			冒険者に学べ							
攻撃を避けつつ当てる			攻撃を避けつつ当てる			冒険者に学べ							
気がついたら勝っていた			気がついたら勝っていた			冒険者に学べ							
さすが冒険者殿、参考になら……なるお話です。魔物の猛攻を避けながら、絶え間なく攻撃を続けるなんて、簡単に言ってしまうところに、感動です……！			さすが冒険者殿、参考になら……なるお話です。魔物の猛攻を避けながら、絶え間なく攻撃を続けるなんて、簡単に言ってしまうところに、感動です……！			冒険者に学べ							
さすが冒険者殿、参考になら……なるお話です。意識せずに、身体が動いてしまうってことですよね。それを、簡単に言ってしまうところに、感動です……！			さすが冒険者殿、参考になら……なるお話です。意識せずに、身体が動いてしまうってことですよね。それを、簡単に言ってしまうところに、感動です……！			冒険者に学べ							
