エーテライト・プラザ付近の使いのフビゴ族は、冒険者を探していたようだ。			エーテライト・プラザ付近の使いのフビゴ族は、冒険者を探していたようだ。			交わる世界							
でも、ちょっとぐらい寄り道したって構わねぇぜ。街を見て回れば、アルシャールが何か思い出すかもしれねぇしな。			でも、ちょっとぐらい寄り道したって構わねぇぜ。街を見て回れば、アルシャールが何か思い出すかもしれねぇしな。			異界「ヴァナ・ディール」							
同行者がまだ到着していない。近くまで迎えにいって、ともに目的地へ向かおう。			同行者がまだ到着していない。近くまで迎えにいって、ともに目的地へ向かおう。			異界「ヴァナ・ディール」							
何をする？			何をする？			異界「ヴァナ・ディール」							
話す			話す			異界「ヴァナ・ディール」							
同行状態を解除する			同行状態を解除する			異界「ヴァナ・ディール」							
「ゴーニトルクの宝浜」について話す			「ゴーニトルクの宝浜」について話す			異界「ヴァナ・ディール」							
「ベイサイド・ベヴィー」について話す			「ベイサイド・ベヴィー」について話す			異界「ヴァナ・ディール」							
「アルパカ」について話す			「アルパカ」について話す			異界「ヴァナ・ディール」							
キャンセル			キャンセル			異界「ヴァナ・ディール」							
当たり前だけど、ヴァナ・ディールじゃ見ない種族も多いな。でも、みんな仲良く暮らしてるのを見ると、ここが良い国だってことがわかるぜ。			当たり前だけど、ヴァナ・ディールじゃ見ない種族も多いな。でも、みんな仲良く暮らしてるのを見ると、ここが良い国だってことがわかるぜ。			異界「ヴァナ・ディール」							
こうして知らない街を歩いていると、気分が高揚してくるよ。記憶はなくとも、冒険者の気質が染みついているようだ。			こうして知らない街を歩いていると、気分が高揚してくるよ。記憶はなくとも、冒険者の気質が染みついているようだ。			異界「ヴァナ・ディール」							
同行状態を解除します。本当によろしいですか？			同行状態を解除します。本当によろしいですか？			異界「ヴァナ・ディール」							
おいっ、タコスはお預けか！？さっきの気球のとこに戻ってるから、早めに迎えに来てくれよ、頼むぜ……！！			おいっ、タコスはお預けか！？さっきの気球のとこに戻ってるから、早めに迎えに来てくれよ、頼むぜ……！！			異界「ヴァナ・ディール」							
そうか、プリッシュが飢え死にしないか気がかりだが……また都合が合うとき、気球発着場の辺りで合流しよう。			そうか、プリッシュが飢え死にしないか気がかりだが……また都合が合うとき、気球発着場の辺りで合流しよう。			異界「ヴァナ・ディール」							
さぁ、「タコスのチーちゃん」に行こうぜ！いい加減、腹ぺこで死にそうだ！			さぁ、「タコスのチーちゃん」に行こうぜ！いい加減、腹ぺこで死にそうだ！			異界「ヴァナ・ディール」							
目的地は「タコスのチーちゃん」だったね。すまないが、案内を頼むよ。			目的地は「タコスのチーちゃん」だったね。すまないが、案内を頼むよ。			異界「ヴァナ・ディール」							
俺の故郷も海に囲まれててさ。天気の良い日は結構眺めもよかったんだぜ。			俺の故郷も海に囲まれててさ。天気の良い日は結構眺めもよかったんだぜ。			異界「ヴァナ・ディール」							
でも、魔物や獣人と遭遇することもあるから、こんなに落ち着いて出歩くことはできねぇ。ちょっと羨ましいな。			でも、魔物や獣人と遭遇することもあるから、こんなに落ち着いて出歩くことはできねぇ。ちょっと羨ましいな。			異界「ヴァナ・ディール」							
砂浜を見ていると、ふと記憶が蘇るよ。			砂浜を見ていると、ふと記憶が蘇るよ。			異界「ヴァナ・ディール」							
とある老人から新たな戦い方について教えを受けるため、腹虫やふんどし、サレコウベを集めたことを。君も冒険者ならば、似たような経験があるだろう？			とある老人から新たな戦い方について教えを受けるため、腹虫やふんどし、サレコウベを集めたことを。君も冒険者ならば、似たような経験があるだろう？			異界「ヴァナ・ディール」							
