スカイスチール機工房のステファニヴィアンは、冒険者に頼みたいことがあるようだ。			スカイスチール機工房のステファニヴィアンは、冒険者に頼みたいことがあるようだ。			師を選ばば冒険者							
ロスティンスタルから、銃の扱いについて説明を受けた。演習を受けるために、ニーム浮遊遺跡付近の「ロスティンスタル」と話そう。			ロスティンスタルから、銃の扱いについて説明を受けた。演習を受けるために、ニーム浮遊遺跡付近の「ロスティンスタル」と話そう。			指南役の試練							
ロスティンスタルの演習を終えて、彼を引き留めることができた。イシュガルドのスカイスチール機工房の「ステファニヴィアン」と話そう。			ロスティンスタルの演習を終えて、彼を引き留めることができた。イシュガルドのスカイスチール機工房の「ステファニヴィアン」と話そう。			指南役の試練							
ステファニヴィアンと話した。実戦で「銃」を使用して、機工士の腕を磨こう。※機工士のレベルが35以上になると、スカイスチール機工房のステファニヴィアンから次の機工士クエストを受注することができます。			ステファニヴィアンと話した。実戦で「銃」を使用して、機工士の腕を磨こう。※機工士のレベルが35以上になると、スカイスチール機工房のステファニヴィアンから次の機工士クエストを受注することができます。			指南役の試練							
ロスティンスタルと話す			ロスティンスタルと話す			指南役の試練							
スカイスチール機工房のステファニヴィアンと話す			スカイスチール機工房のステファニヴィアンと話す			指南役の試練							
……はじめて銃を持ったにしちゃ、サマになってるな。だが、実戦にでりゃ、すぐに化けの皮がはがれるぞ。その前に、ひとまず基本を軽く説明しておこう。			……はじめて銃を持ったにしちゃ、サマになってるな。だが、実戦にでりゃ、すぐに化けの皮がはがれるぞ。その前に、ひとまず基本を軽く説明しておこう。			指南役の試練							
狙いをつけ、引き金を絞り、銃弾を放つ。この「ショット」が「銃」による攻撃の要となる。			狙いをつけ、引き金を絞り、銃弾を放つ。この「ショット」が「銃」による攻撃の要となる。			指南役の試練							
それから、腰につけた「機工兵装」には、装備者の魔力を雷属性の力に変換する機能がある。現在開発中の「機工兵器」の起動に用いる計画だ。			それから、腰につけた「機工兵装」には、装備者の魔力を雷属性の力に変換する機能がある。現在開発中の「機工兵器」の起動に用いる計画だ。			指南役の試練							
……あぁ、それから「機工士の証」を身につけるのも忘れるなよ。ソウルクリスタルを参考に、俺が開発した「証」は、魔力を雷属性の力に変換する要になるからね。			……あぁ、それから「機工士の証」を身につけるのも忘れるなよ。ソウルクリスタルを参考に、俺が開発した「証」は、魔力を雷属性の力に変換する要になるからね。			指南役の試練							
機工士、レベル30までのアクションを修得済みです。メインコマンドの「アクションリスト」から、使用できるアクションを確認してみましょう。			機工士、レベル30までのアクションを修得済みです。メインコマンドの「アクションリスト」から、使用できるアクションを確認してみましょう。			指南役の試練							
……基本的な戦い方は以上だ。お前には、ちょっとした演習を受けてもらう。ついてこい……逃げ出すなら今のうちだがな。			……基本的な戦い方は以上だ。お前には、ちょっとした演習を受けてもらう。ついてこい……逃げ出すなら今のうちだがな。			指南役の試練							
指南役を連れ戻してくれよ……。			指南役を連れ戻してくれよ……。			指南役の試練							
ぼっちゃまは、「スカイスチール機工房」を、何よりも大切に考えられています。ぼっちゃまのためにも、がんばってください。			ぼっちゃまは、「スカイスチール機工房」を、何よりも大切に考えられています。ぼっちゃまのためにも、がんばってください。			指南役の試練							
お手並み拝見といこうじゃないか……。ルールは簡単、ここから隠者の庵に移動しながら、指示した敵を片付ければいい。			お手並み拝見といこうじゃないか……。ルールは簡単、ここから隠者の庵に移動しながら、指示した敵を片付ければいい。			指南役の試練							
(-ステファニヴィアン-)俺は、演習の終着点で待ってるぞ。Forename、腕前を見せつけて、指南役を工房に連れ戻してくれよ。			(-ステファニヴィアン-)俺は、演習の終着点で待ってるぞ。Forename、腕前を見せつけて、指南役を工房に連れ戻してくれよ。			指南役の試練							
バサルトゴーレムを3体倒せ！			バサルトゴーレムを3体倒せ！			指南役の試練							
トレーニングボムを3体倒せ！			トレーニングボムを3体倒せ！			指南役の試練							
ドサイル・ミアキスとドサイル・タイガーを2匹ずつ倒せ！			ドサイル・ミアキスとドサイル・タイガーを2匹ずつ倒せ！			指南役の試練							
