シャバーブチェのローデニケは、不安げな表情を浮かべている。			シャバーブチェのローデニケは、不安げな表情を浮かべている。			根雪に包まれて							
イシュガルドのローデニケに燦々と輝くダンデライオンと熟成されたモルボルの唾液を渡す			イシュガルドのローデニケに燦々と輝くダンデライオンと熟成されたモルボルの唾液を渡す			夢に見た光景							
テントーワと話す			テントーワと話す			夢に見た光景							
レオフィーヌの足取りはまだ掴めておりません。不穏分子どもを利用し、地下に身を潜めているのかと……。			レオフィーヌの足取りはまだ掴めておりません。不穏分子どもを利用し、地下に身を潜めているのかと……。			夢に見た光景							
ヤツが口にしていたという、「本番」のことも気になります。近く、大規模な襲撃があるかもしれませんね。			ヤツが口にしていたという、「本番」のことも気になります。近く、大規模な襲撃があるかもしれませんね。			夢に見た光景							
それまでに、テントーワ殿が目覚めると良いのですが……。			それまでに、テントーワ殿が目覚めると良いのですが……。			夢に見た光景							
(-聞き覚えのある声-)あっ、Forename！			(-聞き覚えのある声-)あっ、Forename！			夢に見た光景							
見つかってよかった～！イッカクの導きに、感謝を！			見つかってよかった～！イッカクの導きに、感謝を！			夢に見た光景							
おや、あなたは……服装から察するに、テントーワ殿と同郷の方ですね？			おや、あなたは……服装から察するに、テントーワ殿と同郷の方ですね？			夢に見た光景							
私は神殿騎士団のフィルマルベル、以後お見知りおきを。			私は神殿騎士団のフィルマルベル、以後お見知りおきを。			夢に見た光景							
ああ、テントーワからの手紙に書いてあった人！ワタシはローデニケ、よろしくね！			ああ、テントーワからの手紙に書いてあった人！ワタシはローデニケ、よろしくね！			夢に見た光景							
それで、テントーワはどこにいるのかな？手紙が途絶えたから、彼に何かあったのかと思って、いてもたってもいられなくなっちゃって……。			それで、テントーワはどこにいるのかな？手紙が途絶えたから、彼に何かあったのかと思って、いてもたってもいられなくなっちゃって……。			夢に見た光景							
もう、馬鹿テントーワ！あんなに威勢よく飛び出していったくせに、どうしてこんなところで寝てるんだよ。			もう、馬鹿テントーワ！あんなに威勢よく飛び出していったくせに、どうしてこんなところで寝てるんだよ。			夢に見た光景							
手紙、マメに送るって約束したでしょう。急に途絶えたら、心配するじゃない。			手紙、マメに送るって約束したでしょう。急に途絶えたら、心配するじゃない。			夢に見た光景							
……ホントに、心配したんだよ。			……ホントに、心配したんだよ。			夢に見た光景							
ケガひとつしてないのは、キミが護ってくれたおかげだね。ありがとう、Forename。			ケガひとつしてないのは、キミが護ってくれたおかげだね。ありがとう、Forename。			夢に見た光景							
何と言う？			何と言う？			夢に見た光景							
祭器の力は防げないのか？			祭器の力は防げないのか？			夢に見た光景							
キミは「眠り子」だと聞いた			キミは「眠り子」だと聞いた			夢に見た光景							
それは、眠るのをガマンできるかって質問と同じ。食事と違って、睡眠は自分の意志で拒めないよ。			それは、眠るのをガマンできるかって質問と同じ。食事と違って、睡眠は自分の意志で拒めないよ。			夢に見た光景							
加えて、深い眠りに就いてるときには、身体を動かすどころか、起きようって思うことさえできない。ココロの強さでどうにかなるものじゃないんだ……。			加えて、深い眠りに就いてるときには、身体を動かすどころか、起きようって思うことさえできない。ココロの強さでどうにかなるものじゃないんだ……。			夢に見た光景							
