キャンプ・クラウドトップのカリボーは、畑の世話をしながら手隙の者を探している。			キャンプ・クラウドトップのカリボーは、畑の世話をしながら手隙の者を探している。			一石二鳥の鳥退治							
飛空艇で物資を輸送するのは、金がかかるんだ。生鮮食品を、その都度運んでいたんじゃ、いくら金があっても足りないぞ！			飛空艇で物資を輸送するのは、金がかかるんだ。生鮮食品を、その都度運んでいたんじゃ、いくら金があっても足りないぞ！			雲海の騎兵と届かぬ熱意							
不味い保存食が嫌なら、自分で食料を調達してくれ。目端の利く奴は、とっくにそうしている。			不味い保存食が嫌なら、自分で食料を調達してくれ。目端の利く奴は、とっくにそうしている。			雲海の騎兵と届かぬ熱意							
……大飯喰らいのギルドンのことだ、どうせ配給の飯じゃ足りず、小腹が減っているだけだろうよ。だが、貴重な備蓄を分けあたえるわけにはいかなくてね。			……大飯喰らいのギルドンのことだ、どうせ配給の飯じゃ足りず、小腹が減っているだけだろうよ。だが、貴重な備蓄を分けあたえるわけにはいかなくてね。			雲海の騎兵と届かぬ熱意							
悪いんだが、「クラウドトップ」に生えている、「クラウドマッシュルーム」を採って、ギルドンに渡してくれないか？それであいつも、おとなしくなるはずさ。			悪いんだが、「クラウドトップ」に生えている、「クラウドマッシュルーム」を採って、ギルドンに渡してくれないか？それであいつも、おとなしくなるはずさ。			雲海の騎兵と届かぬ熱意							
悪いんだが、「クラウドトップ」に生えている、「クラウドマッシュルーム」を採って、ギルドンに渡してくれないか？それであいつも、おとなしくなるはずさ。			悪いんだが、「クラウドトップ」に生えている、「クラウドマッシュルーム」を採って、ギルドンに渡してくれないか？それであいつも、おとなしくなるはずさ。			雲海の騎兵と届かぬ熱意							
どうだ、ファブルレー殿は説得できた～か！？			どうだ、ファブルレー殿は説得できた～か！？			雲海の騎兵と届かぬ熱意							
これは……クラウドマッシュルーム？身がまるまるとしていて、とても美味そうな逸品！……しかし、なぜこれ～を！？			これは……クラウドマッシュルーム？身がまるまるとしていて、とても美味そうな逸品！……しかし、なぜこれ～を！？			雲海の騎兵と届かぬ熱意							
う、うぬ～っ！自分は真面目にこの地の未来を憂いているのに、それを「空腹による八つ当たり」だと思われているの～か！			う、うぬ～っ！自分は真面目にこの地の未来を憂いているのに、それを「空腹による八つ当たり」だと思われているの～か！			雲海の騎兵と届かぬ熱意							
まぁ……確かに腹は減っていたのでキノコはいただこう！しかし、ファブルレー殿は頼りにならんとわかった！別の手を考えなくてはなら～ん！			まぁ……確かに腹は減っていたのでキノコはいただこう！しかし、ファブルレー殿は頼りにならんとわかった！別の手を考えなくてはなら～ん！			雲海の騎兵と届かぬ熱意							
うむ、このキノコ、焼こうかな、蒸そうかな……。って、その手を考えるのでは、な～い！！			うむ、このキノコ、焼こうかな、蒸そうかな……。って、その手を考えるのでは、な～い！！			雲海の騎兵と届かぬ熱意							
オク・ズンドのサヌバヌは、面造りに必要な素材を取ってきてくれる人を探しているようだ。			オク・ズンドのサヌバヌは、面造りに必要な素材を取ってきてくれる人を探しているようだ。			神域浮島 ネバーリープ							
サヌバヌに、ワウッケオンの鱗を持ってくるよう頼まれた。アバラシア雲海のネバーリープ付近にいる「トヌバヌ」と話そう。			サヌバヌに、ワウッケオンの鱗を持ってくるよう頼まれた。アバラシア雲海のネバーリープ付近にいる「トヌバヌ」と話そう。			神域浮島 ネバーリープ							
ネバーリープに入れるようになった。「神域浮島 ネバーリープ」を攻略しよう。※コンテンツファインダーから攻略に参加できます。			ネバーリープに入れるようになった。「神域浮島 ネバーリープ」を攻略しよう。※コンテンツファインダーから攻略に参加できます。			神域浮島 ネバーリープ							
ネバーリープに赴き、ワウッケオンの鱗を入手した。オク・ズンドの「サヌバヌ」に「ワウッケオンの鱗」を渡そう。			ネバーリープに赴き、ワウッケオンの鱗を入手した。オク・ズンドの「サヌバヌ」に「ワウッケオンの鱗」を渡そう。			神域浮島 ネバーリープ							
サヌバヌに、ワウッケオンの鱗を渡した。おかげで長老さまの威厳が保たれると、喜んでいた。			サヌバヌに、ワウッケオンの鱗を渡した。おかげで長老さまの威厳が保たれると、喜んでいた。			神域浮島 ネバーリープ							
トヌバヌと話す			トヌバヌと話す			神域浮島 ネバーリープ							
「神域浮島 ネバーリープ」を攻略			「神域浮島 ネバーリープ」を攻略			神域浮島 ネバーリープ							
オク・ズンドのサヌバヌにワウッケオンの鱗を渡す			オク・ズンドのサヌバヌにワウッケオンの鱗を渡す			神域浮島 ネバーリープ							
