双剣士ギルドのジャックは、「黒の棺」の奪還に乗り出すようだ。			双剣士ギルドのジャックは、「黒の棺」の奪還に乗り出すようだ。			手を伸ばす先の勝利							
メルウィブ提督が海賊行為を禁止したとき、彼らの大半は陸に上がる道を選んだけど……それを拒否して、離反したのが「闘犬一家」って聞いてる。			メルウィブ提督が海賊行為を禁止したとき、彼らの大半は陸に上がる道を選んだけど……それを拒否して、離反したのが「闘犬一家」って聞いてる。			果てに消えた星							
待ってましたよ、Forename！ヴァ・ケビの言うとおり、この関門で、輸送船の積み荷が見つかったようです。			待ってましたよ、Forename！ヴァ・ケビの言うとおり、この関門で、輸送船の積み荷が見つかったようです。			果てに消えた星							
警備兵の話をこっそり聞かせてもらったところ、積み荷は、関門を通ろうとした行商人が持っていたとか……。			警備兵の話をこっそり聞かせてもらったところ、積み荷は、関門を通ろうとした行商人が持っていたとか……。			果てに消えた星							
その行商人は連行されたそうですが、押収された積み荷はまだ、ここで検分を受けてるようです。			その行商人は連行されたそうですが、押収された積み荷はまだ、ここで検分を受けてるようです。			果てに消えた星							
……とはいえ、勝負中ですし、正面から状況は聞けません。「かくれ」ながら検分中のイエロージャケットに近づいて、「秘宝」の有無を確認してくれますか？			……とはいえ、勝負中ですし、正面から状況は聞けません。「かくれ」ながら検分中のイエロージャケットに近づいて、「秘宝」の有無を確認してくれますか？			果てに消えた星							
積み荷はまだ、ここで検分を受けているそうですよ。「かくれ」ながら検分中のイエロージャケットに近づいて、「秘宝」の有無を確認してくれますか？			積み荷はまだ、ここで検分を受けているそうですよ。「かくれ」ながら検分中のイエロージャケットに近づいて、「秘宝」の有無を確認してくれますか？			果てに消えた星							
検分中の警備兵たちが、話をしている……。			検分中の警備兵たちが、話をしている……。			果てに消えた星							
……ダメだなぁ。「青の星」も「銀の涙」も「黒の棺」もない。連行した行商人が、「秘宝」の在り処を吐けばいいが……。			……ダメだなぁ。「青の星」も「銀の涙」も「黒の棺」もない。連行した行商人が、「秘宝」の在り処を吐けばいいが……。			果てに消えた星							
さっき連絡を受けたけど、何も知らないと言ってるそうよ。「関門を通って海都へ荷を運ぶよう頼まれただけ」って、主張し続けてるみたい。			さっき連絡を受けたけど、何も知らないと言ってるそうよ。「関門を通って海都へ荷を運ぶよう頼まれただけ」って、主張し続けてるみたい。			果てに消えた星							
しらばっくれやがって！どうせ、ほかの積み荷も、手分けして売りさばくつもりだろ！ミリララ様も、各地の検問を強化するって言ってたぞ。			しらばっくれやがって！どうせ、ほかの積み荷も、手分けして売りさばくつもりだろ！ミリララ様も、各地の検問を強化するって言ってたぞ。			果てに消えた星							
そこで止まれ！我々は、この場所で重大な任務を行っている。部外者は早々に立ち去るように！			そこで止まれ！我々は、この場所で重大な任務を行っている。部外者は早々に立ち去るように！			果てに消えた星							
イエロージャケットの警備兵は、こちらを警戒しているようだ。彼らから距離をとり、「かくれ」て再度近づいてみよう。			イエロージャケットの警備兵は、こちらを警戒しているようだ。彼らから距離をとり、「かくれ」て再度近づいてみよう。			果てに消えた星							
イエロージャケットの警備兵2人が、荷物の検分を行っている。「かくれ」て近づいて、様子を探ってみよう……。			イエロージャケットの警備兵2人が、荷物の検分を行っている。「かくれ」て近づいて、様子を探ってみよう……。			果てに消えた星							
我々は、この場所で重大な任務を行っている。部外者は早々に立ち去るように！			我々は、この場所で重大な任務を行っている。部外者は早々に立ち去るように！			果てに消えた星							
……何を調べているのかですって？悪いけれど、口外できるような任務じゃないの。			……何を調べているのかですって？悪いけれど、口外できるような任務じゃないの。			果てに消えた星							
……ふむふむ、「秘宝」は見つかってないんですね。よかった、いきなり大敗にならなくてすみました。			……ふむふむ、「秘宝」は見つかってないんですね。よかった、いきなり大敗にならなくてすみました。			果てに消えた星							
