槍術士ギルドのイウェインは、旧友を助けてもらいたいようだ。			槍術士ギルドのイウェインは、旧友を助けてもらいたいようだ。			竜の眼							
条件を満たし、アドネール占星台の、「アルベリク」に話しかけ、新たなジョブクエストを開始しましょう！			条件を満たし、アドネール占星台の、「アルベリク」に話しかけ、新たなジョブクエストを開始しましょう！			蒼の竜騎士							
どちらが、真の蒼の竜騎士か……決着をつけようじゃないかッ！行くぞ！			どちらが、真の蒼の竜騎士か……決着をつけようじゃないかッ！行くぞ！			蒼の竜騎士							
やめろっ！同じ時代に存在する、ふたりの蒼の竜騎士が戦うなど……！！			やめろっ！同じ時代に存在する、ふたりの蒼の竜騎士が戦うなど……！！			蒼の竜騎士							
ふんっ、竜の眼の力か……面白い。同じ力を使うならば、後は技と技の勝負ッ！			ふんっ、竜の眼の力か……面白い。同じ力を使うならば、後は技と技の勝負ッ！			蒼の竜騎士							
全力でいくぞっ！　Forenameよ！			全力でいくぞっ！　Forenameよ！			蒼の竜騎士							
力が……力が足りない……竜の眼よ、もっと俺に力を与えてくれ！全てのものを破壊する力を！！			力が……力が足りない……竜の眼よ、もっと俺に力を与えてくれ！全てのものを破壊する力を！！			蒼の竜騎士							
エスティニアン、憎しみに飲み込まれるな！！槍に誓った正義の心を思い出せっ！			エスティニアン、憎しみに飲み込まれるな！！槍に誓った正義の心を思い出せっ！			蒼の竜騎士							
ハーストミルのゲロルトは、冒険者に要望があるようだ。			ハーストミルのゲロルトは、冒険者に要望があるようだ。			蘇る古の武器（ゲイボルグ）							
ゲロルトからの依頼を受けた。クルザス中央高地のナタラン入植地にある「宝箱」を調べて「朽ち果てたゲイボルグ」を入手しよう。			ゲロルトからの依頼を受けた。クルザス中央高地のナタラン入植地にある「宝箱」を調べて「朽ち果てたゲイボルグ」を入手しよう。			蘇る古の武器（ゲイボルグ）							
朽ち果てたゲイボルグを入手した。北部森林のハーストミルにいる「ゲロルト」に「朽ち果てたゲイボルグ」を渡そう。			朽ち果てたゲイボルグを入手した。北部森林のハーストミルにいる「ゲロルト」に「朽ち果てたゲイボルグ」を渡そう。			蘇る古の武器（ゲイボルグ）							
ゲロルトに朽ち果てたゲイボルグを渡した。北部森林のハーストミルにいる「ゲロルト」に「武略のマテリダ」を2個装着した「チャンピオンランス」を渡そう。			ゲロルトに朽ち果てたゲイボルグを渡した。北部森林のハーストミルにいる「ゲロルト」に「武略のマテリダ」を2個装着した「チャンピオンランス」を渡そう。			蘇る古の武器（ゲイボルグ）							
ゲロルトにチャンピオンランスを渡した。クルザス中央高地の聖ダナフェンの落涙で「指定地点」を調べ、コンテンツ「ドルムキマイラ討伐戦」を開放しよう。開放された「ドルムキマイラ討伐戦」を攻略し、「アルミナ研粒」を入手しよう。※コンテンツファインダーから攻略に参加できます。※このコンテンツは、竜騎士になった状態でクリアする必要があります。			ゲロルトにチャンピオンランスを渡した。クルザス中央高地の聖ダナフェンの落涙で「指定地点」を調べ、コンテンツ「ドルムキマイラ討伐戦」を開放しよう。開放された「ドルムキマイラ討伐戦」を攻略し、「アルミナ研粒」を入手しよう。※コンテンツファインダーから攻略に参加できます。※このコンテンツは、竜騎士になった状態でクリアする必要があります。			蘇る古の武器（ゲイボルグ）							
アルミナ研粒を入手した。北部森林のハーストミルにいる「ゲロルト」に「アルミナ研粒」を渡そう。			アルミナ研粒を入手した。北部森林のハーストミルにいる「ゲロルト」に「アルミナ研粒」を渡そう。			蘇る古の武器（ゲイボルグ）							
ゲロルトにアルミナ研粒を渡した。モードゥナのレヴナンツトールにいる「ロウェナ」と話そう。			ゲロルトにアルミナ研粒を渡した。モードゥナのレヴナンツトールにいる「ロウェナ」と話そう。			蘇る古の武器（ゲイボルグ）							
ロウェナと話した。南部森林の「邪教排撃 古城アムダプール」を踏破し「アムダプールの石板」を入手しよう。※コンテンツファインダーから攻略に参加できます。※このコンテンツは、竜騎士になった状態でクリアする必要があります。			ロウェナと話した。南部森林の「邪教排撃 古城アムダプール」を踏破し「アムダプールの石板」を入手しよう。※コンテンツファインダーから攻略に参加できます。※このコンテンツは、竜騎士になった状態でクリアする必要があります。			蘇る古の武器（ゲイボルグ）							
アムダプールの石板を入手した。モードゥナのレヴナンツトールにいる「ロウェナ」に「アムダプールの石板」を渡そう。			アムダプールの石板を入手した。モードゥナのレヴナンツトールにいる「ロウェナ」に「アムダプールの石板」を渡そう。			蘇る古の武器（ゲイボルグ）							
ロウェナにアムダプールの石板を渡した。北部森林のハーストミルにいる「ゲロルト」に「写本：レネットの福音書」を渡そう。			ロウェナにアムダプールの石板を渡した。北部森林のハーストミルにいる「ゲロルト」に「写本：レネットの福音書」を渡そう。			蘇る古の武器（ゲイボルグ）							
