バノック練兵所のガルフリッドは、冒険者に訓練兵の鍛錬につきあってほしいようだ。			バノック練兵所のガルフリッドは、冒険者に訓練兵の鍛錬につきあってほしいようだ。			背中を見て学べ							
*本クエストは調整されました。一度破棄し、レヴナンツトールの「スラフボーン」から再受注してください。※次のメインクエストは、「メインクエストガイド」からも確認することができます。メインクエストガイドの表示/非表示は、メインコマンドの「キャラクターコンフィグ」から「ユーザーインターフェース設定」を選び、変更してください。			*本クエストは調整されました。一度破棄し、レヴナンツトールの「スラフボーン」から再受注してください。※次のメインクエストは、「メインクエストガイド」からも確認することができます。メインクエストガイドの表示/非表示は、メインコマンドの「キャラクターコンフィグ」から「ユーザーインターフェース設定」を選び、変更してください。			冒険者ギルドからの依頼							
ハパリットを討伐した。レヴナンツトールにいる「スラフボーン」に報告しよう。			ハパリットを討伐した。レヴナンツトールにいる「スラフボーン」に報告しよう。			冒険者ギルドからの依頼							
スラフボーンに無事、報告することができた。冒険者の働きによって、スラフボーンの心配事は解決したようだ。今後とも、スラフボーンらとともにレヴナンツトールを盛りあげていこう。			スラフボーンに無事、報告することができた。冒険者の働きによって、スラフボーンの心配事は解決したようだ。今後とも、スラフボーンらとともにレヴナンツトールを盛りあげていこう。			冒険者ギルドからの依頼							
*本クエストは調整されました。一度破棄し、レヴナンツトールのスラフボーンから再受注してください			*本クエストは調整されました。一度破棄し、レヴナンツトールのスラフボーンから再受注してください			冒険者ギルドからの依頼							
お前か、良い知らせがあるぞ。冒険者ギルド本部が、お前の活躍に感謝の言葉を送ってきた。なんでも、ギルドの依頼を受ける冒険者が増えているそうだ。			お前か、良い知らせがあるぞ。冒険者ギルド本部が、お前の活躍に感謝の言葉を送ってきた。なんでも、ギルドの依頼を受ける冒険者が増えているそうだ。			冒険者ギルドからの依頼							
さて、もののついでだ。もうひと仕事、頼んでもいいだろうか。			さて、もののついでだ。もうひと仕事、頼んでもいいだろうか。			冒険者ギルドからの依頼							
仕事の内容は、ここより東の「唄う裂谷」周辺で、調査隊に多数の被害を出している、「ハパリット」を駆除してほしいというものだ。			仕事の内容は、ここより東の「唄う裂谷」周辺で、調査隊に多数の被害を出している、「ハパリット」を駆除してほしいというものだ。			冒険者ギルドからの依頼							
地道な依頼だとは思うが、お前が達成してくれれば、ほかの冒険者も後に続き、冒険者ギルドも活気付くだろう。冒険者ギルドと「暁」との良い関係性のために頼んだぞ。			地道な依頼だとは思うが、お前が達成してくれれば、ほかの冒険者も後に続き、冒険者ギルドも活気付くだろう。冒険者ギルドと「暁」との良い関係性のために頼んだぞ。			冒険者ギルドからの依頼							
仕事の内容は、ここより東の「唄う裂谷」周辺で、調査隊に多数の被害を出している、「ハパリット」を駆除してほしいというものだ。			仕事の内容は、ここより東の「唄う裂谷」周辺で、調査隊に多数の被害を出している、「ハパリット」を駆除してほしいというものだ。			冒険者ギルドからの依頼							
地道な依頼だとは思うが、お前が達成してくれれば、ほかの冒険者も後に続き、冒険者ギルドも活気付くだろう。冒険者ギルドと「暁」との良い関係性のために頼んだぞ。			地道な依頼だとは思うが、お前が達成してくれれば、ほかの冒険者も後に続き、冒険者ギルドも活気付くだろう。冒険者ギルドと「暁」との良い関係性のために頼んだぞ。			冒険者ギルドからの依頼							
