小金通りのケイテンは、冒険者に紹介したい人物がいるようだ。			小金通りのケイテンは、冒険者に紹介したい人物がいるようだ。			追われた巡業一座							
お供しますよ！私も事の顛末が気になりますからね！			お供しますよ！私も事の顛末が気になりますからね！			ゴルモア大密林の古代遺跡							
さぁ、クガネのウルダハ商館に向かいましょうか！冒険者さんの営業力？　いや、政治力？ちょっと楽しみです！			さぁ、クガネのウルダハ商館に向かいましょうか！冒険者さんの営業力？　いや、政治力？ちょっと楽しみです！			ゴルモア大密林の古代遺跡							
あ、その前にブワジさんにも報告を入れましょうか。ウルダハ商館の前に、まずはクガネ・ランディングですね！			あ、その前にブワジさんにも報告を入れましょうか。ウルダハ商館の前に、まずはクガネ・ランディングですね！			ゴルモア大密林の古代遺跡							
さぁ、ブワジさんに報告を入れて、ウルダハ商館へ急ぎましょう！			さぁ、ブワジさんに報告を入れて、ウルダハ商館へ急ぎましょう！			ゴルモア大密林の古代遺跡							
そうか、段取りは整ったってワケか。なら、このオレも同行するとしよう。……悪いが、嫌だと言っても付いていくぞ。			そうか、段取りは整ったってワケか。なら、このオレも同行するとしよう。……悪いが、嫌だと言っても付いていくぞ。			ゴルモア大密林の古代遺跡							
オレたちゃ、ここで留守番してるゼ。バンガがクガネをうろうろしてもろくな事ァないからナ！じゃ、しっかりやってクンロ！			オレたちゃ、ここで留守番してるゼ。バンガがクガネをうろうろしてもろくな事ァないからナ！じゃ、しっかりやってクンロ！			ゴルモア大密林の古代遺跡							
飛空艇の整備でもしとくかネェ……。燃料と消耗品を調達しときたいところだけど、クガネじゃ目立ちすぎるもんネェ……。			飛空艇の整備でもしとくかネェ……。燃料と消耗品を調達しときたいところだけど、クガネじゃ目立ちすぎるもんネェ……。			ゴルモア大密林の古代遺跡							
はてさて……鬼が出るか蛇が出るか……。毒を食らわばなんとやらってヤツだ。			はてさて……鬼が出るか蛇が出るか……。毒を食らわばなんとやらってヤツだ。			ゴルモア大密林の古代遺跡							
「ウルダハ商館応接室」でハンコックさんがお待ちだそうですよ！早速、中へ入りましょうか？			「ウルダハ商館応接室」でハンコックさんがお待ちだそうですよ！早速、中へ入りましょうか？			ゴルモア大密林の古代遺跡							
「ウルダハ商館応接室」へ移動しますか？			「ウルダハ商館応接室」へ移動しますか？			ゴルモア大密林の古代遺跡							
これはまた珍しい……。貴方様はダルマスカのバンガ族デスネ……？劇場艇に出入りしているバンガ族がいると噂には聞いてましたが。			これはまた珍しい……。貴方様はダルマスカのバンガ族デスネ……？劇場艇に出入りしているバンガ族がいると噂には聞いてましたが。			ゴルモア大密林の古代遺跡							
あ、これはまたとんだ失礼を……。私、東アルデナード商会のクガネの代表を務めておりマス、ハンコックと申す者……以後、お見知りおきを。			あ、これはまたとんだ失礼を……。私、東アルデナード商会のクガネの代表を務めておりマス、ハンコックと申す者……以後、お見知りおきを。			ゴルモア大密林の古代遺跡							
Forename殿、ブワジ殿、お待たせしてしまい申し訳ない。			Forename殿、ブワジ殿、お待たせしてしまい申し訳ない。			ゴルモア大密林の古代遺跡							
お待たせしましたでっす。			お待たせしましたでっす。			ゴルモア大密林の古代遺跡							
ブワジ殿、お初にお目にかかる。私はドマ国君主・ヒエン様の家人のひとり、ユウギリと申す者。東方連合よりの返答を持って参りました。			ブワジ殿、お初にお目にかかる。私はドマ国君主・ヒエン様の家人のひとり、ユウギリと申す者。東方連合よりの返答を持って参りました。			ゴルモア大密林の古代遺跡							
