漁師ギルドのシシプは、ワワラゴの様子が気にかかるようだ。			漁師ギルドのシシプは、ワワラゴの様子が気にかかるようだ。			海の流星							
減少の原因を調べるためにも、「海の流星」……もとい、「春告魚の稚魚」を3匹捕獲したいんだ。あんたの腕前を活かして、ちょいと釣り上げてくれないかい？			減少の原因を調べるためにも、「海の流星」……もとい、「春告魚の稚魚」を3匹捕獲したいんだ。あんたの腕前を活かして、ちょいと釣り上げてくれないかい？			いざ、産卵地へ							
あたしは、急いで捕獲した魚を入れる桶を探してくるから、沖之岩近海で、「春告魚の稚魚」を3匹釣り上げたら、このベッコウ島まで戻っておいで！			あたしは、急いで捕獲した魚を入れる桶を探してくるから、沖之岩近海で、「春告魚の稚魚」を3匹釣り上げたら、このベッコウ島まで戻っておいで！			いざ、産卵地へ							
ゴォヴが「海の流星」って呼ぶ魚は、この辺りの漁師には、「春告魚」って名で知られているヘリングの1種だ。沖之岩近海で、「春告魚の稚魚」を3匹釣り上げておくれ！			ゴォヴが「海の流星」って呼ぶ魚は、この辺りの漁師には、「春告魚」って名で知られているヘリングの1種だ。沖之岩近海で、「春告魚の稚魚」を3匹釣り上げておくれ！			いざ、産卵地へ							
おおー、もう釣り上げたのかい！お星様を入れてあげる桶も、用意できたよ。それじゃ、ゴォヴが戻ってくるのを待つとしようか。			おおー、もう釣り上げたのかい！お星様を入れてあげる桶も、用意できたよ。それじゃ、ゴォヴが戻ってくるのを待つとしようか。			いざ、産卵地へ							
フスィーッ……！大きさこそ記憶と異なるが、間違いなく「海の流星」だ。おおおお！　よかった、生き延びていたのだなああ……！			フスィーッ……！大きさこそ記憶と異なるが、間違いなく「海の流星」だ。おおおお！　よかった、生き延びていたのだなああ……！			いざ、産卵地へ							
Forename、レイナ……。数々の非礼を、改めてお詫びしたい……！「海の流星」を見つけてくれて、本当に感謝するっ！！			Forename、レイナ……。数々の非礼を、改めてお詫びしたい……！「海の流星」を見つけてくれて、本当に感謝するっ！！			いざ、産卵地へ							
俺も、海中にて必死に探したのだが、ラノシア海と違う地形や潮の流れに戸惑ってばかりだった。Forenameの腕前は、本当にすごいのだな！			俺も、海中にて必死に探したのだが、ラノシア海と違う地形や潮の流れに戸惑ってばかりだった。Forenameの腕前は、本当にすごいのだな！			いざ、産卵地へ							
さあ、それじゃ「海の流星」をいったん預かるよ。この海で暮らしていくのに、何か問題を抱えているのか、専門家に調べてもらわなきゃ。			さあ、それじゃ「海の流星」をいったん預かるよ。この海で暮らしていくのに、何か問題を抱えているのか、専門家に調べてもらわなきゃ。			いざ、産卵地へ							
フスィーッ……難しいことはわからんが、頼んだぞ。俺は、さっきのしゃべる亀と、引き続き「海の流星」を探す。協力すると言っていたし、きっと力になってくれるだろう！			フスィーッ……難しいことはわからんが、頼んだぞ。俺は、さっきのしゃべる亀と、引き続き「海の流星」を探す。協力すると言っていたし、きっと力になってくれるだろう！			いざ、産卵地へ							
それじゃ、あたしは一度イシュガルドへ行ってくる。所領争い中の釣り道楽に、専門家を紹介してもらわないとね。急いで調査を終えて、対策を考えるよ。			それじゃ、あたしは一度イシュガルドへ行ってくる。所領争い中の釣り道楽に、専門家を紹介してもらわないとね。急いで調査を終えて、対策を考えるよ。			いざ、産卵地へ							
Forenameは、「ワワラゴ」親分に状況を報告してくれるかい？調査が終わったら、また親分に連絡するからさ！			Forenameは、「ワワラゴ」親分に状況を報告してくれるかい？調査が終わったら、また親分に連絡するからさ！			いざ、産卵地へ							
おお～、ついに「海の流星」の正体を突き止めたのぢやな！減少の原因解明には至っておらぬものの、順調のようで何よりぢや。			おお～、ついに「海の流星」の正体を突き止めたのぢやな！減少の原因解明には至っておらぬものの、順調のようで何よりぢや。			いざ、産卵地へ							
……しかし、ちょーっとだけ……寂しいのう。ぢやが、シシプちゃんの監視の目は、相変わらず厳しいし。ワシは大人しく、連絡役に徹するぞい……。			……しかし、ちょーっとだけ……寂しいのう。ぢやが、シシプちゃんの監視の目は、相変わらず厳しいし。ワシは大人しく、連絡役に徹するぞい……。			いざ、産卵地へ							
漁師として、新たな土地で新たな魚との出会いを経て、「ダブルフッキング」を修得しました！			漁師として、新たな土地で新たな魚との出会いを経て、「ダブルフッキング」を修得しました！			いざ、産卵地へ							
忘れられた騎士亭のアンソールムは、悩み事があるようだ。			忘れられた騎士亭のアンソールムは、悩み事があるようだ。			釣り道楽、雲海を目指す							
アンソールムのもとに、エレゼン族の老人が訪ねてきた。エレゼン族の老人が料理人として仕えている館に住む領主代理が、横暴な命令を突きつけてきているらしい。領主が要求するバルーンパファーを手に入れるため、リムサ・ロミンサの漁師ギルドにいる「シシプ」と相談しよう。			アンソールムのもとに、エレゼン族の老人が訪ねてきた。エレゼン族の老人が料理人として仕えている館に住む領主代理が、横暴な命令を突きつけてきているらしい。領主が要求するバルーンパファーを手に入れるため、リムサ・ロミンサの漁師ギルドにいる「シシプ」と相談しよう。			釣り道楽、雲海を目指す							
