アラガーナの温厚なキキルン族は、護衛をしてくれる人を探しているようだ。			アラガーナの温厚なキキルン族は、護衛をしてくれる人を探しているようだ。			弱き者の底意地							
さっきうちの店で食べていった「不滅隊の大闘士」さんが、部下にコールドハース出身者がいると言っていたわ。その人なら、なにか知っているかもね。			さっきうちの店で食べていった「不滅隊の大闘士」さんが、部下にコールドハース出身者がいると言っていたわ。その人なら、なにか知っているかもね。			出身者を探して							
少し前に来た客たちが、エラートがどうとか、話していたのを聞いた覚えがある……。流し聞いていただけだし、話の内容はさっぱりだけどな。			少し前に来た客たちが、エラートがどうとか、話していたのを聞いた覚えがある……。流し聞いていただけだし、話の内容はさっぱりだけどな。			出身者を探して							
2年前のアラギリは、帝国兵で賑わっていた。そんなところに、逃げてるヤツが来るとは思えんよ。			2年前のアラギリは、帝国兵で賑わっていた。そんなところに、逃げてるヤツが来るとは思えんよ。			出身者を探して							
部下にコールドハース出身者がいると言っていた大闘士さんは、まだアラギリにいるはずよ。その人なら、なにか知っているかもね。			部下にコールドハース出身者がいると言っていた大闘士さんは、まだアラギリにいるはずよ。その人なら、なにか知っているかもね。			出身者を探して							
少し前に来た客たちが、エラートがどうとか話していたぞ。どんな内容だったかは、覚えていないけどな。			少し前に来た客たちが、エラートがどうとか話していたぞ。どんな内容だったかは、覚えていないけどな。			出身者を探して							
これはこれは、冒険者殿ではありませんか！英雄であるあなたと話せるとは、光栄です。……して、自分になにかご用ですかな？			これはこれは、冒険者殿ではありませんか！英雄であるあなたと話せるとは、光栄です。……して、自分になにかご用ですかな？			出身者を探して							
ええ、自分の部下にはコールドハース出身者がおります。ご紹介したいところですが、あいにく、帝国軍の無人魔導兵器を掃討するため、出撃しておりまして。			ええ、自分の部下にはコールドハース出身者がおります。ご紹介したいところですが、あいにく、帝国軍の無人魔導兵器を掃討するため、出撃しておりまして。			出身者を探して							
いまごろであれば、スペキュラ・インペラトリス跡周辺で、任務にあたっているはずです。			いまごろであれば、スペキュラ・インペラトリス跡周辺で、任務にあたっているはずです。			出身者を探して							
部下のコールドハース出身者は、スペキュラ・インペラトリス跡周辺で、無人魔導兵器の掃討任務にあたっているはずです。			部下のコールドハース出身者は、スペキュラ・インペラトリス跡周辺で、無人魔導兵器の掃討任務にあたっているはずです。			出身者を探して							
……俺に話があるみたいだが、すまないが任務中でな。この周辺で暴走中の、無人魔導兵器を掃討しなきゃならん。			……俺に話があるみたいだが、すまないが任務中でな。この周辺で暴走中の、無人魔導兵器を掃討しなきゃならん。			出身者を探して							
