宝杖通りのナシュは、何か手伝ってほしいようだ。			宝杖通りのナシュは、何か手伝ってほしいようだ。			事件屋を探せ							
(-ビビ-)その力で、壮年騎士団のみんなを若返らせることができたんだ。竜の眼が手に入れば、力はもっと強くなって完全になる。そうしたら、おじいさんを生き返らせることだって……。			(-ビビ-)その力で、壮年騎士団のみんなを若返らせることができたんだ。竜の眼が手に入れば、力はもっと強くなって完全になる。そうしたら、おじいさんを生き返らせることだって……。			理想の毎日							
ギギ……死んだ人を生き返らせることはできませんぞ。			ギギ……死んだ人を生き返らせることはできませんぞ。			理想の毎日							
そうですよ、ギギさん。イシュガルド正教では、肉体は魂の入物に過ぎないと言います。死んだ人の肉体を元に戻せたとしても、魂は戻ってこないんです。			そうですよ、ギギさん。イシュガルド正教では、肉体は魂の入物に過ぎないと言います。死んだ人の肉体を元に戻せたとしても、魂は戻ってこないんです。			理想の毎日							
(-ビビ-)ボ、ボクの能力は、人や物に最盛期への回帰を与えられるんだ。きっと、死んだおじいさんも最盛期に戻してあげれるはず！なんなら、ボロボロの父上をなおしてあげるよ。			(-ビビ-)ボ、ボクの能力は、人や物に最盛期への回帰を与えられるんだ。きっと、死んだおじいさんも最盛期に戻してあげれるはず！なんなら、ボロボロの父上をなおしてあげるよ。			理想の毎日							
ま、待て！もう能力を使うのはやめるんだ！力を使い果たして、死んでしまうぞ！			ま、待て！もう能力を使うのはやめるんだ！力を使い果たして、死んでしまうぞ！			理想の毎日							
(-ビビ-)な、なおらない……なんで？能力が戻ったはずなのに……ボクはまた壊れちゃったの？そ……そんな……。			(-ビビ-)な、なおらない……なんで？能力が戻ったはずなのに……ボクはまた壊れちゃったの？そ……そんな……。			理想の毎日							
ギギは壊れてなどいませんぞ！最盛期への回帰という意味では、これで正しいのです。私は……毎日が最高だと言っているでしょう！			ギギは壊れてなどいませんぞ！最盛期への回帰という意味では、これで正しいのです。私は……毎日が最高だと言っているでしょう！			理想の毎日							
事件屋さんの言うとおり！僕が魔導士クワンの家で見つけた「クワンの手記」によると、ギギさんの能力は、厳密には最盛期への回帰ではないんです。			事件屋さんの言うとおり！僕が魔導士クワンの家で見つけた「クワンの手記」によると、ギギさんの能力は、厳密には最盛期への回帰ではないんです。			理想の毎日							
ギギさんが思い描く、最高の状態への回帰なんですよ。たとえ、ボロボロになっても事件解決に全力で挑む姿こそが、ギギさんにとっての事件屋さんの最高の姿なんです！			ギギさんが思い描く、最高の状態への回帰なんですよ。たとえ、ボロボロになっても事件解決に全力で挑む姿こそが、ギギさんにとっての事件屋さんの最高の姿なんです！			理想の毎日							
そ、そう、私の推理通りですぞ！そもそも、おじいさんを若返らせることができなかったのも、ギギの能力が不完全だったからではないのです！			そ、そう、私の推理通りですぞ！そもそも、おじいさんを若返らせることができなかったのも、ギギの能力が不完全だったからではないのです！			理想の毎日							
