特殊ルール： レベルアジャストイェドリマンのオグルは、怯えているようだ。			特殊ルール： レベルアジャストイェドリマンのオグルは、怯えているようだ。			アジムステップの若き冒険者							
Forenameは、冒険を続けるんだろ？私はここが落ち着くまでは残るつもりだけどさ、そっちは旅を続けて、みんなを助けてやれよな～！			Forenameは、冒険を続けるんだろ？私はここが落ち着くまでは残るつもりだけどさ、そっちは旅を続けて、みんなを助けてやれよな～！			森へ吹き込む草原の風							
よーし……新天地ではエーテライトの交感と情報収集が、冒険者の基本だ！ラカシール、行くぞ！			よーし……新天地ではエーテライトの交感と情報収集が、冒険者の基本だ！ラカシール、行くぞ！			森へ吹き込む草原の風							
物資不足は、パサリーンと赤子たちにも影響する問題だったが、好転する目途が立ったし、ようやっと一息つけそうだわ。			物資不足は、パサリーンと赤子たちにも影響する問題だったが、好転する目途が立ったし、ようやっと一息つけそうだわ。			森へ吹き込む草原の風							
シュウーラのヤツも、オグルのおかげで上機嫌でよ。あんなに笑ってるところ、久しぶりに見たわ。縁を結んでくれて、ありがとよ。			シュウーラのヤツも、オグルのおかげで上機嫌でよ。あんなに笑ってるところ、久しぶりに見たわ。縁を結んでくれて、ありがとよ。			森へ吹き込む草原の風							
ま、オグルに救われたのは俺も同じだわ。あいつらの手記を見つけてくれて、励みになった。気を引き締めて、あいつらの子を立派に育ててみせるさ。			ま、オグルに救われたのは俺も同じだわ。あいつらの手記を見つけてくれて、励みになった。気を引き締めて、あいつらの子を立派に育ててみせるさ。			森へ吹き込む草原の風							
で、大きくなったら、両親がどんだけ愛情を注いでたか、伝えてやんないと。その愛情は、降り注ぐ辛苦から、あの子を守るだろうからよ。			で、大きくなったら、両親がどんだけ愛情を注いでたか、伝えてやんないと。その愛情は、降り注ぐ辛苦から、あの子を守るだろうからよ。			森へ吹き込む草原の風							
ああ、もちろんお前さんの話もな？なんてったって、命の恩人だからよ。			ああ、もちろんお前さんの話もな？なんてったって、命の恩人だからよ。			森へ吹き込む草原の風							
さて、俺もしっかり働きますかね。お前さん、旅を続けるんなら、健康には気を遣えよ？そんで、また元気な顔を見せてくれや。			さて、俺もしっかり働きますかね。お前さん、旅を続けるんなら、健康には気を遣えよ？そんで、また元気な顔を見せてくれや。			森へ吹き込む草原の風							
妙なところで、野垂れ死んだりすんなよ？……じゃ、またな。			妙なところで、野垂れ死んだりすんなよ？……じゃ、またな。			森へ吹き込む草原の風							
エーテライト・プラザの屈強な星戦士は、冒険者に紹介したい施設があるようだ。			エーテライト・プラザの屈強な星戦士は、冒険者に紹介したい施設があるようだ。			技を修める調練場							
パーラカの里にいる眼光鋭い星戦士と話す			パーラカの里にいる眼光鋭い星戦士と話す			技を修める調練場							
これはこれは、冒険者殿！再びこの街に足を運んでくださると信じ、お待ちしておりましたぞ！			これはこれは、冒険者殿！再びこの街に足を運んでくださると信じ、お待ちしておりましたぞ！			技を修める調練場							
「暁」の皆様方には、とてもお世話になりました！その感謝を表すために、冒険者殿にとって有益であろう、とある施設をご紹介したいのです！			「暁」の皆様方には、とてもお世話になりました！その感謝を表すために、冒険者殿にとって有益であろう、とある施設をご紹介したいのです！			技を修める調練場							
詳しくは「パーラカの里」にいる、「眼光鋭い星戦士」から聞いてくだされ！これからの冒険に活かしてくださることを、祈っておりますぞ！			詳しくは「パーラカの里」にいる、「眼光鋭い星戦士」から聞いてくだされ！これからの冒険に活かしてくださることを、祈っておりますぞ！			技を修める調練場							
詳しい話は、「パーラカの里」にいる、「眼光鋭い星戦士」から聞いてくだされ！			詳しい話は、「パーラカの里」にいる、「眼光鋭い星戦士」から聞いてくだされ！			技を修める調練場							
……貴殿が、例の冒険者殿だな。なるほど……いい面構えじゃないか。これは確かに、調練場を使うに足る強者だ。			……貴殿が、例の冒険者殿だな。なるほど……いい面構えじゃないか。これは確かに、調練場を使うに足る強者だ。			技を修める調練場							
