蒼天街のフランセルは、気になる人物を見かけたようだ。			蒼天街のフランセルは、気になる人物を見かけたようだ。			お得意様デュランデル伯爵							
そのあと、ここでしばらく待っててくれたら、多分エル・トゥも連れてこられると思うよ。			そのあと、ここでしばらく待っててくれたら、多分エル・トゥも連れてこられると思うよ。			竜と人のいっぽ							
じゃあ、ドラゴン用のハンマーを預かるね。			じゃあ、ドラゴン用のハンマーを預かるね。			竜と人のいっぽ							
ふうん、これがヒトの道具かぁ。あっ、別にくすねたりしないよ！きちんとエル・トゥに渡してくるからね！			ふうん、これがヒトの道具かぁ。あっ、別にくすねたりしないよ！きちんとエル・トゥに渡してくるからね！			竜と人のいっぽ							
そのついでにこっちに来られないか、呼んでみるけど……時間がかかるかもしれないから、ちょっと待っててー。			そのついでにこっちに来られないか、呼んでみるけど……時間がかかるかもしれないから、ちょっと待っててー。			竜と人のいっぽ							
(-オーディロンの声-)英雄様ーーーー！！			(-オーディロンの声-)英雄様ーーーー！！			竜と人のいっぽ							
いきなり押しかけてすまないね、英雄殿……！オーディロンが、エル・トゥを迎えにいくって言って聞かなくて！			いきなり押しかけてすまないね、英雄殿……！オーディロンが、エル・トゥを迎えにいくって言って聞かなくて！			竜と人のいっぽ							
家のもんに頼んだんだか、飛空艇まで手配しててさぁ！思ったより気骨のある坊ちゃんだよ、まったく！			家のもんに頼んだんだか、飛空艇まで手配しててさぁ！思ったより気骨のある坊ちゃんだよ、まったく！			竜と人のいっぽ							
英雄様！　エル・トゥは！？			英雄様！　エル・トゥは！？			竜と人のいっぽ							
そんな、大変なことになってるって…………			そんな、大変なことになってるって…………			竜と人のいっぽ							
エル・トゥーー！！大丈夫なのーーーー！？早く戻ってきてようーーーーーー！！			エル・トゥーー！！大丈夫なのーーーー！？早く戻ってきてようーーーーーー！！			竜と人のいっぽ							
(-エル・トゥの声-)呼びまちた？			(-エル・トゥの声-)呼びまちた？			竜と人のいっぽ							
えぇ！？その帽子やスカーフ……も、もしかして、エル・トゥなの……！？			えぇ！？その帽子やスカーフ……も、もしかして、エル・トゥなの……！？			竜と人のいっぽ							
ええ、ええ、そうでちよ！竜は、心の成長と環境への適性に応じて、姿を変える生き物……。あたくち、進化ちたのでちゅわ！			ええ、ええ、そうでちよ！竜は、心の成長と環境への適性に応じて、姿を変える生き物……。あたくち、進化ちたのでちゅわ！			竜と人のいっぽ							
最近ちょっと具合が悪かったのは、きっと……進化の前兆だったのでち。			最近ちょっと具合が悪かったのは、きっと……進化の前兆だったのでち。			竜と人のいっぽ							
あああ、よかったぁ……！			あああ、よかったぁ……！			竜と人のいっぽ							
エイユウ、それにアルヴィデ師匠も、新しい道具をありがとでちゅの！			エイユウ、それにアルヴィデ師匠も、新しい道具をありがとでちゅの！			竜と人のいっぽ							
前より大きく、手先が器用になったから、これでもっともっと「ものづくり」ができまちゅわ！			前より大きく、手先が器用になったから、これでもっともっと「ものづくり」ができまちゅわ！			竜と人のいっぽ							
こんな進化は見たことないって、みんなで寄ってたかって、質問攻めにしてたんだよね。			こんな進化は見たことないって、みんなで寄ってたかって、質問攻めにしてたんだよね。			竜と人のいっぽ							
