忘れられた騎士亭のシドゥルグは、真剣な様子だ。			忘れられた騎士亭のシドゥルグは、真剣な様子だ。			暗影に沈むエピローグ							
あの神殿騎士は、私たちが反抗できないのをいいことに、今までも散々、雲霧街の人たちで鬱憤を晴らしていたんです。今日はおばあちゃんが突き飛ばされて、私、カッとなって……。			あの神殿騎士は、私たちが反抗できないのをいいことに、今までも散々、雲霧街の人たちで鬱憤を晴らしていたんです。今日はおばあちゃんが突き飛ばされて、私、カッとなって……。			暗黒は揺らめく							
……おばあちゃんが叫ぶ前に、別の「声」が聞こえた？いえ、私は叫んだりしていないわ。			……おばあちゃんが叫ぶ前に、別の「声」が聞こえた？いえ、私は叫んだりしていないわ。			暗黒は揺らめく							
心配してくれたなら、ありがとう。おばあちゃんのためにも、救ってくれたあなたのためにも、もう、あんな無茶はしないって約束します。			心配してくれたなら、ありがとう。おばあちゃんのためにも、救ってくれたあなたのためにも、もう、あんな無茶はしないって約束します。			暗黒は揺らめく							
だけど……私、後悔はしないと思う。正しいことを貫くあなたを見て、とても嬉しかったから！……それじゃあ、おばあちゃんに元気な顔を見せてきますね。			だけど……私、後悔はしないと思う。正しいことを貫くあなたを見て、とても嬉しかったから！……それじゃあ、おばあちゃんに元気な顔を見せてきますね。			暗黒は揺らめく							
おつかれさま、Forename。こんなにも早く「暗黒」の力を使いこなすなんて、やっぱり君は……さすがですね。			おつかれさま、Forename。こんなにも早く「暗黒」の力を使いこなすなんて、やっぱり君は……さすがですね。			暗黒は揺らめく							
今回の戦いで、僕が君の「負の感情」を燃やしたこと……。疑問にも思うでしょうが、今はただ、苦戦をしのぐために秘儀を使ったと思ってください。			今回の戦いで、僕が君の「負の感情」を燃やしたこと……。疑問にも思うでしょうが、今はただ、苦戦をしのぐために秘儀を使ったと思ってください。			暗黒は揺らめく							
本当の答えは、いつか君が……一人前の「暗黒騎士」になったとき、知るかもしれませんね。			本当の答えは、いつか君が……一人前の「暗黒騎士」になったとき、知るかもしれませんね。			暗黒は揺らめく							
そこへ至るまでの道は、困難の多い茨の道ですが、君ほどの素質があれば進んでいけるはず。……僕や歴代の意志を継ぎ「暗黒騎士」を続けてくれませんか？			そこへ至るまでの道は、困難の多い茨の道ですが、君ほどの素質があれば進んでいけるはず。……僕や歴代の意志を継ぎ「暗黒騎士」を続けてくれませんか？			暗黒は揺らめく							
もとはといえば、僕の不注意で、君が「暗黒」の力に目覚めてしまったわけですし……安心して元の場所に帰るためにも、協力は惜しみません。			もとはといえば、僕の不注意で、君が「暗黒」の力に目覚めてしまったわけですし……安心して元の場所に帰るためにも、協力は惜しみません。			暗黒は揺らめく							
暗黒騎士を続ける？			暗黒騎士を続ける？			暗黒は揺らめく							
望むところだ			望むところだ			暗黒は揺らめく							
ついていけない……			ついていけない……			暗黒は揺らめく							
……君なら、そうくると思っていました。それでは、これからもよろしくおねがいします。			……君なら、そうくると思っていました。それでは、これからもよろしくおねがいします。			暗黒は揺らめく							
しかしまずは、今回のほとぼりが冷めるのを待ちましょう。死んだはずの存在が、騒動を起こしたと知れたらコトですし、僕もしばらく身を隠すことにします。			しかしまずは、今回のほとぼりが冷めるのを待ちましょう。死んだはずの存在が、騒動を起こしたと知れたらコトですし、僕もしばらく身を隠すことにします。			暗黒は揺らめく							
頃合いを見て、僕と君が出会った場所で、また会いましょう。きっと……きっと約束だからね。			頃合いを見て、僕と君が出会った場所で、また会いましょう。きっと……きっと約束だからね。			暗黒は揺らめく							
