ヤーンの大穴のビッグスは、一息ついたようだ。			ヤーンの大穴のビッグスは、一息ついたようだ。			翼に夢を							
想定内……アナタがたが消失しても、問題ありません。ワタシがワタシを造りかえる間、敵であるアナタに接近される方が問題です。			想定内……アナタがたが消失しても、問題ありません。ワタシがワタシを造りかえる間、敵であるアナタに接近される方が問題です。			最後の闘い							
アナタがたが、検証に有用な個体だということは認めます。しかし、代えが利かないわけではない。			アナタがたが、検証に有用な個体だということは認めます。しかし、代えが利かないわけではない。			最後の闘い							
然る工程を経たのち、アルファを再度利用……別のヒトを呼び込んで、検証を再開します。			然る工程を経たのち、アルファを再度利用……別のヒトを呼び込んで、検証を再開します。			最後の闘い							
それでは……サヨウナラ。			それでは……サヨウナラ。			最後の闘い							
まずいぞ……流される……ッ！			まずいぞ……流される……ッ！			最後の闘い							
ガガ……ガガガ……。自己領域の維持にかけるメモリを、82％カットしました。			ガガ……ガガガ……。自己領域の維持にかけるメモリを、82％カットしました。			最後の闘い							
只今、本体はスリープモードです。再起動まで、過去の記録を、空間に自動投影します……。			只今、本体はスリープモードです。再起動まで、過去の記録を、空間に自動投影します……。			最後の闘い							
記録コード＊＊。標的ミドガルズオルムが、7つの生体反応を伴って、星外に脱出したことを確認。			記録コード＊＊。標的ミドガルズオルムが、7つの生体反応を伴って、星外に脱出したことを確認。			最後の闘い							
マスターからの指令、変更なし。よって、単機での追跡と殲滅を決行する……。			マスターからの指令、変更なし。よって、単機での追跡と殲滅を決行する……。			最後の闘い							
記録コード＊＊＊。標的の速度が、ワタシの速度を上回っている。			記録コード＊＊＊。標的の速度が、ワタシの速度を上回っている。			最後の闘い							
ボディの一部を分解、再構成。推進力の向上に成功。総合的パフォーマンスは、96％を維持。			ボディの一部を分解、再構成。推進力の向上に成功。総合的パフォーマンスは、96％を維持。			最後の闘い							
