調理師ギルドのリングサスは、冒険者に紹介したい人がいるようだ。			調理師ギルドのリングサスは、冒険者に紹介したい人がいるようだ。			元冒険者の調理師							
最近、三大海賊の一角である「百鬼夜行」が、東方の海で一隻の帝国属州の商船を拿捕したらしい。積み荷には、珍しい東方の食材が含まれていたと聞く。			最近、三大海賊の一角である「百鬼夜行」が、東方の海で一隻の帝国属州の商船を拿捕したらしい。積み荷には、珍しい東方の食材が含まれていたと聞く。			素材にこだわるレシピ							
魚の乾物もあったかどうかわからんが、まずは頭領の「カルヴァラン」に聞いてみるのはどうだ？			魚の乾物もあったかどうかわからんが、まずは頭領の「カルヴァラン」に聞いてみるのはどうだ？			素材にこだわるレシピ							
「百鬼夜行」のたまり場といえば、薬舗「セブンスセージ」だな。さっそく、向かってみよう。			「百鬼夜行」のたまり場といえば、薬舗「セブンスセージ」だな。さっそく、向かってみよう。			素材にこだわるレシピ							
お前さんのおかげで、ラルフの働くカフェテラスに、東方料理のメニューが加わり、人気らしいじゃないか。これは、我がレストラン「ビスマルク」も負けてられんな。			お前さんのおかげで、ラルフの働くカフェテラスに、東方料理のメニューが加わり、人気らしいじゃないか。これは、我がレストラン「ビスマルク」も負けてられんな。			素材にこだわるレシピ							
魚の乾物、あればいいんだがな……。「カルヴァラン」に聞いてみよう。			魚の乾物、あればいいんだがな……。「カルヴァラン」に聞いてみよう。			素材にこだわるレシピ							
確かに、積み荷には珍しい食材がいくつかありました。その中には、魚の乾物が含まれていたようにも思いますが、エオルゼアでは、あまり需要がなさそうなものでね……。			確かに、積み荷には珍しい食材がいくつかありました。その中には、魚の乾物が含まれていたようにも思いますが、エオルゼアでは、あまり需要がなさそうなものでね……。			素材にこだわるレシピ							
略奪品で満杯の船倉を空けるために、たまたま通りがかった船、「レディ・インファーナル号」に、タダでくれてやりましたよ。			略奪品で満杯の船倉を空けるために、たまたま通りがかった船、「レディ・インファーナル号」に、タダでくれてやりましたよ。			素材にこだわるレシピ							
今は「紅血聖女団」が持っているはずです。頭領の「ローズウェン」はガサツな女ですが、よければ、訪ねてみてはいかがでしょう？			今は「紅血聖女団」が持っているはずです。頭領の「ローズウェン」はガサツな女ですが、よければ、訪ねてみてはいかがでしょう？			素材にこだわるレシピ							
「紅血聖女団」といえば、「永遠の乙女亭」か。よし、行ってみようぜ。			「紅血聖女団」といえば、「永遠の乙女亭」か。よし、行ってみようぜ。			素材にこだわるレシピ							
それにしても、いいように使われているとも気づかず、タダなら何でも貰い受ける、ローズウェンの愚鈍さ……。ほとほと呆れたものです。			それにしても、いいように使われているとも気づかず、タダなら何でも貰い受ける、ローズウェンの愚鈍さ……。ほとほと呆れたものです。			素材にこだわるレシピ							
Forenameさん、いらっしゃいませ！厳つい野郎が店に入っていきましたが、お知り合いですか？			Forenameさん、いらっしゃいませ！厳つい野郎が店に入っていきましたが、お知り合いですか？			素材にこだわるレシピ							
ようやく、魚の乾物が手に入りそうだな。さあ、早く「ローズウェン」に聞いてみよう。			ようやく、魚の乾物が手に入りそうだな。さあ、早く「ローズウェン」に聞いてみよう。			素材にこだわるレシピ							
ああ、そうだよ。カルヴァランが、食料をタダでくれると言うもんで、珍しいこともあるもんだと、快く貰い受けたんだがね……。			ああ、そうだよ。カルヴァランが、食料をタダでくれると言うもんで、珍しいこともあるもんだと、快く貰い受けたんだがね……。			素材にこだわるレシピ							
中身を見たら、カッチカチに固まった魚の乾物だったんだ！食えやしない代物を渡すなんて、まったく嫌なヤツだよ！			中身を見たら、カッチカチに固まった魚の乾物だったんだ！食えやしない代物を渡すなんて、まったく嫌なヤツだよ！			素材にこだわるレシピ							
